2 Mot inconnu : EFI => ======triple amorçage EFI  Ubuntu /Windows 8/Mageia ou autre OS ====== | efi
2 Espace(s) surnuméraire(s) à supprimer. => ======triple amorçage EFI  Ubuntu /Windows 8/Mageia ou autre OS ====== |    => suggestions : [' ']
2 Mot inconnu : Mageia => ======triple amorçage EFI  Ubuntu /Windows 8/Mageia ou autre OS ====== | mageia

4 Mot inconnu : boot => Ce tutoriel décrit la démarche à suivre pour créer un triple boot sur un netbook 64bits récent (carte mère UEFI et GPT) avec Windows 8 préinstallé sans disque d'installation. | boot
4 Mot inconnu : netbook => Ce tutoriel décrit la démarche à suivre pour créer un triple boot sur un netbook 64bits récent (carte mère UEFI et GPT) avec Windows 8 préinstallé sans disque d'installation. | netbook
4 Accord de nombre erroné avec « 64 bits » : « récent » devrait être au pluriel. => Ce tutoriel décrit la démarche à suivre pour créer un triple boot sur un netbook 64bits récent (carte mère UEFI et GPT) avec Windows 8 préinstallé sans disque d'installation. | récent => suggestions : ['récents']
4 Mot inconnu : UEFI => Ce tutoriel décrit la démarche à suivre pour créer un triple boot sur un netbook 64bits récent (carte mère UEFI et GPT) avec Windows 8 préinstallé sans disque d'installation. | uefi
4 Mot inconnu : GPT => Ce tutoriel décrit la démarche à suivre pour créer un triple boot sur un netbook 64bits récent (carte mère UEFI et GPT) avec Windows 8 préinstallé sans disque d'installation. | gpt
4 Accord de nombre erroné avec « 8 » : « préinstallé » devrait être au pluriel. => Ce tutoriel décrit la démarche à suivre pour créer un triple boot sur un netbook 64bits récent (carte mère UEFI et GPT) avec Windows 8 préinstallé sans disque d'installation. | préinstallé => suggestions : ['préinstallés']

6 Mot inconnu : boot => **Le chargeur de boot final sera Grub2 et non le chargeur de Windows 8.** | boot
6 Mot inconnu : Grub2 => **Le chargeur de boot final sera Grub2 et non le chargeur de Windows 8.** | grub2

9 Mot inconnu : installer_ubuntu_selon_besoins => <note tip>Pour aller plus loin dans la configuration globale de votre poste de travail, vous pouvez consulter la documentation complète \\ [[installer_ubuntu_selon_besoins|Ubuntu à votre image : Configurer votre ordinateur selon vos besoins]]</note> | installer_ubuntu_selon_besoins

19 Typographie : points de suspension. Utilisez le caractère dédié. => [...] | ... => suggestions : ['…']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Notes:  |   => suggestions : ['']
39 Espace(s) en fin de ligne à supprimer. =>  Notes:  |   => suggestions : ['']

45 Espace(s) surnuméraire(s) à supprimer. => ===== Installer Ubuntu  ===== |    => suggestions : [' ']

56 Mot inconnu : Mageia => ===== Installer Mageia ,  ou autre OS sans EFI et avec GRUB Legacy ===== | mageia
56 Pas d’espace avant une virgule. => ===== Installer Mageia ,  ou autre OS sans EFI et avec GRUB Legacy ===== |  , => suggestions : [',']
56 Espace(s) surnuméraire(s) à supprimer. => ===== Installer Mageia ,  ou autre OS sans EFI et avec GRUB Legacy ===== |    => suggestions : [' ']
56 Mot inconnu : EFI => ===== Installer Mageia ,  ou autre OS sans EFI et avec GRUB Legacy ===== | efi
56 Mot inconnu : GRUB => ===== Installer Mageia ,  ou autre OS sans EFI et avec GRUB Legacy ===== | grub
56 Mot inconnu : Legacy => ===== Installer Mageia ,  ou autre OS sans EFI et avec GRUB Legacy ===== | legacy

60 Mot inconnu : Mageia => Installer Mageia va donner la main à Grub Legacy : le prochain redémarrage se fera donc sur Mageia  sans les choix W8 ou Ubuntu . | mageia
