
4 Mot inconnu : Napoléon's [[7:17]] => ====== Napoléon's Campaigns ====== <|> napoléon's
4 Mot inconnu : Campaigns [[18:27]] => ====== Napoléon's Campaigns ====== <|> campaigns

9 Mot inconnu : NCP [[0:3]] => NCP est un des jeux de stratégie d'Ageod reconstituant et simulant des conflits historiques (de type "wargame"). Voici une présentation du site officiel : <|> ncp
9 Mot inconnu : Ageod [[35:40]] => NCP est un des jeux de stratégie d'Ageod reconstituant et simulant des conflits historiques (de type "wargame"). Voici une présentation du site officiel : <|> ageod
9 Guillemets typographiques ouvrants. [[101:102]] => NCP est un des jeux de stratégie d'Ageod reconstituant et simulant des conflits historiques (de type "wargame"). Voici une présentation du site officiel : <|> " => suggestions : « “
9 Guillemets typographiques fermants. [[109:110]] => NCP est un des jeux de stratégie d'Ageod reconstituant et simulant des conflits historiques (de type "wargame"). Voici une présentation du site officiel : <|> " => suggestions :  »”
13 Mot inconnu : Birth [[44:49]] =>   * Un moteur de jeu amélioré par rapport à Birth of America et AGEOD's American Civil War, avec une IA plus performante ainsi que le concept de leaders guidés par la " Gloire Napoléonienne " ; <|> birth
13 Mot inconnu : of [[50:52]] =>   * Un moteur de jeu amélioré par rapport à Birth of America et AGEOD's American Civil War, avec une IA plus performante ainsi que le concept de leaders guidés par la " Gloire Napoléonienne " ; <|> of
13 Mot inconnu : America [[53:60]] =>   * Un moteur de jeu amélioré par rapport à Birth of America et AGEOD's American Civil War, avec une IA plus performante ainsi que le concept de leaders guidés par la " Gloire Napoléonienne " ; <|> america
13 Mot inconnu : AGEOD's [[64:71]] =>   * Un moteur de jeu amélioré par rapport à Birth of America et AGEOD's American Civil War, avec une IA plus performante ainsi que le concept de leaders guidés par la " Gloire Napoléonienne " ; <|> ageod's
13 Mot inconnu : American [[72:80]] =>   * Un moteur de jeu amélioré par rapport à Birth of America et AGEOD's American Civil War, avec une IA plus performante ainsi que le concept de leaders guidés par la " Gloire Napoléonienne " ; <|> american
13 Mot inconnu : War [[87:90]] =>   * Un moteur de jeu amélioré par rapport à Birth of America et AGEOD's American Civil War, avec une IA plus performante ainsi que le concept de leaders guidés par la " Gloire Napoléonienne " ; <|> war
13 Guillemets isolés. [[166:169]] =>   * Un moteur de jeu amélioré par rapport à Birth of America et AGEOD's American Civil War, avec une IA plus performante ainsi que le concept de leaders guidés par la " Gloire Napoléonienne " ; <|>  "  => suggestions :  «  “ » ” 
13 Guillemets isolés. [[189:192]] =>   * Un moteur de jeu amélioré par rapport à Birth of America et AGEOD's American Civil War, avec une IA plus performante ainsi que le concept de leaders guidés par la " Gloire Napoléonienne " ; <|>  "  => suggestions :  «  “ » ” 
15 Mot inconnu : what [[224:228]] =>   * Une large sélection de campagnes : Austerlitz (1805), Trafalgar (1805), Iéna (1806), Friedland (1807), Danube (1809), Russie (1812), Allemagne (1813), France (1814), Waterloo (1815), Espagne (1808-1814). Et en bonus, le what if de l'invasion de l'Angleterre à partir du camp de Boulogne (1805) <|> what
