2 Mot inconnu : Gtkmm => ====== Gtkmm  ====== | gtkmm
2 Espace(s) surnuméraire(s) à supprimer. => ====== Gtkmm  ====== |    => suggestions : [' ']

3 Mot inconnu : Gtkmm => [[http://www.gtkmm.org/ | Gtkmm]] est un framework C++ permettant la création d'interface graphiques. Il s'agit d'une surcouche à GTK+ qui permet aux programmeurs c++ d'utiliser GTK+ par le biais de classes, et ainsi de profiter de tous les avantages du c++ (dérivation...). | gtkmm
3 Typographie : points de suspension. Utilisez le caractère dédié. => [[http://www.gtkmm.org/ | Gtkmm]] est un framework C++ permettant la création d'interface graphiques. Il s'agit d'une surcouche à GTK+ qui permet aux programmeurs c++ d'utiliser GTK+ par le biais de classes, et ainsi de profiter de tous les avantages du c++ (dérivation...). | ... => suggestions : ['…']

6 Mot inconnu : gtkmm => Pour installer les librairies de développement de gtkmm, il faut installer le paquet [[apt>libgtkmm-3.0-dev]] (ou 2.4). | gtkmm
6 Mot inconnu : libgtkmm-3 => Pour installer les librairies de développement de gtkmm, il faut installer le paquet [[apt>libgtkmm-3.0-dev]] (ou 2.4). | libgtkmm-3
6 Mot inconnu : dev => Pour installer les librairies de développement de gtkmm, il faut installer le paquet [[apt>libgtkmm-3.0-dev]] (ou 2.4). | dev
8 Mot inconnu : libgtkmm-3 => Si vous le désirez vous pouvez installer la documentation (en anglais) en installant [[apt>libgtkmm-3.0-doc]]. Pour la lire, vous pouvez utiliser le programme [[apt>devhelp]], ou simplement votre navigateur web préféré en vous rendant à l'adresse [[file:///usr/share/doc/libgtkmm-3.0-doc/docs/index.html]] | libgtkmm-3
8 Mot inconnu : devhelp => Si vous le désirez vous pouvez installer la documentation (en anglais) en installant [[apt>libgtkmm-3.0-doc]]. Pour la lire, vous pouvez utiliser le programme [[apt>devhelp]], ou simplement votre navigateur web préféré en vous rendant à l'adresse [[file:///usr/share/doc/libgtkmm-3.0-doc/docs/index.html]] | devhelp
8 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => Si vous le désirez vous pouvez installer la documentation (en anglais) en installant [[apt>libgtkmm-3.0-doc]]. Pour la lire, vous pouvez utiliser le programme [[apt>devhelp]], ou simplement votre navigateur web préféré en vous rendant à l'adresse [[file:///usr/share/doc/libgtkmm-3.0-doc/docs/index.html]] | -3 => suggestions : ['−3', '– 3', '— 3']

12 Mot inconnu : linker => Pour compiler, vous devrez linker le projet en utilisant l'utilitaire pkg-config comme ci-dessous: | linker
12 Mot inconnu : pkg-config => Pour compiler, vous devrez linker le projet en utilisant l'utilitaire pkg-config comme ci-dessous: | pkg-config

15 Mot inconnu : codeblocks => ==== Avec l'IDE codeblocks  ==== | codeblocks
15 Espace(s) surnuméraire(s) à supprimer. => ==== Avec l'IDE codeblocks  ==== |    => suggestions : [' ']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créez un projet de type « console application » en C++ dans codeblocks. |    => suggestions : ['']
17 Mot inconnu : codeblocks =>   * Créez un projet de type « console application » en C++ dans codeblocks. | codeblocks

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez dans Project → Build options → Compiler settings → Other options, et collez-y ceci : |    => suggestions : ['']
18 Mot inconnu : Project =>   * Allez dans Project → Build options → Compiler settings → Other options, et collez-y ceci : | project
18 Mot inconnu : settings =>   * Allez dans Project → Build options → Compiler settings → Other options, et collez-y ceci : | settings
18 Mot inconnu : Other =>   * Allez dans Project → Build options → Compiler settings → Other options, et collez-y ceci : | other
21 Mot inconnu : pkg-config => N.B. ; l'option pkg-config est entre "guillemets-accent-grave" ( = Alt-Gr + 7 ) | pkg-config
21 Guillemets typographiques ouvrants. => N.B. ; l'option pkg-config est entre "guillemets-accent-grave" ( = Alt-Gr + 7 ) | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. => N.B. ; l'option pkg-config est entre "guillemets-accent-grave" ( = Alt-Gr + 7 ) | " => suggestions : ['\xa0»', '”']
21 Pas d’espace après ce signe. => N.B. ; l'option pkg-config est entre "guillemets-accent-grave" ( = Alt-Gr + 7 ) | (  => suggestions : ['(']
21 Pas d’espace avant ce signe. => N.B. ; l'option pkg-config est entre "guillemets-accent-grave" ( = Alt-Gr + 7 ) |  ) => suggestions : [')']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : |    => suggestions : ['']
22 Mot inconnu : Project =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | project
