
4 Mot inconnu : lm-sensors => ====== lm-sensors : utiliser les capteurs matériels ====== | lm-sensors

8 Mot inconnu : lm-sensors => Ubuntu peut suivre la température de votre processeur ou d'autres composants de votre ordinateur, la vitesse des ventilateurs, et d'autres données systèmes, en utilisant un programme nommé **lm-sensors** et une autre application permettant de visualiser les données fournies par ce dernier sur votre bureau. | lm-sensors

11 Mot inconnu : lm-sensors => Idéalement, installez et configurez **lm-sensors** pour obtenir plus d'informations sur votre matériel. | lm-sensors

18 Espace(s) en fin de ligne à supprimer. => </code>  |   => suggestions : ['']

21 Mot inconnu : lm-sensors => ===== Installation et configuration de lm-sensors ===== | lm-sensors

29 Mot inconnu : sudo => sudo sensors-detect</code> | sudo
29 Mot inconnu : sensors-detect => sudo sensors-detect</code> | sensors-detect

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Répondez positivement à toutes les questions ;  |    => suggestions : ['']
31 Espace(s) en fin de ligne à supprimer. =>   * Répondez positivement à toutes les questions ;  |   => suggestions : ['']

33 Mot inconnu : sensors-detect => À un certain moment //sensors-detect// vous demande s'il doit ajouter lui même la configuration des capteurs au lancement d'Ubuntu en affichant ceci :  | sensors-detect
33 Il manque un trait d’union si “même” se rapporte à “lui”. => À un certain moment //sensors-detect// vous demande s'il doit ajouter lui même la configuration des capteurs au lancement d'Ubuntu en affichant ceci :  | lui même => suggestions : ['lui-même']
33 Espace(s) en fin de ligne à supprimer. => À un certain moment //sensors-detect// vous demande s'il doit ajouter lui même la configuration des capteurs au lancement d'Ubuntu en affichant ceci :  |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tapez **yes**, puis faites Entrée. |    => suggestions : ['']
46 Mot inconnu : yes =>   * Tapez **yes**, puis faites Entrée. | yes
46 Après le verbe “faire”, ce verbe devrait être à l’infinitif. =>   * Tapez **yes**, puis faites Entrée. | entrée => suggestions : ['Entrer']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrez l'ordinateur afin de charger les modules que lm-sensors a rajoutés si vous ne voulez pas les charger à la main. \\ |    => suggestions : ['']
50 Mot inconnu : lm-sensors =>   * Redémarrez l'ordinateur afin de charger les modules que lm-sensors a rajoutés si vous ne voulez pas les charger à la main. \\ | lm-sensors

54 Espace(s) en fin de ligne à supprimer. => </code>  |   => suggestions : ['']
57 Typographie : points de suspension. Utilisez le caractère dédié. => PS: ... Si certaines sondes ne sont pas encore  reconnues ou dans l'éventualité où la détection se ferait de manière incorrecte — dans le cas d'un matériel récent — il est possible d'exécuter [[http://www.lm-sensors.org/wiki/Devices|la dernière version du script de sensors-detect]] « latest version of sensors-detect » :  | ... => suggestions : ['…']
57 Espace(s) surnuméraire(s) à supprimer. => PS: ... Si certaines sondes ne sont pas encore  reconnues ou dans l'éventualité où la détection se ferait de manière incorrecte — dans le cas d'un matériel récent — il est possible d'exécuter [[http://www.lm-sensors.org/wiki/Devices|la dernière version du script de sensors-detect]] « latest version of sensors-detect » :  |    => suggestions : [' ']
57 Mot inconnu : sensors-detect => PS: ... Si certaines sondes ne sont pas encore  reconnues ou dans l'éventualité où la détection se ferait de manière incorrecte — dans le cas d'un matériel récent — il est possible d'exécuter [[http://www.lm-sensors.org/wiki/Devices|la dernière version du script de sensors-detect]] « latest version of sensors-detect » :  | sensors-detect
57 Mot inconnu : latest => PS: ... Si certaines sondes ne sont pas encore  reconnues ou dans l'éventualité où la détection se ferait de manière incorrecte — dans le cas d'un matériel récent — il est possible d'exécuter [[http://www.lm-sensors.org/wiki/Devices|la dernière version du script de sensors-detect]] « latest version of sensors-detect » :  | latest
57 Mot inconnu : of => PS: ... Si certaines sondes ne sont pas encore  reconnues ou dans l'éventualité où la détection se ferait de manière incorrecte — dans le cas d'un matériel récent — il est possible d'exécuter [[http://www.lm-sensors.org/wiki/Devices|la dernière version du script de sensors-detect]] « latest version of sensors-detect » :  | of
57 Mot inconnu : sensors-detect => PS: ... Si certaines sondes ne sont pas encore  reconnues ou dans l'éventualité où la détection se ferait de manière incorrecte — dans le cas d'un matériel récent — il est possible d'exécuter [[http://www.lm-sensors.org/wiki/Devices|la dernière version du script de sensors-detect]] « latest version of sensors-detect » :  | sensors-detect
57 Espace(s) en fin de ligne à supprimer. => PS: ... Si certaines sondes ne sont pas encore  reconnues ou dans l'éventualité où la détection se ferait de manière incorrecte — dans le cas d'un matériel récent — il est possible d'exécuter [[http://www.lm-sensors.org/wiki/Devices|la dernière version du script de sensors-detect]] « latest version of sensors-detect » :  |   => suggestions : ['']
63 Mot inconnu : sensors => Maintenant, testez les capteurs avec la commande « sensors » : | sensors

96 Accord de nombre erroné : « configurations » devrait être au singulier. => Pour des détails à propos de la configurations des capteurs, consultez la documentation spécifique au fichier ''sensors.conf'' : | configurations => suggestions : ['configuration']
96 Guillemets typographiques ouvrants. => Pour des détails à propos de la configurations des capteurs, consultez la documentation spécifique au fichier ''sensors.conf'' : | '' => suggestions : ['«\xa0', '“']
96 Mot inconnu : sensors => Pour des détails à propos de la configurations des capteurs, consultez la documentation spécifique au fichier ''sensors.conf'' : | sensors
96 Il manque un espace. => Pour des détails à propos de la configurations des capteurs, consultez la documentation spécifique au fichier ''sensors.conf'' : | conf => suggestions : [' conf']
96 Guillemets typographiques fermants. => Pour des détails à propos de la configurations des capteurs, consultez la documentation spécifique au fichier ''sensors.conf'' : | '' => suggestions : ['\xa0»', '”']

104 Mot inconnu : __Un => __Un peu de configuration est nécessaire__ si vous voulez :  | __un
104 Mot inconnu : nécessaire__ => __Un peu de configuration est nécessaire__ si vous voulez :  | nécessaire__
104 Espace(s) en fin de ligne à supprimer. => __Un peu de configuration est nécessaire__ si vous voulez :  |   => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ |    => suggestions : ['']
105 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ |  -  => suggestions : [' – ', ' — ', ' − ']
105 Mot inconnu : __afficher =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | __afficher
105 Mot inconnu : capteurs__ =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | capteurs__
105 Guillemets typographiques ouvrants. =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : temp1 =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | temp1
105 Guillemets typographiques fermants. =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | " => suggestions : ['\xa0»', '”']
105 Guillemets typographiques ouvrants. =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : fan3 =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | fan3
105 Guillemets typographiques fermants. =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | " => suggestions : ['\xa0»', '”']
105 Un seul point après « etc. » =>   -  __afficher des noms compréhensibles pour vos capteurs__ à la place de "temp1", "fan3", etc... \\ | etc... => suggestions : ['etc.']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -  __corriger les informations__ données par les capteurs. \\ |    => suggestions : ['']
106 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -  __corriger les informations__ données par les capteurs. \\ |  -  => suggestions : [' – ', ' — ', ' − ']
106 Mot inconnu : __corriger =>   -  __corriger les informations__ données par les capteurs. \\ | __corriger
106 Mot inconnu : informations__ =>   -  __corriger les informations__ données par les capteurs. \\ | informations__

110 Mot inconnu : Sensor => Le fichier ''///etc/sensors3.conf//'' est le fichier de configuration de **Sensor**. \\ | sensor

115 Mot inconnu : __ne => **Il est préférable de __ne pas modifier le fichier__** ''///etc/sensors3.conf//''. | __ne
115 Mot inconnu : fichier__ => **Il est préférable de __ne pas modifier le fichier__** ''///etc/sensors3.conf//''. | fichier__

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il faut d'abord vérifier l'existence d'un [[https://github.com/lm-sensors/lm-sensors/tree/master/configs|fichier de configuration pour votre carte-mère]] |    => suggestions : ['']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * puis le placer dans le dossier ''//etc/sensors.d//'', |    => suggestions : ['']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * allez faire un tour dans le BIOS et notez les valeurs indiquées pour retrouver celles indiquées par **sensors**, |    => suggestions : ['']
120 Mot inconnu : sensors =>   * allez faire un tour dans le BIOS et notez les valeurs indiquées pour retrouver celles indiquées par **sensors**, | sensors

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * créez un fichier dans le répertoire ''///etc/sensors.d//'' , le fichier de configuration est assez simple, Il faut d'abord : |    => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * __définir le module__ auquel s'appliquent les modifications avec **chip**, |      => suggestions : ['']
122 Mot inconnu : __définir =>     * __définir le module__ auquel s'appliquent les modifications avec **chip**, | __définir
122 Mot inconnu : module__ =>     * __définir le module__ auquel s'appliquent les modifications avec **chip**, | module__

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * __modifier la configuration__ des capteurs,  |      => suggestions : ['']
123 Mot inconnu : __modifier =>     * __modifier la configuration__ des capteurs,  | __modifier
123 Mot inconnu : configuration__ =>     * __modifier la configuration__ des capteurs,  | configuration__
123 Espace(s) en fin de ligne à supprimer. =>     * __modifier la configuration__ des capteurs,  |   => suggestions : ['']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ☛ ''//label//'' pour __changer le nom__ ;\\ |   => suggestions : ['']
127 Mot inconnu : __changer =>  ☛ ''//label//'' pour __changer le nom__ ;\\ | __changer
127 Mot inconnu : nom__ =>  ☛ ''//label//'' pour __changer le nom__ ;\\ | nom__

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ☛ ''//ignore//'' pour __ignorer un capteur__ qui n'est pas connecté sur votre système. |   => suggestions : ['']
128 Mot inconnu : __ignorer =>  ☛ ''//ignore//'' pour __ignorer un capteur__ qui n'est pas connecté sur votre système. | __ignorer
128 Mot inconnu : capteur__ =>  ☛ ''//ignore//'' pour __ignorer un capteur__ qui n'est pas connecté sur votre système. | capteur__

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note tip> |   => suggestions : ['']

131 Mot inconnu : __manuel__ => Pour une liste complète des commandes et options, consulter le __manuel__ de ''sensors.conf'').  | __manuel__
131 Guillemets typographiques ouvrants. => Pour une liste complète des commandes et options, consulter le __manuel__ de ''sensors.conf'').  | '' => suggestions : ['«\xa0', '“']
131 Mot inconnu : sensors => Pour une liste complète des commandes et options, consulter le __manuel__ de ''sensors.conf'').  | sensors
131 Il manque un espace. => Pour une liste complète des commandes et options, consulter le __manuel__ de ''sensors.conf'').  | conf => suggestions : [' conf']
131 Guillemets typographiques fermants. => Pour une liste complète des commandes et options, consulter le __manuel__ de ''sensors.conf'').  | '' => suggestions : ['\xa0»', '”']
131 Espace(s) en fin de ligne à supprimer. => Pour une liste complète des commandes et options, consulter le __manuel__ de ''sensors.conf'').  |   => suggestions : ['']
132 Il manque un espace. => <code bash>man sensors.conf</code></note> | conf => suggestions : [' conf']

137 Guillemets typographiques ouvrants. => chip "it87-isa-0290" | " => suggestions : ['«\xa0', '“']
137 Mot inconnu : it87-isa-0290 => chip "it87-isa-0290" | it87-isa-0290
137 Guillemets typographiques fermants. => chip "it87-isa-0290" | " => suggestions : ['\xa0»', '”']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    label fan1 "ventilateur CPU" |     => suggestions : ['']
138 Mot inconnu : fan1 =>    label fan1 "ventilateur CPU" | fan1
138 Guillemets typographiques ouvrants. =>    label fan1 "ventilateur CPU" | " => suggestions : ['«\xa0', '“']
138 Guillemets typographiques fermants. =>    label fan1 "ventilateur CPU" | " => suggestions : ['\xa0»', '”']

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ignore fan2 |     => suggestions : ['']
139 Mot inconnu : fan2 =>    ignore fan2 | fan2

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ignore fan3 |     => suggestions : ['']
140 Mot inconnu : fan3 =>    ignore fan3 | fan3

144 Forme interrogative ? Mettez un trait d’union. => Inspirez vous des exemples de fichiers existants sur le site du lien précédent ((Exemples de [[https://github.com/lm-sensors/lm-sensors/tree/master/configs|fichiers de configuration pour votre carte-mère]] )) | inspirez vous => suggestions : ['Inspirez-vous']
144 Pas d’espace avant ce signe. => Inspirez vous des exemples de fichiers existants sur le site du lien précédent ((Exemples de [[https://github.com/lm-sensors/lm-sensors/tree/master/configs|fichiers de configuration pour votre carte-mère]] )) |  ) => suggestions : [')']

150 Guillemets typographiques ouvrants. => Voici comment contrôler la "vitesse du ventilateur" ((indicateur //fanspeed//)) : | " => suggestions : ['«\xa0', '“']
150 Guillemets typographiques fermants. => Voici comment contrôler la "vitesse du ventilateur" ((indicateur //fanspeed//)) : | " => suggestions : ['\xa0»', '”']
150 Mot inconnu : fanspeed => Voici comment contrôler la "vitesse du ventilateur" ((indicateur //fanspeed//)) : | fanspeed

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Effectuez __la configuration de la vitesse de vos ventilateurs__ avec cette commande: |    => suggestions : ['']
152 Mot inconnu : __la =>   * Effectuez __la configuration de la vitesse de vos ventilateurs__ avec cette commande: | __la
152 Mot inconnu : ventilateurs__ =>   * Effectuez __la configuration de la vitesse de vos ventilateurs__ avec cette commande: | ventilateurs__

159 Espace(s) en fin de ligne à supprimer. => Le script teste vos ventilateurs ((fan)) et  |   => suggestions : ['']

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ☝ vous __donne plusieurs éléments d'informations__ sur la vitesse maximum et minimum de vos ventilateurs,  |   => suggestions : ['']
161 Mot inconnu : __donne =>  ☝ vous __donne plusieurs éléments d'informations__ sur la vitesse maximum et minimum de vos ventilateurs,  | __donne
161 Mot inconnu : informations__ =>  ☝ vous __donne plusieurs éléments d'informations__ sur la vitesse maximum et minimum de vos ventilateurs,  | informations__
161 Espace(s) en fin de ligne à supprimer. =>  ☝ vous __donne plusieurs éléments d'informations__ sur la vitesse maximum et minimum de vos ventilateurs,  |   => suggestions : ['']

163 Espace(s) en fin de ligne à supprimer. => puis  |   => suggestions : ['']

