
13 Mot inconnu : fidji [[14:19]] => ==== Astuces (fidji) ==== <|> fidji

19 Mot inconnu : Tab [[58:61]] => Appuyez sur <Entrée> pour valider la commande ou bien sur Tab ou encore la flèche droite pour l'éditer et pouvoir ainsi la modifier avant de l'exécuter. <|> tab

21 Espace(s) en fin de ligne à supprimer. [[66:67]] => Recherche dans l'historique des commandes lancées dans le terminal  <|>   => suggestions : ['']

27 Mot inconnu : senethri1 [[14:23]] => ==== Astuces (senethri1) ==== <|> senethri1

28 Espace(s) en fin de ligne à supprimer. [[176:177]] => La complétion permet de compléter une commande ou un chemin d'accès en appuyant sur <Tab>. S'il y a plusieurs choix possibles appuyez sur <Tab> à nouveau pour obtenir la liste.  <|>   => suggestions : ['']

30 Guillemets typographiques ouvrants. [[38:39]] => Vous pouvez avoir une complétion plus "intelligente" en utilisant /etc/bash_completion. Pour ce faire décommenter la section correspondante dans /etc/bash.bashrc. <|> " => suggestions : ['«\xa0', '“']
30 Guillemets typographiques fermants. [[51:52]] => Vous pouvez avoir une complétion plus "intelligente" en utilisant /etc/bash_completion. Pour ce faire décommenter la section correspondante dans /etc/bash.bashrc. <|> " => suggestions : ['\xa0»', '”']
30 Mot inconnu : décommenter [[102:113]] => Vous pouvez avoir une complétion plus "intelligente" en utilisant /etc/bash_completion. Pour ce faire décommenter la section correspondante dans /etc/bash.bashrc. <|> décommenter

31 Mot inconnu : reloguer [[23:31]] => Pour ne pas avoir à se reloguer dans le terminal et prendre en compte les modifications. <|> reloguer

36 Une de ces ponctuations est superflue. [[89:92]] => Ce qui vous permettra de faire la complétion sur les noms de machines, nom d'utilisateurs, ... <|> , . => suggestions : [',', '.']
36 Typographie : points de suspension. Utilisez le caractère dédié. [[91:94]] => Ce qui vous permettra de faire la complétion sur les noms de machines, nom d'utilisateurs, ... <|> ... => suggestions : ['…']

38 Mot inconnu : NikO [[15:19]] => ==== Astuces ([NikO]) ==== <|> niko

39 Accord de genre erroné : « swap » est masculin. [[65:67]] => Si vous avez beaucoup de RAM genre 2Go et que vous constatez que la swap est utilisée alors que vous avez encore de la mémoire disponible. Vous pouvez indiquez au kernel d'utiliser en priorité la RAM. <|> la => suggestions : ['le']
39 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. [[151:159]] => Si vous avez beaucoup de RAM genre 2Go et que vous constatez que la swap est utilisée alors que vous avez encore de la mémoire disponible. Vous pouvez indiquez au kernel d'utiliser en priorité la RAM. <|> indiquez => suggestions : ['indiquer']

42 Mot inconnu : vm [[29:31]] => Ajoutez à la fin du fichier (vm.swappiness=0 à 10), 60 étant la valeur par défaut. <|> vm
42 Mot inconnu : swappiness [[32:42]] => Ajoutez à la fin du fichier (vm.swappiness=0 à 10), 60 étant la valeur par défaut. <|> swappiness

47 Mot inconnu : le_biloute [[14:24]] => ==== Astuces (le_biloute) ==== <|> le_biloute

48 Pas d’espace avant un point. [[90:92]] => Si vous voulez sauvegarder vos fichiers de configurations (ces fichiers qui commencent par . dans votre home) alors je vous propose ce script: <|>  . => suggestions : ['.']

65 Mot inconnu : Musashimaru [[14:25]] => ==== Astuces (Musashimaru) ==== <|> musashimaru
