
5 Mot inconnu : Uncomplicated => ====== Uncomplicated Firewall ====== | uncomplicated
5 Mot inconnu : Firewall => ====== Uncomplicated Firewall ====== | firewall
23 Accord de genre erroné : « une politique » est féminin, « premier » est masculin. => <note>L'ordre de déclaration des règles est très important, le système utilisant une politique « premier arrivé, premier servi ». Prenez donc soin d'ajouter vos règles spécifiques avant les règles générales lorsqu'elles concernent des éléments communs.</note> | premier => suggestions : ['première']

25 Mot inconnu : UFW => ==== Activer / Désactiver UFW ==== | ufw

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw status |    => suggestions : ['']
31 Mot inconnu : sudo =>   sudo ufw status | sudo
31 Mot inconnu : ufw =>   sudo ufw status | ufw

35 Mot inconnu : UFW => Activer UFW : ( c'est à dire appliquer les règles définies) | ufw
35 Pas d’espace après ce signe. => Activer UFW : ( c'est à dire appliquer les règles définies) | (  => suggestions : ['(']
35 Il manque les traits d’union. => Activer UFW : ( c'est à dire appliquer les règles définies) | c'est à dire => suggestions : ['c’est-à-dire']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw enable |    => suggestions : ['']
37 Mot inconnu : sudo =>   sudo ufw enable | sudo
37 Mot inconnu : ufw =>   sudo ufw enable | ufw
37 Mot inconnu : enable =>   sudo ufw enable | enable

39 Mot inconnu : UFW => Désactiver UFW : (c'est à dire ne plus appliquer les règles définies) | ufw
39 Il manque les traits d’union. => Désactiver UFW : (c'est à dire ne plus appliquer les règles définies) | c'est à dire => suggestions : ['c’est-à-dire']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw disable |    => suggestions : ['']
41 Mot inconnu : sudo =>   sudo ufw disable | sudo
41 Mot inconnu : ufw =>   sudo ufw disable | ufw
41 Mot inconnu : disable =>   sudo ufw disable | disable

45 Mot inconnu : UFW => Une unique commande qui vous permettra de jeter un œil sur la totalité des instructions que vous avez indiquées à UFW :  | ufw
45 Espace(s) en fin de ligne à supprimer. => Une unique commande qui vous permettra de jeter un œil sur la totalité des instructions que vous avez indiquées à UFW :  |   => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw status verbose |    => suggestions : ['']
47 Mot inconnu : sudo =>   sudo ufw status verbose | sudo
47 Mot inconnu : ufw =>   sudo ufw status verbose | ufw
47 Mot inconnu : verbose =>   sudo ufw status verbose | verbose
49 Espace(s) en fin de ligne à supprimer. => Cette commande devrait vous afficher quelque chose comme ça :  |   => suggestions : ['']

73 Guillemets typographiques ouvrants. => L'argument ''verbose'' est optionnel, cependant il est vivement recommandé car il permet d'afficher la direction du trafic dans les règles (IN : entrant, OUT : sortant) | '' => suggestions : ['«\xa0', '“']
73 Mot inconnu : verbose => L'argument ''verbose'' est optionnel, cependant il est vivement recommandé car il permet d'afficher la direction du trafic dans les règles (IN : entrant, OUT : sortant) | verbose
73 Guillemets typographiques fermants. => L'argument ''verbose'' est optionnel, cependant il est vivement recommandé car il permet d'afficher la direction du trafic dans les règles (IN : entrant, OUT : sortant) | '' => suggestions : ['\xa0»', '”']
73 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => L'argument ''verbose'' est optionnel, cependant il est vivement recommandé car il permet d'afficher la direction du trafic dans les règles (IN : entrant, OUT : sortant) |  car => suggestions : [', car']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Journalisation : on (low) |    => suggestions : ['']

79 Pas d’espace avant un point. => Indique que la journalisation est activée, vous pouvez retrouver toutes les interactions du pare-feu dans le fichier **/var/log/ufw.log** . Vous pouvez activer ou désactiver cette journalisation, voir [[#Activer/désactiver la journalisation|ici]]. |  . => suggestions : ['.']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Default: deny (incoming), allow (outgoing), disabled (routed) |    => suggestions : ['']
81 Mot inconnu : Default =>   Default: deny (incoming), allow (outgoing), disabled (routed) | default
81 Mot inconnu : deny =>   Default: deny (incoming), allow (outgoing), disabled (routed) | deny
81 Mot inconnu : incoming =>   Default: deny (incoming), allow (outgoing), disabled (routed) | incoming
81 Mot inconnu : allow =>   Default: deny (incoming), allow (outgoing), disabled (routed) | allow
81 Mot inconnu : outgoing =>   Default: deny (incoming), allow (outgoing), disabled (routed) | outgoing
81 Mot inconnu : disabled =>   Default: deny (incoming), allow (outgoing), disabled (routed) | disabled
81 Mot inconnu : routed =>   Default: deny (incoming), allow (outgoing), disabled (routed) | routed

83 Mot inconnu : UFW => Concerne les règles par défaut de UFW, voir la rubrique [[#gestion_des_regles_par_defaut|gestion des règles par défaut]] pour son paramétrage. | ufw

90 Mot inconnu : tcp => 23/tcp (v6)                DENY OUT    Anywhere (v6)</code> | tcp
90 Mot inconnu : v6 => 23/tcp (v6)                DENY OUT    Anywhere (v6)</code> | v6
90 Mot inconnu : DENY => 23/tcp (v6)                DENY OUT    Anywhere (v6)</code> | deny
90 Espace(s) surnuméraire(s) à supprimer. => 23/tcp (v6)                DENY OUT    Anywhere (v6)</code> |      => suggestions : [' ']
90 Mot inconnu : Anywhere => 23/tcp (v6)                DENY OUT    Anywhere (v6)</code> | anywhere
90 Mot inconnu : v6 => 23/tcp (v6)                DENY OUT    Anywhere (v6)</code> | v6

92 Mot inconnu : V6 => Liste toutes les règles que vous avez indiquées au pare-feu. (V6) correspond aux règles adaptées pour l'IPv6, celles qui n'ont pas cette précision sont adaptées pour l'IPv4. Pour l’édition de ces règles, voir la rubrique concernant [[#Ajouter/supprimer des règles|l’édition des règles]]. | v6
92 Mot inconnu : IPv6 => Liste toutes les règles que vous avez indiquées au pare-feu. (V6) correspond aux règles adaptées pour l'IPv6, celles qui n'ont pas cette précision sont adaptées pour l'IPv4. Pour l’édition de ces règles, voir la rubrique concernant [[#Ajouter/supprimer des règles|l’édition des règles]]. | ipv6
92 Mot inconnu : IPv4 => Liste toutes les règles que vous avez indiquées au pare-feu. (V6) correspond aux règles adaptées pour l'IPv6, celles qui n'ont pas cette précision sont adaptées pour l'IPv4. Pour l’édition de ces règles, voir la rubrique concernant [[#Ajouter/supprimer des règles|l’édition des règles]]. | ipv4

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw status numbered |    => suggestions : ['']
97 Mot inconnu : sudo =>   sudo ufw status numbered | sudo
97 Mot inconnu : ufw =>   sudo ufw status numbered | ufw
97 Mot inconnu : numbered =>   sudo ufw status numbered | numbered

101 Mot inconnu : UFW => Lorsque UFW est activé, par défaut le trafic entrant est refusé et le trafic sortant est autorisé. C'est en général le réglage à privilégier, cependant vous pouvez tout de même modifier ces règles. | ufw

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw default allow |    => suggestions : ['']
105 Mot inconnu : sudo =>   sudo ufw default allow | sudo
105 Mot inconnu : ufw =>   sudo ufw default allow | ufw
105 Mot inconnu : default =>   sudo ufw default allow | default
105 Mot inconnu : allow =>   sudo ufw default allow | allow

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw default deny |    => suggestions : ['']
109 Mot inconnu : sudo =>   sudo ufw default deny | sudo
109 Mot inconnu : ufw =>   sudo ufw default deny | ufw
109 Mot inconnu : default =>   sudo ufw default deny | default
109 Mot inconnu : deny =>   sudo ufw default deny | deny

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw default allow outgoing |    => suggestions : ['']
113 Mot inconnu : sudo =>   sudo ufw default allow outgoing | sudo
113 Mot inconnu : ufw =>   sudo ufw default allow outgoing | ufw
113 Mot inconnu : default =>   sudo ufw default allow outgoing | default
113 Mot inconnu : allow =>   sudo ufw default allow outgoing | allow
113 Mot inconnu : outgoing =>   sudo ufw default allow outgoing | outgoing

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw default deny outgoing |    => suggestions : ['']
117 Mot inconnu : sudo =>   sudo ufw default deny outgoing | sudo
117 Mot inconnu : ufw =>   sudo ufw default deny outgoing | ufw
117 Mot inconnu : default =>   sudo ufw default deny outgoing | default
117 Mot inconnu : deny =>   sudo ufw default deny outgoing | deny
117 Mot inconnu : outgoing =>   sudo ufw default deny outgoing | outgoing
123 Espace(s) en fin de ligne à supprimer. => Activer la journalisation :  |   => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw logging on |    => suggestions : ['']
125 Mot inconnu : sudo =>   sudo ufw logging on | sudo
125 Mot inconnu : ufw =>   sudo ufw logging on | ufw
125 Mot inconnu : logging =>   sudo ufw logging on | logging
127 Espace(s) en fin de ligne à supprimer. => Désactiver la journalisation :  |   => suggestions : ['']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw logging off |    => suggestions : ['']
129 Mot inconnu : sudo =>   sudo ufw logging off | sudo
129 Mot inconnu : ufw =>   sudo ufw logging off | ufw
129 Mot inconnu : logging =>   sudo ufw logging off | logging

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw allow [règle] |    => suggestions : ['']
135 Mot inconnu : sudo =>   sudo ufw allow [règle] | sudo
135 Mot inconnu : ufw =>   sudo ufw allow [règle] | ufw
135 Mot inconnu : allow =>   sudo ufw allow [règle] | allow

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw deny [règle] |    => suggestions : ['']
139 Mot inconnu : sudo =>   sudo ufw deny [règle] | sudo
139 Mot inconnu : ufw =>   sudo ufw deny [règle] | ufw
139 Mot inconnu : deny =>   sudo ufw deny [règle] | deny

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

