
5 Mot inconnu : Speed-Dreams => ====== Speed-Dreams ====== <|> speed-dreams

11 Guillemets typographiques ouvrants. => La difficulté y est plus grande que dans le jeu original 'TORCS’ avec de nouvelles pistes et de nouvelles voitures. Il bénéficie de menus retravaillés. <|> ' => suggestions : ['“', '‘', '‹']
11 Mot inconnu : TORCS => La difficulté y est plus grande que dans le jeu original 'TORCS’ avec de nouvelles pistes et de nouvelles voitures. Il bénéficie de menus retravaillés. <|> torcs

28 Mot inconnu : Dreams => La seule solution pour installer Speed Dreams sur les dernières versions d'Ubuntu est de le compiler depuis les sources ou d'aller sur une autre distribution : <|> dreams

35 Mot inconnu : Dreams => Lancez le jeu depuis le menu //Applications -> Jeux -> Speed Dreams//. <|> dreams

41 Mot inconnu : player => Par défaut, le logiciel fonctionne au clavier avec les flèches de direction. Si vous voulez modifier les touches clavier ou installer un périphérique de type joystick ou volant, allez dans la rubrique //Configure player//. Ensuite choisissez //Controls//, affectez les boutons et molettes de votre périphérique à une action, ensuite choisissez l'option //Calibrate// pour finir le paramétrage du périphérique. <|> player
41 Mot inconnu : Controls => Par défaut, le logiciel fonctionne au clavier avec les flèches de direction. Si vous voulez modifier les touches clavier ou installer un périphérique de type joystick ou volant, allez dans la rubrique //Configure player//. Ensuite choisissez //Controls//, affectez les boutons et molettes de votre périphérique à une action, ensuite choisissez l'option //Calibrate// pour finir le paramétrage du périphérique. <|> controls
41 Mot inconnu : Calibrate => Par défaut, le logiciel fonctionne au clavier avec les flèches de direction. Si vous voulez modifier les touches clavier ou installer un périphérique de type joystick ou volant, allez dans la rubrique //Configure player//. Ensuite choisissez //Controls//, affectez les boutons et molettes de votre périphérique à une action, ensuite choisissez l'option //Calibrate// pour finir le paramétrage du périphérique. <|> calibrate
48 Mot inconnu : Speed-Dreams =>   * **(en)**  [[http://www.speed-dreams.org/|Le site officiel de Speed-Dreams]] <|> speed-dreams
52 Espace(s) surnuméraire(s) à supprimer. => //Contributeurs :  willcoyote//  <|>    => suggestions : [' ']
52 Mot inconnu : willcoyote => //Contributeurs :  willcoyote//  <|> willcoyote
