
5 Mot inconnu : Camorama [[7:15]] => ====== Camorama ====== <|> camorama

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

26 Espace(s) en fin de ligne à supprimer. [[46:47]] => Il est assez facile d'utilisation et intuitif.  <|>   => suggestions : None
30 Mot inconnu : Take [[39:43]] =>   * Prendre une photo avec le bouton **Take a picture**. <|> take
30 Mot inconnu : picture [[46:53]] =>   * Prendre une photo avec le bouton **Take a picture**. <|> picture
31 Erreur d’accord probable avec “les”. [[22:27]] =>   * Prendre une photo toute les x minutes (mais pas moins malheureusement) et la stocker dans un dossier quelconque y compris dans le dossier "public" de votre Dropbox (Très intéressant, car cela permet de s'affranchir du FTP qui peut poser problème) <|> toute => suggestions : None
31 Guillemets typographiques ouvrants. [[142:143]] =>   * Prendre une photo toute les x minutes (mais pas moins malheureusement) et la stocker dans un dossier quelconque y compris dans le dossier "public" de votre Dropbox (Très intéressant, car cela permet de s'affranchir du FTP qui peut poser problème) <|> " => suggestions : None
31 Guillemets typographiques fermants. [[149:150]] =>   * Prendre une photo toute les x minutes (mais pas moins malheureusement) et la stocker dans un dossier quelconque y compris dans le dossier "public" de votre Dropbox (Très intéressant, car cela permet de s'affranchir du FTP qui peut poser problème) <|> " => suggestions : None
31 Mot inconnu : Dropbox [[160:167]] =>   * Prendre une photo toute les x minutes (mais pas moins malheureusement) et la stocker dans un dossier quelconque y compris dans le dossier "public" de votre Dropbox (Très intéressant, car cela permet de s'affranchir du FTP qui peut poser problème) <|> dropbox
32 Erreur d’accord probable avec “les”. [[22:27]] =>   * Envoyer une photo toute les x minutes sur un serveur FTP (version 0.19 en tous cas - Problème possible: n'enregistre pas les paramètres et "plante") <|> toute => suggestions : None
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[86:89]] =>   * Envoyer une photo toute les x minutes sur un serveur FTP (version 0.19 en tous cas - Problème possible: n'enregistre pas les paramètres et "plante") <|>  -  => suggestions : None
32 Guillemets typographiques ouvrants. [[143:144]] =>   * Envoyer une photo toute les x minutes sur un serveur FTP (version 0.19 en tous cas - Problème possible: n'enregistre pas les paramètres et "plante") <|> " => suggestions : None
32 Guillemets typographiques fermants. [[150:151]] =>   * Envoyer une photo toute les x minutes sur un serveur FTP (version 0.19 en tous cas - Problème possible: n'enregistre pas les paramètres et "plante") <|> " => suggestions : None
33 Mot inconnu : Effects [[78:85]] =>   * Ajoutez des Effets sur votre image en faisant un clique-droit sur le menu Effects à droite. <|> effects
35 Mot inconnu : contrast [[27:35]] =>   * Ajuster les valeurs de contrast, brightness, color, hue, white balance. <|> contrast
35 Mot inconnu : brightness [[37:47]] =>   * Ajuster les valeurs de contrast, brightness, color, hue, white balance. <|> brightness
35 Mot inconnu : color [[49:54]] =>   * Ajuster les valeurs de contrast, brightness, color, hue, white balance. <|> color
35 Mot inconnu : white [[61:66]] =>   * Ajuster les valeurs de contrast, brightness, color, hue, white balance. <|> white

38 Mot inconnu : Map [[70:73]] => Si les couleurs de votre webcam ne sont pas bonnes, Il y a 2 méthodes Map (par défaut) et Read (option -R), il suffit de cliquer droit sur le panneau « Effects » (faire Ctrl + E si celui-ci n'apparaît pas) et de sélectionner « Add filter » puis « Color correction »: <|> map
38 Mot inconnu : Read [[90:94]] => Si les couleurs de votre webcam ne sont pas bonnes, Il y a 2 méthodes Map (par défaut) et Read (option -R), il suffit de cliquer droit sur le panneau « Effects » (faire Ctrl + E si celui-ci n'apparaît pas) et de sélectionner « Add filter » puis « Color correction »: <|> read
38 Il manque un espace à côté du tiret. [[102:104]] => Si les couleurs de votre webcam ne sont pas bonnes, Il y a 2 méthodes Map (par défaut) et Read (option -R), il suffit de cliquer droit sur le panneau « Effects » (faire Ctrl + E si celui-ci n'apparaît pas) et de sélectionner « Add filter » puis « Color correction »: <|>  - => suggestions : None
38 Mot inconnu : Effects [[152:159]] => Si les couleurs de votre webcam ne sont pas bonnes, Il y a 2 méthodes Map (par défaut) et Read (option -R), il suffit de cliquer droit sur le panneau « Effects » (faire Ctrl + E si celui-ci n'apparaît pas) et de sélectionner « Add filter » puis « Color correction »: <|> effects
38 Mot inconnu : Add [[227:230]] => Si les couleurs de votre webcam ne sont pas bonnes, Il y a 2 méthodes Map (par défaut) et Read (option -R), il suffit de cliquer droit sur le panneau « Effects » (faire Ctrl + E si celui-ci n'apparaît pas) et de sélectionner « Add filter » puis « Color correction »: <|> add
38 Mot inconnu : filter [[231:237]] => Si les couleurs de votre webcam ne sont pas bonnes, Il y a 2 méthodes Map (par défaut) et Read (option -R), il suffit de cliquer droit sur le panneau « Effects » (faire Ctrl + E si celui-ci n'apparaît pas) et de sélectionner « Add filter » puis « Color correction »: <|> filter
38 Mot inconnu : Color [[247:252]] => Si les couleurs de votre webcam ne sont pas bonnes, Il y a 2 méthodes Map (par défaut) et Read (option -R), il suffit de cliquer droit sur le panneau « Effects » (faire Ctrl + E si celui-ci n'apparaît pas) et de sélectionner « Add filter » puis « Color correction »: <|> color

46 Mot inconnu : Unable [[4:10]] => ====Unable to capture image==== <|> unable
46 Mot inconnu : to [[11:13]] => ====Unable to capture image==== <|> to

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

55 Mot inconnu : Add [[0:3]] => Add Filter -> Color correction <|> add
55 Mot inconnu : Filter [[4:10]] => Add Filter -> Color correction <|> filter
55 Mot inconnu : Color [[14:19]] => Add Filter -> Color correction <|> color
56 Mot inconnu : Video4Linux [[210:221]] =>   * Si vos images sont surexposées par temps ensoleillé, mettez des lunettes de soleil à votre webcam ! :-) C'est pas des blagues, ça fonctionne vraiment ! Il faut évidemment faire des corrections ensuite avec Video4Linux Control Panel. <|> video4linux
56 Mot inconnu : Control [[222:229]] =>   * Si vos images sont surexposées par temps ensoleillé, mettez des lunettes de soleil à votre webcam ! :-) C'est pas des blagues, ça fonctionne vraiment ! Il faut évidemment faire des corrections ensuite avec Video4Linux Control Panel. <|> control

63 Typographie : points de suspension. Utilisez le caractère dédié. [[29:32]] => //Contributeurs principaux : ...// <|> ... => suggestions : None
