1 Mot inconnu : Driv3r => ====== Driv3r (Driver 3) ====== | driv3r

7 Guillemets typographiques ouvrants. => //Tanner, Flic solitaire surnommé "the driver", a infiltré un réseau de trafiquants de voitures volées d'envergure internationale. Les courses poursuites et les fusillafes emmèneront Ranner sur 3 continents. Pour lui tous les moyens sont bons pour mettre fin aux activités de ses alter ego criminels.//  | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : the => //Tanner, Flic solitaire surnommé "the driver", a infiltré un réseau de trafiquants de voitures volées d'envergure internationale. Les courses poursuites et les fusillafes emmèneront Ranner sur 3 continents. Pour lui tous les moyens sont bons pour mettre fin aux activités de ses alter ego criminels.//  | the
7 Guillemets typographiques fermants. => //Tanner, Flic solitaire surnommé "the driver", a infiltré un réseau de trafiquants de voitures volées d'envergure internationale. Les courses poursuites et les fusillafes emmèneront Ranner sur 3 continents. Pour lui tous les moyens sont bons pour mettre fin aux activités de ses alter ego criminels.//  | " => suggestions : ['\xa0»', '”']
7 Mot inconnu : fusillafes => //Tanner, Flic solitaire surnommé "the driver", a infiltré un réseau de trafiquants de voitures volées d'envergure internationale. Les courses poursuites et les fusillafes emmèneront Ranner sur 3 continents. Pour lui tous les moyens sont bons pour mettre fin aux activités de ses alter ego criminels.//  | fusillafes
7 Mot inconnu : Ranner => //Tanner, Flic solitaire surnommé "the driver", a infiltré un réseau de trafiquants de voitures volées d'envergure internationale. Les courses poursuites et les fusillafes emmèneront Ranner sur 3 continents. Pour lui tous les moyens sont bons pour mettre fin aux activités de ses alter ego criminels.//  | ranner
7 Espace(s) en fin de ligne à supprimer. => //Tanner, Flic solitaire surnommé "the driver", a infiltré un réseau de trafiquants de voitures volées d'envergure internationale. Les courses poursuites et les fusillafes emmèneront Ranner sur 3 continents. Pour lui tous les moyens sont bons pour mettre fin aux activités de ses alter ego criminels.//  |   => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installer la dernière version de **[[playonlinux]]**. |    => suggestions : ['']
11 Incohérence probable avec “Avoir” : “installer” n’est pas un participe passé. =>   * Avoir installer la dernière version de **[[playonlinux]]**. | installer => suggestions : ['installé']
11 Mot inconnu : playonlinux =>   * Avoir installer la dernière version de **[[playonlinux]]**. | playonlinux

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installer la dernière version de **[[wine]]**. |    => suggestions : ['']
12 Incohérence probable avec “Avoir” : “installer” n’est pas un participe passé. =>   * Avoir installer la dernière version de **[[wine]]**. | installer => suggestions : ['installé']
12 Mot inconnu : wine =>   * Avoir installer la dernière version de **[[wine]]**. | wine

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir **16 ans minimum**. |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (ce dernier n'est plus nécessaire après installation). A noter qu'il existe des versions cd qui nécessiteront l'application d'un [[http://www.clubic.com/patch-jeux-video-920-0-driv3r.html|patch]], la version dvd 2.00 en étant dispensée. |    => suggestions : ['']
