
3 Mot inconnu : Rigs [[7:11]] => ====== Rigs of Rods ====== <|> rigs
3 Mot inconnu : of [[12:14]] => ====== Rigs of Rods ====== <|> of
3 Mot inconnu : Rods [[15:19]] => ====== Rigs of Rods ====== <|> rods

44 Mot inconnu : RoR [[24:27]] => Vous avez maintenant un RoR flambant neuf sur votre système, mais en voulant lancer votre partie, vous vous retrouvez avec deux cartes toutes plates et sans aucun intérêt. <|> ror

52 Typographie : points de suspension. Utilisez le caractère dédié. [[18:21]] => Relancez le jeu et... Amusez-vous bien ! <|> ... => suggestions : ['…']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

82 Mot inconnu : rigs-of-rods [[94:106]] => Avant de pouvoir jouer, lancer le script de configuration. Pour cela, allez dans le dossier ~/rigs-of-rods et double-cliquez sur RoRConfig. Dans l'onglet graphics, le "RTT Mode" FBO semble ne pas fonctionner, choisir PBuffer. Réglez le reste des options en fonction de votre configuration. <|> rigs-of-rods
82 Mot inconnu : RoRConfig [[129:138]] => Avant de pouvoir jouer, lancer le script de configuration. Pour cela, allez dans le dossier ~/rigs-of-rods et double-cliquez sur RoRConfig. Dans l'onglet graphics, le "RTT Mode" FBO semble ne pas fonctionner, choisir PBuffer. Réglez le reste des options en fonction de votre configuration. <|> rorconfig
82 Mot inconnu : graphics [[154:162]] => Avant de pouvoir jouer, lancer le script de configuration. Pour cela, allez dans le dossier ~/rigs-of-rods et double-cliquez sur RoRConfig. Dans l'onglet graphics, le "RTT Mode" FBO semble ne pas fonctionner, choisir PBuffer. Réglez le reste des options en fonction de votre configuration. <|> graphics
82 Accord de genre erroné : « RTT » est féminin. [[164:166]] => Avant de pouvoir jouer, lancer le script de configuration. Pour cela, allez dans le dossier ~/rigs-of-rods et double-cliquez sur RoRConfig. Dans l'onglet graphics, le "RTT Mode" FBO semble ne pas fonctionner, choisir PBuffer. Réglez le reste des options en fonction de votre configuration. <|> le => suggestions : ['la']
82 Guillemets typographiques ouvrants. [[167:168]] => Avant de pouvoir jouer, lancer le script de configuration. Pour cela, allez dans le dossier ~/rigs-of-rods et double-cliquez sur RoRConfig. Dans l'onglet graphics, le "RTT Mode" FBO semble ne pas fonctionner, choisir PBuffer. Réglez le reste des options en fonction de votre configuration. <|> " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. [[176:177]] => Avant de pouvoir jouer, lancer le script de configuration. Pour cela, allez dans le dossier ~/rigs-of-rods et double-cliquez sur RoRConfig. Dans l'onglet graphics, le "RTT Mode" FBO semble ne pas fonctionner, choisir PBuffer. Réglez le reste des options en fonction de votre configuration. <|> " => suggestions : ['\xa0»', '”']
82 Mot inconnu : FBO [[178:181]] => Avant de pouvoir jouer, lancer le script de configuration. Pour cela, allez dans le dossier ~/rigs-of-rods et double-cliquez sur RoRConfig. Dans l'onglet graphics, le "RTT Mode" FBO semble ne pas fonctionner, choisir PBuffer. Réglez le reste des options en fonction de votre configuration. <|> fbo
82 Mot inconnu : PBuffer [[217:224]] => Avant de pouvoir jouer, lancer le script de configuration. Pour cela, allez dans le dossier ~/rigs-of-rods et double-cliquez sur RoRConfig. Dans l'onglet graphics, le "RTT Mode" FBO semble ne pas fonctionner, choisir PBuffer. Réglez le reste des options en fonction de votre configuration. <|> pbuffer

89 Mot inconnu : rigs-of-rods [[62:74]] => Pour désinstaller le jeu, il suffit de supprimer le dossier ~/rigs-of-rods de votre **Dossier Personnel**. <|> rigs-of-rods
