
5 Mot inconnu : GoldenGate [[7:17]] => ====== GoldenGate OpenR66 ====== <|> goldengate
5 Mot inconnu : OpenR66 [[18:25]] => ====== GoldenGate OpenR66 ====== <|> openr66

11 Mot inconnu : Netty [[46:51]] => L'outil est basé essentiellement sur le cadre Netty (http://www.jboss.org/netty)  et ont tendance à être réellement efficace, tant en terme de mémoire, de threads et la bande passante réseau. <|> netty
11 Dans la locution “en termes de”, mettez “terme” au pluriel. [[131:142]] => L'outil est basé essentiellement sur le cadre Netty (http://www.jboss.org/netty)  et ont tendance à être réellement efficace, tant en terme de mémoire, de threads et la bande passante réseau. <|> en terme de => suggestions : en termes de

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

14 Mot inconnu : GoldenGateR66 [[20:33]] => ** Configuration de GoldenGateR66 Server et Clients ** <|> goldengater66

31 Conjugaison erronée. Accord avec “Les paquets…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[12:16]] => Les paquets java doivent être installé par la commande : <|> java => suggestions : javèrent
31 Accord avec la forme verbale “doivent” : “installé” devrait être au pluriel. [[30:38]] => Les paquets java doivent être installé par la commande : <|> installé => suggestions : installés

37 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[31:33]] => Récupérer les derniers fichiers .jar  et GoldenGateR66-x.x.x.zip de openr66 sur  le site [https://sourceforge.net/projects/goldengate/files/ openr66.free.fr] et récupérer également le fichier netty-3.1.3.GA.jar  <|>  . => suggestions : .. 
37 Espace(s) surnuméraire(s) à supprimer. [[36:38]] => Récupérer les derniers fichiers .jar  et GoldenGateR66-x.x.x.zip de openr66 sur  le site [https://sourceforge.net/projects/goldengate/files/ openr66.free.fr] et récupérer également le fichier netty-3.1.3.GA.jar  <|>    => suggestions :  
37 Mot inconnu : GoldenGateR66-x [[41:56]] => Récupérer les derniers fichiers .jar  et GoldenGateR66-x.x.x.zip de openr66 sur  le site [https://sourceforge.net/projects/goldengate/files/ openr66.free.fr] et récupérer également le fichier netty-3.1.3.GA.jar  <|> goldengater66-x
37 Élision de l’article devant un mot commençant par une voyelle. [[65:68]] => Récupérer les derniers fichiers .jar  et GoldenGateR66-x.x.x.zip de openr66 sur  le site [https://sourceforge.net/projects/goldengate/files/ openr66.free.fr] et récupérer également le fichier netty-3.1.3.GA.jar  <|> de  => suggestions : d’
37 Mot inconnu : openr66 [[68:75]] => Récupérer les derniers fichiers .jar  et GoldenGateR66-x.x.x.zip de openr66 sur  le site [https://sourceforge.net/projects/goldengate/files/ openr66.free.fr] et récupérer également le fichier netty-3.1.3.GA.jar  <|> openr66
37 Espace(s) surnuméraire(s) à supprimer. [[79:81]] => Récupérer les derniers fichiers .jar  et GoldenGateR66-x.x.x.zip de openr66 sur  le site [https://sourceforge.net/projects/goldengate/files/ openr66.free.fr] et récupérer également le fichier netty-3.1.3.GA.jar  <|>    => suggestions :  
37 Mot inconnu : netty-3 [[192:199]] => Récupérer les derniers fichiers .jar  et GoldenGateR66-x.x.x.zip de openr66 sur  le site [https://sourceforge.net/projects/goldengate/files/ openr66.free.fr] et récupérer également le fichier netty-3.1.3.GA.jar  <|> netty-3
37 Espace(s) en fin de ligne à supprimer. [[210:211]] => Récupérer les derniers fichiers .jar  et GoldenGateR66-x.x.x.zip de openr66 sur  le site [https://sourceforge.net/projects/goldengate/files/ openr66.free.fr] et récupérer également le fichier netty-3.1.3.GA.jar  <|>  

38 Mot inconnu : GoldenGateR66-x [[52:67]] => et les copier sous /usr/share/java (sauf le fichier GoldenGateR66-x.x.x.zip) <|> goldengater66-x

39 Espace(s) en fin de ligne à supprimer. [[37:38]] => puis créer les liens comme ci-dessous  <|>  

58 Élision de l’article devant un mot commençant par une voyelle. [[51:54]] => Créer un répertoire pour l'installation de la conf de openr66 et y déposer le fichier zip <|> de  => suggestions : d’
58 Mot inconnu : openr66 [[54:61]] => Créer un répertoire pour l'installation de la conf de openr66 et y déposer le fichier zip <|> openr66

68 Mot inconnu : ENV_R66 [[18:25]] => Copier le fichier ENV_R66 sous /usr/share/opengater66/ <|> env_r66

70 Mot inconnu : bin [[26:29]] => Et Copier les répertoires bin et conf sous /usr/share/opengater66/ <|> bin

72 Espace(s) en fin de ligne à supprimer. [[29:31]] => Copier également l'admin http   <|>   

76 Accord de genre erroné : « home » est masculin. [[5:7]] => sous la home directory modifier le fichier .bashrc et ajouter la ligne suivante : <|> la => suggestions : le
76 Mot inconnu : directory [[13:22]] => sous la home directory modifier le fichier .bashrc et ajouter la ligne suivante : <|> directory
76 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[42:44]] => sous la home directory modifier le fichier .bashrc et ajouter la ligne suivante : <|>  . => suggestions : .. 

197 Mot inconnu : logback-client [[53:67]] => sous /usr/share/opengater66/conf modifier le fichier logback-client.xml et remplacer les lignes avec le bon path <|> logback-client
197 Mot inconnu : path [[108:112]] => sous /usr/share/opengater66/conf modifier le fichier logback-client.xml et remplacer les lignes avec le bon path <|> path

215 Mot inconnu : logback [[53:60]] => sous /usr/share/opengater66/conf modifier le fichier logback.xml <|> logback

245 Mot inconnu : configinitbparq102 [[59:77]] => sous /usr/share/opengater66/conf copier un fichier exemple configinitbparq102.xml modifier le fichier configinit`hostname`.xml <|> configinitbparq102
245 Mot inconnu : configinit`hostname [[102:121]] => sous /usr/share/opengater66/conf copier un fichier exemple configinitbparq102.xml modifier le fichier configinit`hostname`.xml <|> configinit`hostname
246 Mot inconnu : SGBD [[26:30]] => ici j'utilise mysql comme SGBD (mais on peut utiliser oracle , postgres ) <|> sgbd
246 Pas d’espace avant une virgule. [[60:62]] => ici j'utilise mysql comme SGBD (mais on peut utiliser oracle , postgres ) <|>  , => suggestions : ,
246 Pas d’espace avant ce signe. [[71:73]] => ici j'utilise mysql comme SGBD (mais on peut utiliser oracle , postgres ) <|>  ) => suggestions : )

260 Mot inconnu : Generation [[3:13]] => == Generation de la cle SSL == <|> generation
260 Mot inconnu : cle [[20:23]] => == Generation de la cle SSL == <|> cle

314 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

321 Mot inconnu : configbparq102 [[59:73]] => sous /usr/share/opengater66/conf copier un fichier exemple configbparq102.xml modifier le fichier config`hostname`.xml <|> configbparq102
321 Mot inconnu : config`hostname [[98:113]] => sous /usr/share/opengater66/conf copier un fichier exemple configbparq102.xml modifier le fichier config`hostname`.xml <|> config`hostname

363 Mot inconnu : limitConfigbparq102 [[59:78]] => sous /usr/share/opengater66/conf copier un fichier exemple limitConfigbparq102.xml modifier le fichier limitConfig`hostname`.xml <|> limitconfigbparq102
363 Mot inconnu : limitConfig`hostname [[103:123]] => sous /usr/share/opengater66/conf copier un fichier exemple limitConfigbparq102.xml modifier le fichier limitConfig`hostname`.xml <|> limitconfig`hostname

378 Mot inconnu : authent [[20:27]] => modifier le fichier authent.xml sous /usr/share/opengater66/conf  <|> authent
378 Espace(s) en fin de ligne à supprimer. [[64:65]] => modifier le fichier authent.xml sous /usr/share/opengater66/conf  <|>  

396 Mot inconnu : configclientbparq102 [[59:79]] => sous /usr/share/opengater66/conf copier un fichier exemple configclientbparq102.xml modifier le fichier configinit`hostname`.xml <|> configclientbparq102
396 Mot inconnu : configinit`hostname [[104:123]] => sous /usr/share/opengater66/conf copier un fichier exemple configclientbparq102.xml modifier le fichier configinit`hostname`.xml <|> configinit`hostname
397 Mot inconnu : SGBD [[26:30]] => ici j'utilise mysql comme SGBD (mais on peut utiliser oracle , postgres ) <|> sgbd
397 Pas d’espace avant une virgule. [[60:62]] => ici j'utilise mysql comme SGBD (mais on peut utiliser oracle , postgres ) <|>  , => suggestions : ,
397 Pas d’espace avant ce signe. [[71:73]] => ici j'utilise mysql comme SGBD (mais on peut utiliser oracle , postgres ) <|>  ) => suggestions : )

429 Mot inconnu : init [[17:21]] => lancer le script init.sh sous /usr/share/goldengater66/bin <|> init
429 Mot inconnu : sh [[22:24]] => lancer le script init.sh sous /usr/share/goldengater66/bin <|> sh

440 Mot inconnu : Executer [[0:8]] => Executer le script  <|> executer
440 Espace(s) en fin de ligne à supprimer. [[18:19]] => Executer le script  <|>  

466 Espace(s) en fin de ligne à supprimer. [[32:33]] => Vérifier si le serveur a démarré  <|>  

476 Mot inconnu : OpenR66 [[18:25]] => ===== Utilisation OpenR66 ===== <|> openr66

498 Mot inconnu : SubmitTransfer [[241:255]] => Il s'agit de la deuxième méthode pour transférer un fichier. Cette méthode est directe, donc comme une opération synchrone. Cette fois, le client va faire le vrai travail (transfert de fichier). Les options sont exactement les mêmes qu'avec SubmitTransfer. Toutefois, deux cas existent: <|> submittransfer

500 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[3:9]] => 1. client lourd: Le fichier de configuration XML client comprend l'accès à la base. Toutes les opérations de transfert sera connecté (éventuellement supprimées à la fin du côté client si l'option '-nolog est fixé). Cette option est utile pour la "production" des clients dans un centre de données. <|> client => suggestions : Client
500 Conjugaison erronée. Accord avec “les opérations…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[119:123]] => 1. client lourd: Le fichier de configuration XML client comprend l'accès à la base. Toutes les opérations de transfert sera connecté (éventuellement supprimées à la fin du côté client si l'option '-nolog est fixé). Cette option est utile pour la "production" des clients dans un centre de données. <|> sera => suggestions : seront
500 Mot inconnu : nolog [[198:203]] => 1. client lourd: Le fichier de configuration XML client comprend l'accès à la base. Toutes les opérations de transfert sera connecté (éventuellement supprimées à la fin du côté client si l'option '-nolog est fixé). Cette option est utile pour la "production" des clients dans un centre de données. <|> nolog
500 Guillemets typographiques ouvrants. [[246:247]] => 1. client lourd: Le fichier de configuration XML client comprend l'accès à la base. Toutes les opérations de transfert sera connecté (éventuellement supprimées à la fin du côté client si l'option '-nolog est fixé). Cette option est utile pour la "production" des clients dans un centre de données. <|> " => suggestions : « “
500 Guillemets typographiques fermants. [[257:258]] => 1. client lourd: Le fichier de configuration XML client comprend l'accès à la base. Toutes les opérations de transfert sera connecté (éventuellement supprimées à la fin du côté client si l'option '-nolog est fixé). Cette option est utile pour la "production" des clients dans un centre de données. <|> " => suggestions :  »”
502 Conjugaison erronée. Accord avec “les opérations…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[132:136]] => 2. Client léger: Le fichier de configuration XML client ne comprend pas de l'accès à la base. Toutes les opérations de transfert ne sera pas connecté à tous (à côté du client). Cette option est utile pour "client léger" comme les ordinateurs personnels, où le transfert de fichiers depuis ou vers un centre de données est une nécessité. <|> sera => suggestions : seront
502 Guillemets typographiques ouvrants. [[205:206]] => 2. Client léger: Le fichier de configuration XML client ne comprend pas de l'accès à la base. Toutes les opérations de transfert ne sera pas connecté à tous (à côté du client). Cette option est utile pour "client léger" comme les ordinateurs personnels, où le transfert de fichiers depuis ou vers un centre de données est une nécessité. <|> " => suggestions : « “
502 Guillemets typographiques fermants. [[218:219]] => 2. Client léger: Le fichier de configuration XML client ne comprend pas de l'accès à la base. Toutes les opérations de transfert ne sera pas connecté à tous (à côté du client). Cette option est utile pour "client léger" comme les ordinateurs personnels, où le transfert de fichiers depuis ou vers un centre de données est une nécessité. <|> " => suggestions :  »”

503 Accord erroné : “client” et “terminée” ne sont pas accordés. [[164:172]] => Toutefois, les deux clients ne peut être l'initiateur du transfert (recevoir ou d'envoyer), car aucun service n'est en cours d'exécution une fois que le client est terminée. <|> terminée => suggestions : terminé
505 Mot inconnu : SendThroughClient [[4:21]] =>   * SendThroughClient <|> sendthroughclient

507 Mot inconnu : OpenR66 [[138:145]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier d'un protocole en Java pour OpenR66. Par exemple, si un protocole comme upload HTTP ou FTP upload permet d'obtenir un transfert de fichiers par paquets, vous pouvez ensuite la route de ce transfert de fichiers par le biais OpenR66 à une finale Server OpenR66 utilisant le protocole, mais sans écrire un fichier intermédiaire (écrire directement les octets à partir de le téléchargement à l'interface OpenR66 SendThroughClient). Un exemple simple est montré dans TestSendThroughClient. <|> openr66
507 Mot inconnu : OpenR66 [[333:340]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier d'un protocole en Java pour OpenR66. Par exemple, si un protocole comme upload HTTP ou FTP upload permet d'obtenir un transfert de fichiers par paquets, vous pouvez ensuite la route de ce transfert de fichiers par le biais OpenR66 à une finale Server OpenR66 utilisant le protocole, mais sans écrire un fichier intermédiaire (écrire directement les octets à partir de le téléchargement à l'interface OpenR66 SendThroughClient). Un exemple simple est montré dans TestSendThroughClient. <|> openr66
507 Mot inconnu : OpenR66 [[361:368]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier d'un protocole en Java pour OpenR66. Par exemple, si un protocole comme upload HTTP ou FTP upload permet d'obtenir un transfert de fichiers par paquets, vous pouvez ensuite la route de ce transfert de fichiers par le biais OpenR66 à une finale Server OpenR66 utilisant le protocole, mais sans écrire un fichier intermédiaire (écrire directement les octets à partir de le téléchargement à l'interface OpenR66 SendThroughClient). Un exemple simple est montré dans TestSendThroughClient. <|> openr66
507 Incohérence avec “de le” : “téléchargement” est un nom ou un adjectif. [[475:480]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier d'un protocole en Java pour OpenR66. Par exemple, si un protocole comme upload HTTP ou FTP upload permet d'obtenir un transfert de fichiers par paquets, vous pouvez ensuite la route de ce transfert de fichiers par le biais OpenR66 à une finale Server OpenR66 utilisant le protocole, mais sans écrire un fichier intermédiaire (écrire directement les octets à partir de le téléchargement à l'interface OpenR66 SendThroughClient). Un exemple simple est montré dans TestSendThroughClient. <|> de le => suggestions : du
507 Mot inconnu : OpenR66 [[510:517]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier d'un protocole en Java pour OpenR66. Par exemple, si un protocole comme upload HTTP ou FTP upload permet d'obtenir un transfert de fichiers par paquets, vous pouvez ensuite la route de ce transfert de fichiers par le biais OpenR66 à une finale Server OpenR66 utilisant le protocole, mais sans écrire un fichier intermédiaire (écrire directement les octets à partir de le téléchargement à l'interface OpenR66 SendThroughClient). Un exemple simple est montré dans TestSendThroughClient. <|> openr66
507 Mot inconnu : SendThroughClient [[518:535]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier d'un protocole en Java pour OpenR66. Par exemple, si un protocole comme upload HTTP ou FTP upload permet d'obtenir un transfert de fichiers par paquets, vous pouvez ensuite la route de ce transfert de fichiers par le biais OpenR66 à une finale Server OpenR66 utilisant le protocole, mais sans écrire un fichier intermédiaire (écrire directement les octets à partir de le téléchargement à l'interface OpenR66 SendThroughClient). Un exemple simple est montré dans TestSendThroughClient. <|> sendthroughclient
507 Mot inconnu : TestSendThroughClient [[572:593]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier d'un protocole en Java pour OpenR66. Par exemple, si un protocole comme upload HTTP ou FTP upload permet d'obtenir un transfert de fichiers par paquets, vous pouvez ensuite la route de ce transfert de fichiers par le biais OpenR66 à une finale Server OpenR66 utilisant le protocole, mais sans écrire un fichier intermédiaire (écrire directement les octets à partir de le téléchargement à l'interface OpenR66 SendThroughClient). Un exemple simple est montré dans TestSendThroughClient. <|> testsendthroughclient
511 Mot inconnu : RecvThroughClient [[4:21]] =>   * RecvThroughClient <|> recvthroughclient

513 Mot inconnu : OpenR66 [[138:145]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier à un protocole en Java pour OpenR66. Par exemple, si un protocole comme HTTP ou FTP de téléchargement permet d'obtenir un fichier téléchargé par paquets, vous pouvez ensuite acheminer directement le transfert de fichiers à partir de OpenR66 un serveur distant en utilisant le protocole OpenR66 directement, mais sans écrire un fichier intermédiaire (écrire directement les octets de la télécharger à partir de l'interface OpenR66 RecvThroughHandler). Un exemple simple est montré dans TestRecvThroughClient. <|> openr66
513 Mot inconnu : OpenR66 [[343:350]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier à un protocole en Java pour OpenR66. Par exemple, si un protocole comme HTTP ou FTP de téléchargement permet d'obtenir un fichier téléchargé par paquets, vous pouvez ensuite acheminer directement le transfert de fichiers à partir de OpenR66 un serveur distant en utilisant le protocole OpenR66 directement, mais sans écrire un fichier intermédiaire (écrire directement les octets de la télécharger à partir de l'interface OpenR66 RecvThroughHandler). Un exemple simple est montré dans TestRecvThroughClient. <|> openr66
513 Mot inconnu : OpenR66 [[396:403]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier à un protocole en Java pour OpenR66. Par exemple, si un protocole comme HTTP ou FTP de téléchargement permet d'obtenir un fichier téléchargé par paquets, vous pouvez ensuite acheminer directement le transfert de fichiers à partir de OpenR66 un serveur distant en utilisant le protocole OpenR66 directement, mais sans écrire un fichier intermédiaire (écrire directement les octets de la télécharger à partir de l'interface OpenR66 RecvThroughHandler). Un exemple simple est montré dans TestRecvThroughClient. <|> openr66
513 Mot inconnu : OpenR66 [[532:539]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier à un protocole en Java pour OpenR66. Par exemple, si un protocole comme HTTP ou FTP de téléchargement permet d'obtenir un fichier téléchargé par paquets, vous pouvez ensuite acheminer directement le transfert de fichiers à partir de OpenR66 un serveur distant en utilisant le protocole OpenR66 directement, mais sans écrire un fichier intermédiaire (écrire directement les octets de la télécharger à partir de l'interface OpenR66 RecvThroughHandler). Un exemple simple est montré dans TestRecvThroughClient. <|> openr66
513 Mot inconnu : RecvThroughHandler [[540:558]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier à un protocole en Java pour OpenR66. Par exemple, si un protocole comme HTTP ou FTP de téléchargement permet d'obtenir un fichier téléchargé par paquets, vous pouvez ensuite acheminer directement le transfert de fichiers à partir de OpenR66 un serveur distant en utilisant le protocole OpenR66 directement, mais sans écrire un fichier intermédiaire (écrire directement les octets de la télécharger à partir de l'interface OpenR66 RecvThroughHandler). Un exemple simple est montré dans TestRecvThroughClient. <|> recvthroughhandler
513 Mot inconnu : TestRecvThroughClient [[595:616]] => Cette méthode n'est pas une méthode complète mise en œuvre. C'est une façon de router un transfert de fichier à un protocole en Java pour OpenR66. Par exemple, si un protocole comme HTTP ou FTP de téléchargement permet d'obtenir un fichier téléchargé par paquets, vous pouvez ensuite acheminer directement le transfert de fichiers à partir de OpenR66 un serveur distant en utilisant le protocole OpenR66 directement, mais sans écrire un fichier intermédiaire (écrire directement les octets de la télécharger à partir de l'interface OpenR66 RecvThroughHandler). Un exemple simple est montré dans TestRecvThroughClient. <|> testrecvthroughclient
517 Mot inconnu : RequestTransfer [[4:19]] =>   * RequestTransfer <|> requesttransfer
524 Guillemets typographiques ouvrants. [[4:5]] =>   * 'Id' option: c'est le Id Runner. <|> ' => suggestions : ‘“‹
524 Guillemets typographiques fermants. [[7:8]] =>   * 'Id' option: c'est le Id Runner. <|> ' => suggestions : ’”›
524 Mot inconnu : Runner [[29:35]] =>   * 'Id' option: c'est le Id Runner. <|> runner
525 Guillemets typographiques fermants. [[21:22]] =>   * «À» ou «de-option" (exclusivité): Ceci spécifie le chemin de la demande de transfert. 'À' précise que la demande initiale a été initié par l'hôte actuel en cours d'exécution sur l'hôte distant spécifié. '-De' précise que la demande initiale a été initié par l'hôte distant spécifié. <|> " => suggestions :  »”
525 Guillemets typographiques ouvrants. [[90:91]] =>   * «À» ou «de-option" (exclusivité): Ceci spécifie le chemin de la demande de transfert. 'À' précise que la demande initiale a été initié par l'hôte actuel en cours d'exécution sur l'hôte distant spécifié. '-De' précise que la demande initiale a été initié par l'hôte distant spécifié. <|> ' => suggestions : ‘“‹
525 Guillemets typographiques fermants. [[92:93]] =>   * «À» ou «de-option" (exclusivité): Ceci spécifie le chemin de la demande de transfert. 'À' précise que la demande initiale a été initié par l'hôte actuel en cours d'exécution sur l'hôte distant spécifié. '-De' précise que la demande initiale a été initié par l'hôte distant spécifié. <|> ' => suggestions : ’”›
