
14 Mot inconnu : Coalson [[5:12]] => John Coalson est le premier auteur de FLAC. <|> coalson
19 Il faut élider “si” et l’accoler au pronom. [[132:135]] => Sur des enceintes, la différence entre le Flac et le Mp3 s'entend très nettement. Il peut être intéressant d'utiliser du Flac, même si il prend beaucoup plus de place que du Mp3 ou du OggVorbis. <|> si  => suggestions : s’
19 Mot inconnu : OggVorbis [[184:193]] => Sur des enceintes, la différence entre le Flac et le Mp3 s'entend très nettement. Il peut être intéressant d'utiliser du Flac, même si il prend beaucoup plus de place que du Mp3 ou du OggVorbis. <|> oggvorbis

30 Mot inconnu : GStreamer [[43:52]] => ==== Depuis n'importe quel format géré par GStreamer (WavPack et Ape inclus) ==== <|> gstreamer
30 Mot inconnu : WavPack [[54:61]] => ==== Depuis n'importe quel format géré par GStreamer (WavPack et Ape inclus) ==== <|> wavpack
30 Mot inconnu : Ape [[65:68]] => ==== Depuis n'importe quel format géré par GStreamer (WavPack et Ape inclus) ==== <|> ape

31 Mot inconnu : SoundConverter [[0:14]] => SoundConverter convertit des fichiers audios dans tout format géré par GStreamer. Une sortie en FLAC doit être choisie dans les "Préférences". Pour installer ce logiciel : <|> soundconverter
31 Mot inconnu : GStreamer [[71:80]] => SoundConverter convertit des fichiers audios dans tout format géré par GStreamer. Une sortie en FLAC doit être choisie dans les "Préférences". Pour installer ce logiciel : <|> gstreamer
31 Guillemets typographiques ouvrants. [[128:129]] => SoundConverter convertit des fichiers audios dans tout format géré par GStreamer. Une sortie en FLAC doit être choisie dans les "Préférences". Pour installer ce logiciel : <|> " => suggestions : « “
31 Guillemets typographiques fermants. [[140:141]] => SoundConverter convertit des fichiers audios dans tout format géré par GStreamer. Une sortie en FLAC doit être choisie dans les "Préférences". Pour installer ce logiciel : <|> " => suggestions :  »”

34 Mot inconnu : WavPack [[15:22]] => ==== Depuis du WavPack ==== <|> wavpack

44 Mot inconnu : Ape [[15:18]] => ==== Depuis du Ape ==== <|> ape

46 Guillemets typographiques ouvrants. [[22:23]] => C'est un travail pour "avconv", une commande fournie par le paquet "libav-tools". Il nous faut donc l'installer : <|> " => suggestions : « “
46 Mot inconnu : avconv [[23:29]] => C'est un travail pour "avconv", une commande fournie par le paquet "libav-tools". Il nous faut donc l'installer : <|> avconv
46 Guillemets typographiques fermants. [[29:30]] => C'est un travail pour "avconv", une commande fournie par le paquet "libav-tools". Il nous faut donc l'installer : <|> " => suggestions :  »”
46 Guillemets typographiques ouvrants. [[67:68]] => C'est un travail pour "avconv", une commande fournie par le paquet "libav-tools". Il nous faut donc l'installer : <|> " => suggestions : « “
46 Mot inconnu : libav-tools [[68:79]] => C'est un travail pour "avconv", une commande fournie par le paquet "libav-tools". Il nous faut donc l'installer : <|> libav-tools
46 Guillemets typographiques fermants. [[79:80]] => C'est un travail pour "avconv", une commande fournie par le paquet "libav-tools". Il nous faut donc l'installer : <|> " => suggestions :  »”

49 Guillemets typographiques ouvrants. [[41:42]] => Voilà comment convertir un fichier nommé "fichier-audio.ape" : <|> " => suggestions : « “
49 Mot inconnu : ape [[56:59]] => Voilà comment convertir un fichier nommé "fichier-audio.ape" : <|> ape
49 Guillemets typographiques fermants. [[59:60]] => Voilà comment convertir un fichier nommé "fichier-audio.ape" : <|> " => suggestions :  »”

52 Guillemets typographiques ouvrants. [[11:12]] => Une boucle "for" nous permet la conversion de nombreux fichiers Ape présents dans le répertoire courant : <|> " => suggestions : « “
52 Guillemets typographiques fermants. [[15:16]] => Une boucle "for" nous permet la conversion de nombreux fichiers Ape présents dans le répertoire courant : <|> " => suggestions :  »”
52 Mot inconnu : Ape [[64:67]] => Une boucle "for" nous permet la conversion de nombreux fichiers Ape présents dans le répertoire courant : <|> ape

55 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[46:48]] => ===== Couper un unique fichier avec un fichier .cue ===== <|>  . => suggestions : .. 
55 Mot inconnu : cue [[48:51]] => ===== Couper un unique fichier avec un fichier .cue ===== <|> cue

57 Mot inconnu : shntool [[23:30]] => Il nous faut installer shntool : <|> shntool

60 Mot inconnu : shntool [[105:112]] => Pour que les fichiers soient nommés en fonction des numéros et noms de pistes (sinon, voyez le manuel de shntool et adapter l'argument de l'option -t) : <|> shntool
73 Mot inconnu : WindowsPhone [[62:74]] =>   * Être compatible avec les appareils ne lisant pas le Flac (WindowsPhone, baladeurs divers, iPhones sous iOS 10 et antérieurs) <|> windowsphone
73 Mot inconnu : iPhones [[94:101]] =>   * Être compatible avec les appareils ne lisant pas le Flac (WindowsPhone, baladeurs divers, iPhones sous iOS 10 et antérieurs) <|> iphones

75 Mot inconnu : OggVorbis [[23:32]] => Dans le premier cas, l'OggVorbis est conseillé : Parfaitement supporté sous Ubuntu, il offre une meilleure qualité que la plupart des formats avec perte, pour une même taille de fichier.\\ <|> oggvorbis

76 Mot inconnu : OggVorbis [[22:31]] => Dans le second cas, l'OggVorbis n'étant pas plus répandu que le Flac, on privilégiera le Mp3. <|> oggvorbis

85 Mot inconnu : q9 [[11:13]] => L'option '-q9' qualité 9 est équivalente à ~320kbps. <|> q9
85 Guillemets typographiques fermants. [[13:14]] => L'option '-q9' qualité 9 est équivalente à ~320kbps. <|> ' => suggestions : ’”›
85 Mot inconnu : kbps [[47:51]] => L'option '-q9' qualité 9 est équivalente à ~320kbps. <|> kbps
88 Mot inconnu : kbps [[13:17]] =>   * -q-1 ~45 kbps <|> kbps
89 Mot inconnu : q0 [[5:7]] =>   * -q0 ~64 kbps <|> q0
89 Mot inconnu : kbps [[12:16]] =>   * -q0 ~64 kbps <|> kbps
90 Mot inconnu : q1 [[5:7]] =>   * -q1 ~80 kbps <|> q1
90 Mot inconnu : kbps [[12:16]] =>   * -q1 ~80 kbps <|> kbps
91 Mot inconnu : q2 [[5:7]] =>   * -q2 ~96 kbps <|> q2
91 Mot inconnu : kbps [[12:16]] =>   * -q2 ~96 kbps <|> kbps
92 Mot inconnu : q3 [[5:7]] =>   * -q3 ~112 kbps <|> q3
92 Mot inconnu : kbps [[13:17]] =>   * -q3 ~112 kbps <|> kbps
93 Mot inconnu : q4 [[5:7]] =>   * -q4 ~128 kbps <|> q4
93 Mot inconnu : kbps [[13:17]] =>   * -q4 ~128 kbps <|> kbps
94 Mot inconnu : q5 [[5:7]] =>   * -q5 ~160 kbps <|> q5
94 Mot inconnu : kbps [[13:17]] =>   * -q5 ~160 kbps <|> kbps
95 Mot inconnu : q6 [[5:7]] =>   * -q6 ~192 kbps <|> q6
95 Mot inconnu : kbps [[13:17]] =>   * -q6 ~192 kbps <|> kbps
96 Mot inconnu : q7 [[5:7]] =>   * -q7 ~224 kbps <|> q7
96 Mot inconnu : kbps [[13:17]] =>   * -q7 ~224 kbps <|> kbps
97 Mot inconnu : q8 [[5:7]] =>   * -q8 ~256 kbps <|> q8
97 Mot inconnu : kbps [[13:17]] =>   * -q8 ~256 kbps <|> kbps
98 Mot inconnu : q9 [[5:7]] =>   * -q9 ~320 kbps <|> q9
98 Mot inconnu : kbps [[13:17]] =>   * -q9 ~320 kbps <|> kbps
99 Mot inconnu : q10 [[5:8]] =>   * -q10 ~500 kbps <|> q10
99 Mot inconnu : kbps [[14:18]] =>   * -q10 ~500 kbps <|> kbps
115 Guillemets typographiques fermants. [[13:14]] => L'option '-V2' indique la qualité. 0(zero) = haute qualité et 9 = basse qualité . par default '-V4' <|> ' => suggestions : ’”›
115 Il manque un espace avant la parenthèse. [[36:37]] => L'option '-V2' indique la qualité. 0(zero) = haute qualité et 9 = basse qualité . par default '-V4' <|> ( => suggestions :  (
115 Mot inconnu : zero [[37:41]] => L'option '-V2' indique la qualité. 0(zero) = haute qualité et 9 = basse qualité . par default '-V4' <|> zero
115 Pas d’espace avant un point. [[79:81]] => L'option '-V2' indique la qualité. 0(zero) = haute qualité et 9 = basse qualité . par default '-V4' <|>  . => suggestions : .
115 Mot inconnu : default [[86:93]] => L'option '-V2' indique la qualité. 0(zero) = haute qualité et 9 = basse qualité . par default '-V4' <|> default
115 Mot inconnu : V4 [[96:98]] => L'option '-V2' indique la qualité. 0(zero) = haute qualité et 9 = basse qualité . par default '-V4' <|> v4
115 Guillemets typographiques fermants. [[98:99]] => L'option '-V2' indique la qualité. 0(zero) = haute qualité et 9 = basse qualité . par default '-V4' <|> ' => suggestions : ’”›

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

121 Mot inconnu : multi-channels [[63:77]] => Le FLAC est également capable de gérer plusieurs canaux audio (multi-channels). <|> multi-channels
