
5 Mot inconnu : Dnsnwnw [[0:7]] => Dnsnwnw. Dg fcsvd f fnsnwnsfv,yhsbsksnwvwvsvbv <|> dnsnwnw
5 Mot inconnu : fcsvd [[12:17]] => Dnsnwnw. Dg fcsvd f fnsnwnsfv,yhsbsksnwvwvsvbv <|> fcsvd
5 Mot inconnu : fnsnwnsfv [[20:29]] => Dnsnwnw. Dg fcsvd f fnsnwnsfv,yhsbsksnwvwvsvbv <|> fnsnwnsfv
5 Il manque un espace. [[30:46]] => Dnsnwnw. Dg fcsvd f fnsnwnsfv,yhsbsksnwvwvsvbv <|> yhsbsksnwvwvsvbv => suggestions : [' yhsbsksnwvwvsvbv']
5 Mot inconnu : yhsbsksnwvwvsvbv [[30:46]] => Dnsnwnw. Dg fcsvd f fnsnwnsfv,yhsbsksnwvwvsvbv <|> yhsbsksnwvwvsvbv

14 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A ce jour c'est le seul logiciel de ce type sous GNU/linux. \\ <|> a => suggestions : ['À']

17 Mot inconnu : Sweet [[2:7]] => **Sweet Home 3D** est un logiciel pleinement exploitable, stable et en développement permanent, avec un forum très réactif. <|> sweet
21 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[89:93]] =>   * Disposer d'une connexion à Internet configurée et activée (pour l'installation et la 1ère exécution si vous utilisez Java Web Start) <|> 1ère => suggestions : ['1ʳᵉ']
21 Mot inconnu : Start [[130:135]] =>   * Disposer d'une connexion à Internet configurée et activée (pour l'installation et la 1ère exécution si vous utilisez Java Web Start) <|> start
31 Espace(s) en fin de ligne à supprimer. [[146:147]] => <note warning>Sous Ubuntu 18.10, la version des dépôts semble parfois ne pas se lancer, ceci est corrigé par l'installation par paquet snap</note>  <|>   => suggestions : ['']

33 Mot inconnu : SweetHome3D [[65:76]] => <note tip> Cette méthode utilise la dernière version stable de **SweetHome3D** maintenue par son développeur. \\ <|> sweethome3d

34 Il manque un espace. [[172:175]] => De plus, cette procédure ne modifie pas votre système et ne nécessite pas l'installation d'autres paquets. En effet, la version ad-hoc de la plate-forme d'exécution JAVA %%JRE%% y est intégrée.</note>  <|> jre => suggestions : [' JRE']
34 Mot inconnu : JRE [[172:175]] => De plus, cette procédure ne modifie pas votre système et ne nécessite pas l'installation d'autres paquets. En effet, la version ad-hoc de la plate-forme d'exécution JAVA %%JRE%% y est intégrée.</note>  <|> jre
34 Espace(s) en fin de ligne à supprimer. [[200:201]] => De plus, cette procédure ne modifie pas votre système et ne nécessite pas l'installation d'autres paquets. En effet, la version ad-hoc de la plate-forme d'exécution JAVA %%JRE%% y est intégrée.</note>  <|>   => suggestions : ['']
42 Mot inconnu : XXX0 [[78:82]] => Avec la version 5.7, pour éviter une exception Java (java.lang.InternalError: XXX0 profile[1]: GL3bc -> profileImpl GL4bc !!! not mapped), il faut utiliser le script de lancement. <|> xxx0
42 Mot inconnu : GL3bc [[95:100]] => Avec la version 5.7, pour éviter une exception Java (java.lang.InternalError: XXX0 profile[1]: GL3bc -> profileImpl GL4bc !!! not mapped), il faut utiliser le script de lancement. <|> gl3bc
42 Mot inconnu : profileImpl [[104:115]] => Avec la version 5.7, pour éviter une exception Java (java.lang.InternalError: XXX0 profile[1]: GL3bc -> profileImpl GL4bc !!! not mapped), il faut utiliser le script de lancement. <|> profileimpl
42 Mot inconnu : GL4bc [[116:121]] => Avec la version 5.7, pour éviter une exception Java (java.lang.InternalError: XXX0 profile[1]: GL3bc -> profileImpl GL4bc !!! not mapped), il faut utiliser le script de lancement. <|> gl4bc
42 Mot inconnu : not [[126:129]] => Avec la version 5.7, pour éviter une exception Java (java.lang.InternalError: XXX0 profile[1]: GL3bc -> profileImpl GL4bc !!! not mapped), il faut utiliser le script de lancement. <|> not
42 Mot inconnu : mapped [[130:136]] => Avec la version 5.7, pour éviter une exception Java (java.lang.InternalError: XXX0 profile[1]: GL3bc -> profileImpl GL4bc !!! not mapped), il faut utiliser le script de lancement. <|> mapped

55 Mot inconnu : Start [[18:23]] => ==== via Java Web Start ==== <|> start

65 Espace(s) surnuméraire(s) à supprimer. [[28:30]] => Pour les messages concernant  la signature qui a expiré ou n'a pu être vérifiée : <|>    => suggestions : [' ']
72 Mot inconnu : Sweet [[41:46]] =>   * Si le téléchargement des fichiers de Sweet Home 3D par Java Web Start s'interrompt (message du genre "Téléchargement annulé"), merci de patienter quelques instants, le temps qu'il reprenne. <|> sweet
72 Mot inconnu : Start [[68:73]] =>   * Si le téléchargement des fichiers de Sweet Home 3D par Java Web Start s'interrompt (message du genre "Téléchargement annulé"), merci de patienter quelques instants, le temps qu'il reprenne. <|> start
72 Guillemets typographiques ouvrants. [[105:106]] =>   * Si le téléchargement des fichiers de Sweet Home 3D par Java Web Start s'interrompt (message du genre "Téléchargement annulé"), merci de patienter quelques instants, le temps qu'il reprenne. <|> " => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. [[127:128]] =>   * Si le téléchargement des fichiers de Sweet Home 3D par Java Web Start s'interrompt (message du genre "Téléchargement annulé"), merci de patienter quelques instants, le temps qu'il reprenne. <|> " => suggestions : ['\xa0»', '”']
73 Mot inconnu : Start [[33:38]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> start
73 Guillemets typographiques ouvrants. [[69:70]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> " => suggestions : ['«\xa0', '“']
73 Mot inconnu : unknown [[102:109]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> unknown
73 Mot inconnu : protocol [[110:118]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> protocol
73 Guillemets typographiques fermants. [[126:127]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> " => suggestions : ['\xa0»', '”']
73 Mot inconnu : Start [[149:154]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> start
73 Mot inconnu : Sun [[184:187]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> sun
73 Mot inconnu : Java6 [[188:193]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> java6
73 Mot inconnu : Control [[201:208]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> control
73 Guillemets typographiques ouvrants. [[233:234]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. [[241:242]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> " => suggestions : ['\xa0»', '”']
73 Guillemets typographiques ouvrants. [[256:257]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. [[274:275]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> " => suggestions : ['\xa0»', '”']
