
3 Mot inconnu : AnalyseSi [[6:15]] => ======AnalyseSi====== <|> analysesi
18 Mot inconnu : del [[201:204]] => <del>Vous trouverez le manuel de l'utilisateur du logiciel dans **/usr/share/doc/analysesi/doc0.6.3.pdf.gz** et un fichier exemple dans **/usr/share/doc/analysesi/examples/transport.asi**.</del> FIXME del ou note ??? si c'est del, supprimer ne pas laisser <|> del
18 Mot inconnu : del [[226:229]] => <del>Vous trouverez le manuel de l'utilisateur du logiciel dans **/usr/share/doc/analysesi/doc0.6.3.pdf.gz** et un fichier exemple dans **/usr/share/doc/analysesi/examples/transport.asi**.</del> FIXME del ou note ??? si c'est del, supprimer ne pas laisser <|> del

21 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[22:24]] => Pour ouvrir un fichier .asi (extension utilisée par le logiciel), il faut d'abord ouvrir le logiciel puis cliquer sur « Ouvrir ». Le double-clic sur le fichier ou le « Ouvrir avec… » ne marchent pas (encore). <|>  . => suggestions : ['. ', '.']
21 Mot inconnu : asi [[24:27]] => Pour ouvrir un fichier .asi (extension utilisée par le logiciel), il faut d'abord ouvrir le logiciel puis cliquer sur « Ouvrir ». Le double-clic sur le fichier ou le « Ouvrir avec… » ne marchent pas (encore). <|> asi

24 Mot inconnu : asi [[99:102]] => Vous pourrez avoir une première approche du logiciel en utilisant le fichier d'exemple **transport.asi**. <|> asi

28 Accord de genre erroné : « MCD » est féminin. [[183:185]] => Le dictionnaire répertorie toutes les données que vous utilisez dans vos entités et associations, leur type, la taille, et une colonne indiquant si la donnée est utilisée ou non dans le MCD. <|> le => suggestions : ['la']
37 Confusion : “coté” est le participe passé du verbe “coter”. [[220:224]] => Les entités sont représentées par un cadre aux coins « carrés ». Les associations par un cadre aux coins « arrondis ». Les liens entre entités et associations sont symbolisés par un trait. Les cardinalités sont notées à coté du trait. <|> coté => suggestions : ['côté', 'côtés']
45 Il faut élider “si” et l’accoler au pronom. [[158:161]] => Une fois que vous avez fini votre MCD, vous pouvez cliquer sur le bouton « vérification » pour vérifier la structure de votre MCD. Le logiciel vous dit alors si il y a des incohérences dans votre schéma. Si tout va bien vous obtenez une fenêtre de ce type : <|> si  => suggestions : ['s’']

49 Mot inconnu : MLD [[32:35]] => Vous pouvez alors construire le MLD. <|> mld

51 Mot inconnu : MLD [[19:22]] => ==== Génération du MLD ==== <|> mld

53 Mot inconnu : MLD [[30:33]] => Le Modèle Logique de Données (MLD) est l'étape suivante d'une modélisation selon la méthode Merise. Certaines données vont alors migrer dans certaines entités (système de clés étrangères), etc. C'est un peu un MCD optimisé. <|> mld
53 Accord de genre erroné : « MCD » est féminin. [[207:209]] => Le Modèle Logique de Données (MLD) est l'étape suivante d'une modélisation selon la méthode Merise. Certaines données vont alors migrer dans certaines entités (système de clés étrangères), etc. C'est un peu un MCD optimisé. <|> un => suggestions : ['une']
55 Accord de genre erroné : « MCD » est féminin. [[47:49]] => Un clic sur le bouton « Construction » analyse le MCD et construit le MLD. <|> le => suggestions : ['la']
55 Mot inconnu : MLD [[70:73]] => Un clic sur le bouton « Construction » analyse le MCD et construit le MLD. <|> mld

58 Accord erroné : “MCD” et “gros” ne sont pas accordés. Mettez au féminin singulier. [[23:27]] => Si votre MCD est assez gros, la construction du MLD peut devenir très longue (environ 4 minutes pour un MCD d'environ 120 entités et associations). Ne vous inquiétez pas et laisser l'ordinateur faire le travail pour vous. ;-) <|> gros => suggestions : ['grosse']
58 Mot inconnu : MLD [[48:51]] => Si votre MCD est assez gros, la construction du MLD peut devenir très longue (environ 4 minutes pour un MCD d'environ 120 entités et associations). Ne vous inquiétez pas et laisser l'ordinateur faire le travail pour vous. ;-) <|> mld
58 Accord de genre erroné : « MCD » est féminin. [[101:103]] => Si votre MCD est assez gros, la construction du MLD peut devenir très longue (environ 4 minutes pour un MCD d'environ 120 entités et associations). Ne vous inquiétez pas et laisser l'ordinateur faire le travail pour vous. ;-) <|> un => suggestions : ['une']

61 Mot inconnu : MLD [[30:33]] => Une fois que la génération du MLD est faite le logiciel vous en informe : <|> mld
65 Mot inconnu : MLD [[20:23]] => Cliquez alors sur « MLD » dans le panneau de gauche pour accéder à votre MLD : <|> mld
65 Mot inconnu : MLD [[73:76]] => Cliquez alors sur « MLD » dans le panneau de gauche pour accéder à votre MLD : <|> mld

68 Accord de genre erroné : « MCD » est féminin. [[5:7]] => Pour le MCD et le MLD, le bouton « Sauvegarder le graphique » permet d'enregistrer votre schéma au format PNG. <|> le => suggestions : ['la']
68 Mot inconnu : MLD [[18:21]] => Pour le MCD et le MLD, le bouton « Sauvegarder le graphique » permet d'enregistrer votre schéma au format PNG. <|> mld

71 Mot inconnu : MLD [[19:22]] => La construction du MLD a aussi généré les requêtes SQL permettant de créer les tables dans votre SGBD. <|> mld
71 Mot inconnu : SGBD [[97:101]] => La construction du MLD a aussi généré les requêtes SQL permettant de créer les tables dans votre SGBD. <|> sgbd
79 Mot inconnu : Connection [[28:38]] => En cliquant sur le bouton « Connection » vous obtenez cette fenêtre : <|> connection
89 Mot inconnu : DSN [[144:147]] => //ADRESSE// est l'adresse du serveur de base de données (dans la plupart des cas « localhost »), //BASE// est le nom de la base de données et //DSN// est le nom DSN pour ODBC. <|> dsn
89 Mot inconnu : DSN [[161:164]] => //ADRESSE// est l'adresse du serveur de base de données (dans la plupart des cas « localhost »), //BASE// est le nom de la base de données et //DSN// est le nom DSN pour ODBC. <|> dsn
89 Mot inconnu : ODBC [[170:174]] => //ADRESSE// est l'adresse du serveur de base de données (dans la plupart des cas « localhost »), //BASE// est le nom de la base de données et //DSN// est le nom DSN pour ODBC. <|> odbc
