
5 Mot inconnu : Gdebi => ====== Installateur de paquets hors dépôts Gdebi ====== | gdebi

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le cas où l'installation d'un paquet par **Gdebi** nécessite des dépendances, disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']
15 Mot inconnu : Gdebi =>   * Dans le cas où l'installation d'un paquet par **Gdebi** nécessite des dépendances, disposer d'une connexion à Internet configurée et activée. | gdebi

24 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => === Installation d'un paquet .deb.=== |  . => suggestions : ['. ', '.']
24 Mot inconnu : deb => === Installation d'un paquet .deb.=== | deb

25 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Une fois le fichier .deb téléchargé ; |  . => suggestions : ['. ', '.']
25 Mot inconnu : deb => Une fois le fichier .deb téléchargé ; | deb

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Faire un clic droit sur ce paquet à installer, puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. |    => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Faire un clic droit sur ce paquet à installer, puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. |  -  => suggestions : [' – ', ' — ', ' − ']
26 Guillemets typographiques ouvrants. =>   - Faire un clic droit sur ce paquet à installer, puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. | " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. =>   - Faire un clic droit sur ce paquet à installer, puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. | " => suggestions : ['\xa0»', '”']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la fenêtre Gdebi, cliquez sur le bouton // "Installer le paquet"//. |    => suggestions : ['']
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la fenêtre Gdebi, cliquez sur le bouton // "Installer le paquet"//. |  -  => suggestions : [' – ', ' — ', ' − ']
27 Mot inconnu : Gdebi =>   - Dans la fenêtre Gdebi, cliquez sur le bouton // "Installer le paquet"//. | gdebi
27 Guillemets typographiques ouvrants. =>   - Dans la fenêtre Gdebi, cliquez sur le bouton // "Installer le paquet"//. | " => suggestions : ['«\xa0', '“']
27 Guillemets typographiques fermants. =>   - Dans la fenêtre Gdebi, cliquez sur le bouton // "Installer le paquet"//. | " => suggestions : ['\xa0»', '”']

32 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===Désinstallation d'un paquet .deb=== |  . => suggestions : ['. ', '.']
