
3 Mot inconnu : MiniConda [[7:16]] => ====== MiniConda ====== <|> miniconda

16 Mot inconnu : sudo [[37:41]] => * Si besoin, précéder de la commande sudo <|> sudo

18 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> a => suggestions : ['À']
18 Mot inconnu : you [[55:58]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> you
18 Mot inconnu : wish [[59:63]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> wish
18 Mot inconnu : the [[64:67]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> the
18 Mot inconnu : to [[78:80]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> to
18 Mot inconnu : initialize [[81:91]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> initialize
18 Mot inconnu : Anaconda3 [[92:101]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> anaconda3
18 Mot inconnu : by [[102:104]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> by
18 Mot inconnu : conda [[113:118]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> conda
18 Mot inconnu : init [[119:123]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> init
18 Mot inconnu : yes [[156:159]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> yes
18 Guillemets typographiques ouvrants. [[177:178]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. [[181:182]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> " => suggestions : ['\xa0»', '”']
18 Mot inconnu : conda [[190:195]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|> conda
18 Espace(s) en fin de ligne à supprimer. [[323:325]] => A la fin de l'installation, il vous sera demandé : “Do you wish the installer to initialize Anaconda3 by running conda init?”, il est recommandé de dire : “yes”. Si vous entrez "non", alors conda ne modifiera pas du tout vos scripts shell. Afin d'initialiser une fois le processus d'installation terminé, exécutez d'abord :   <|>    => suggestions : ['']

34 Accord de nombre erroné : « modules » est au pluriel. [[19:21]] => On peut visualiser le modules présents en tapant : <|> le => suggestions : ['les']
34 Accord de nombre erroné : « modules » devrait être au singulier. [[22:29]] => On peut visualiser le modules présents en tapant : <|> modules => suggestions : ['module', 'modulé']
44 Il manque un espace avant la parenthèse. [[5:6]] => FIXME((https://stackoverflow.com/questions/46227740/how-to-uninstall-miniconda-on-linux)) <|> ( => suggestions : [' (']
