
6 Mot inconnu : Quod => ====== Quod Libet : lecteur audio ====== | quod
6 Mot inconnu : Libet => ====== Quod Libet : lecteur audio ====== | libet

10 Mot inconnu : Quod => **Quod Libet** gère allègrement une bibliothèque de plusieurs milliers de chansons. Il dispose également de la plupart des fonctionnalités que l'on peut exiger d'un lecteur audio moderne : support d'Unicode, touches multimédia, édition des //tags//, //etc//. | quod
10 Mot inconnu : Libet => **Quod Libet** gère allègrement une bibliothèque de plusieurs milliers de chansons. Il dispose également de la plupart des fonctionnalités que l'on peut exiger d'un lecteur audio moderne : support d'Unicode, touches multimédia, édition des //tags//, //etc//. | libet

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Mot inconnu : unity => Pour lancer l'application faites une recherche dans [[unity#tableau_de_bord_dash|le tableau de bord Unity]] avec le mot clé **Quodlibet**. | unity
21 Mot inconnu : Unity => Pour lancer l'application faites une recherche dans [[unity#tableau_de_bord_dash|le tableau de bord Unity]] avec le mot clé **Quodlibet**. | unity
21 Mot inconnu : Quodlibet => Pour lancer l'application faites une recherche dans [[unity#tableau_de_bord_dash|le tableau de bord Unity]] avec le mot clé **Quodlibet**. | quodlibet

41 Guillemets typographiques ouvrants. => Pour accéder le plus simplement possible à vos contenus, choisissez, dans "affichage", "liste des albums". | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. => Pour accéder le plus simplement possible à vos contenus, choisissez, dans "affichage", "liste des albums". | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. => Pour accéder le plus simplement possible à vos contenus, choisissez, dans "affichage", "liste des albums". | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. => Pour accéder le plus simplement possible à vos contenus, choisissez, dans "affichage", "liste des albums". | " => suggestions : ['\xa0»', '”']

44 Mot inconnu : Quodlibet => Lorsque vous tapez quelques lettres dans la barre de recherche, Quodlibet opère une recherche dans le nom de l'artiste, le nom du compositeur //et// celui de l'album, en ignorant tous les autres champs. | quodlibet

46 Guillemets typographiques ouvrants. => Pour une recherche par titre ou par genre, tapez "title = ..." ou "genre = ..." | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : title => Pour une recherche par titre ou par genre, tapez "title = ..." ou "genre = ..." | title
46 Typographie : points de suspension. Utilisez le caractère dédié. => Pour une recherche par titre ou par genre, tapez "title = ..." ou "genre = ..." | ... => suggestions : ['…']
46 Guillemets typographiques fermants. => Pour une recherche par titre ou par genre, tapez "title = ..." ou "genre = ..." | " => suggestions : ['\xa0»', '”']
46 Guillemets typographiques ouvrants. => Pour une recherche par titre ou par genre, tapez "title = ..." ou "genre = ..." | " => suggestions : ['«\xa0', '“']
46 Typographie : points de suspension. Utilisez le caractère dédié. => Pour une recherche par titre ou par genre, tapez "title = ..." ou "genre = ..." | ... => suggestions : ['…']
46 Guillemets typographiques fermants. => Pour une recherche par titre ou par genre, tapez "title = ..." ou "genre = ..." | " => suggestions : ['\xa0»', '”']

50 Mot inconnu : Quodlibet => ====L'éditeur de tags de Quodlibet/ExFalso [pour les mélomanes]==== | quodlibet
50 Mot inconnu : ExFalso => ====L'éditeur de tags de Quodlibet/ExFalso [pour les mélomanes]==== | exfalso

51 Mot inconnu : Quodlibet => L'utilisation avancée de l'éditeur de tags de Quodlibet/ExFalso permet, couplée avec l'utilisation d'une application telle que Minimserver, d'exploiter toute la puissance des tags. Ceci est particulièrement intéressant pour ceux qui possèdent une grande bibliothèque, et/ou pour la musique classique. | quodlibet
51 Mot inconnu : ExFalso => L'utilisation avancée de l'éditeur de tags de Quodlibet/ExFalso permet, couplée avec l'utilisation d'une application telle que Minimserver, d'exploiter toute la puissance des tags. Ceci est particulièrement intéressant pour ceux qui possèdent une grande bibliothèque, et/ou pour la musique classique. | exfalso
51 Mot inconnu : Minimserver => L'utilisation avancée de l'éditeur de tags de Quodlibet/ExFalso permet, couplée avec l'utilisation d'une application telle que Minimserver, d'exploiter toute la puissance des tags. Ceci est particulièrement intéressant pour ceux qui possèdent une grande bibliothèque, et/ou pour la musique classique. | minimserver

53 Mot inconnu : Quodlibet => Pour commencer, il faut savoir que l'éditeur de tags de Quodlibet est identique à celui d'Ex Falso. La seule différence entre les deux est que Quodlibet fonctionne en mode bibliothèque, et ExFalso en mode navigateur. Pour taguer un répertoire avec Quodlibet, il faudra l'ajouter à la bibliothèque. Gros avantage: tous les tags de la bibiothèque sont mémorisés. C'est très intéressant, car au lieu de taper 387 fois le même nom de compositeur, il suffit de le sélectionner dans une liste déroulante. | quodlibet
53 Mot inconnu : Falso => Pour commencer, il faut savoir que l'éditeur de tags de Quodlibet est identique à celui d'Ex Falso. La seule différence entre les deux est que Quodlibet fonctionne en mode bibliothèque, et ExFalso en mode navigateur. Pour taguer un répertoire avec Quodlibet, il faudra l'ajouter à la bibliothèque. Gros avantage: tous les tags de la bibiothèque sont mémorisés. C'est très intéressant, car au lieu de taper 387 fois le même nom de compositeur, il suffit de le sélectionner dans une liste déroulante. | falso
53 Mot inconnu : Quodlibet => Pour commencer, il faut savoir que l'éditeur de tags de Quodlibet est identique à celui d'Ex Falso. La seule différence entre les deux est que Quodlibet fonctionne en mode bibliothèque, et ExFalso en mode navigateur. Pour taguer un répertoire avec Quodlibet, il faudra l'ajouter à la bibliothèque. Gros avantage: tous les tags de la bibiothèque sont mémorisés. C'est très intéressant, car au lieu de taper 387 fois le même nom de compositeur, il suffit de le sélectionner dans une liste déroulante. | quodlibet
53 Mot inconnu : ExFalso => Pour commencer, il faut savoir que l'éditeur de tags de Quodlibet est identique à celui d'Ex Falso. La seule différence entre les deux est que Quodlibet fonctionne en mode bibliothèque, et ExFalso en mode navigateur. Pour taguer un répertoire avec Quodlibet, il faudra l'ajouter à la bibliothèque. Gros avantage: tous les tags de la bibiothèque sont mémorisés. C'est très intéressant, car au lieu de taper 387 fois le même nom de compositeur, il suffit de le sélectionner dans une liste déroulante. | exfalso
53 Mot inconnu : Quodlibet => Pour commencer, il faut savoir que l'éditeur de tags de Quodlibet est identique à celui d'Ex Falso. La seule différence entre les deux est que Quodlibet fonctionne en mode bibliothèque, et ExFalso en mode navigateur. Pour taguer un répertoire avec Quodlibet, il faudra l'ajouter à la bibliothèque. Gros avantage: tous les tags de la bibiothèque sont mémorisés. C'est très intéressant, car au lieu de taper 387 fois le même nom de compositeur, il suffit de le sélectionner dans une liste déroulante. | quodlibet
53 Mot inconnu : bibiothèque => Pour commencer, il faut savoir que l'éditeur de tags de Quodlibet est identique à celui d'Ex Falso. La seule différence entre les deux est que Quodlibet fonctionne en mode bibliothèque, et ExFalso en mode navigateur. Pour taguer un répertoire avec Quodlibet, il faudra l'ajouter à la bibliothèque. Gros avantage: tous les tags de la bibiothèque sont mémorisés. C'est très intéressant, car au lieu de taper 387 fois le même nom de compositeur, il suffit de le sélectionner dans une liste déroulante. | bibiothèque

56 Guillemets typographiques ouvrants. => Les tags de la bibliothèque restent mémorisés même si vos fichiers audio se trouvent sur un disque externe et que celui-ci est débranché. Si cependant votre bibliothèque reste invisible, il faut aller dans l'onglet "Préférences=>Bibliothèque". Sélectionnez votre disque externe, puis cliquez sur le bouton "Unhide". | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => Les tags de la bibliothèque restent mémorisés même si vos fichiers audio se trouvent sur un disque externe et que celui-ci est débranché. Si cependant votre bibliothèque reste invisible, il faut aller dans l'onglet "Préférences=>Bibliothèque". Sélectionnez votre disque externe, puis cliquez sur le bouton "Unhide". | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. => Les tags de la bibliothèque restent mémorisés même si vos fichiers audio se trouvent sur un disque externe et que celui-ci est débranché. Si cependant votre bibliothèque reste invisible, il faut aller dans l'onglet "Préférences=>Bibliothèque". Sélectionnez votre disque externe, puis cliquez sur le bouton "Unhide". | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : Unhide => Les tags de la bibliothèque restent mémorisés même si vos fichiers audio se trouvent sur un disque externe et que celui-ci est débranché. Si cependant votre bibliothèque reste invisible, il faut aller dans l'onglet "Préférences=>Bibliothèque". Sélectionnez votre disque externe, puis cliquez sur le bouton "Unhide". | unhide
56 Guillemets typographiques fermants. => Les tags de la bibliothèque restent mémorisés même si vos fichiers audio se trouvent sur un disque externe et que celui-ci est débranché. Si cependant votre bibliothèque reste invisible, il faut aller dans l'onglet "Préférences=>Bibliothèque". Sélectionnez votre disque externe, puis cliquez sur le bouton "Unhide". | " => suggestions : ['\xa0»', '”']

64 Mot inconnu : artist => artist=Martha Argerich, Orchestre Philharmonique de Berlin, Claudio Abbado,  | artist
64 Mot inconnu : Argerich => artist=Martha Argerich, Orchestre Philharmonique de Berlin, Claudio Abbado,  | argerich
64 Mot inconnu : Abbado => artist=Martha Argerich, Orchestre Philharmonique de Berlin, Claudio Abbado,  | abbado
64 Espace(s) en fin de ligne à supprimer. => artist=Martha Argerich, Orchestre Philharmonique de Berlin, Claudio Abbado,  |   => suggestions : ['']

68 Mot inconnu : artist => artist=Martha Argerich | artist
68 Mot inconnu : Argerich => artist=Martha Argerich | argerich

70 Mot inconnu : artist => artist=Orchestre Philharmonique de Berlin | artist

72 Mot inconnu : artist => artist=Claudio Abbado | artist
72 Mot inconnu : Abbado => artist=Claudio Abbado | abbado

74 Guillemets typographiques ouvrants. => Pour cela, inscrivez les noms des interprètes dans le champ "artist", en les séparant par des virgules. Faites ensuite un clic-droit dans le champ, et choisissez "séparer en plusieurs valeurs". La prochaine fois que vous voudrez taguer un disque de la grande Martha, vous n'aurez plus qu'à sélectionner son nom dans la liste déroulante qui s'affichera dès que vous aurez tapé la lettre M. | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : artist => Pour cela, inscrivez les noms des interprètes dans le champ "artist", en les séparant par des virgules. Faites ensuite un clic-droit dans le champ, et choisissez "séparer en plusieurs valeurs". La prochaine fois que vous voudrez taguer un disque de la grande Martha, vous n'aurez plus qu'à sélectionner son nom dans la liste déroulante qui s'affichera dès que vous aurez tapé la lettre M. | artist
74 Guillemets typographiques fermants. => Pour cela, inscrivez les noms des interprètes dans le champ "artist", en les séparant par des virgules. Faites ensuite un clic-droit dans le champ, et choisissez "séparer en plusieurs valeurs". La prochaine fois que vous voudrez taguer un disque de la grande Martha, vous n'aurez plus qu'à sélectionner son nom dans la liste déroulante qui s'affichera dès que vous aurez tapé la lettre M. | " => suggestions : ['\xa0»', '”']
74 Guillemets typographiques ouvrants. => Pour cela, inscrivez les noms des interprètes dans le champ "artist", en les séparant par des virgules. Faites ensuite un clic-droit dans le champ, et choisissez "séparer en plusieurs valeurs". La prochaine fois que vous voudrez taguer un disque de la grande Martha, vous n'aurez plus qu'à sélectionner son nom dans la liste déroulante qui s'affichera dès que vous aurez tapé la lettre M. | " => suggestions : ['«\xa0', '“']
74 Guillemets typographiques fermants. => Pour cela, inscrivez les noms des interprètes dans le champ "artist", en les séparant par des virgules. Faites ensuite un clic-droit dans le champ, et choisissez "séparer en plusieurs valeurs". La prochaine fois que vous voudrez taguer un disque de la grande Martha, vous n'aurez plus qu'à sélectionner son nom dans la liste déroulante qui s'affichera dès que vous aurez tapé la lettre M. | " => suggestions : ['\xa0»', '”']

80 Mot inconnu : Minimserver => Vous utilisez Minimserver, et pilotez la lecture au moyen de BubbleUpnp ou d'une autre application du même type. Vous voudriez pouvoir afficher très simplement, par exemple, tous les concertos (quel intérêt? La recherche portera sur une petite partie de votre bibliothèque et non sur la totalité, ce qui est beaucoup plus rapide). | minimserver
80 Mot inconnu : BubbleUpnp => Vous utilisez Minimserver, et pilotez la lecture au moyen de BubbleUpnp ou d'une autre application du même type. Vous voudriez pouvoir afficher très simplement, par exemple, tous les concertos (quel intérêt? La recherche portera sur une petite partie de votre bibliothèque et non sur la totalité, ce qui est beaucoup plus rapide). | bubbleupnp

82 Guillemets typographiques ouvrants. => Il suffit de créer un tag "concerto" et de lui attribuer la valeur "1" ( pour savoir comment afficher ce tag, se référer à la documentation de Minimserver). | " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. => Il suffit de créer un tag "concerto" et de lui attribuer la valeur "1" ( pour savoir comment afficher ce tag, se référer à la documentation de Minimserver). | " => suggestions : ['\xa0»', '”']
82 Guillemets typographiques ouvrants. => Il suffit de créer un tag "concerto" et de lui attribuer la valeur "1" ( pour savoir comment afficher ce tag, se référer à la documentation de Minimserver). | " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. => Il suffit de créer un tag "concerto" et de lui attribuer la valeur "1" ( pour savoir comment afficher ce tag, se référer à la documentation de Minimserver). | " => suggestions : ['\xa0»', '”']
82 Pas d’espace après ce signe. => Il suffit de créer un tag "concerto" et de lui attribuer la valeur "1" ( pour savoir comment afficher ce tag, se référer à la documentation de Minimserver). | (  => suggestions : ['(']
82 Mot inconnu : Minimserver => Il suffit de créer un tag "concerto" et de lui attribuer la valeur "1" ( pour savoir comment afficher ce tag, se référer à la documentation de Minimserver). | minimserver

85 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A signaler un vilain bug de Quodlibet: lorsque vous opérez des modifications portant sur les tags de plusieurs albums, il peut être tentant de sélectionner ces albums au moyen d'un filtre (en tapant un nom d'artiste dans la barre de recherche par exemple); puis de sélectionner la totalité des albums filtrés au moyen de la combinaison de touches "Ctrl+A". Attention, n'oubliez pas dans ce cas de désélectionner la première ligne, celle qui affiche "Tous les albums" avec le nombre d'albums. Dans le cas contraire, //vous risquez de voir disparaître par magie tout le contenu du tag "title" de tous vos albums, sans aucune possibilité de retour en arrière.// | a => suggestions : ['À']
85 Mot inconnu : Quodlibet => A signaler un vilain bug de Quodlibet: lorsque vous opérez des modifications portant sur les tags de plusieurs albums, il peut être tentant de sélectionner ces albums au moyen d'un filtre (en tapant un nom d'artiste dans la barre de recherche par exemple); puis de sélectionner la totalité des albums filtrés au moyen de la combinaison de touches "Ctrl+A". Attention, n'oubliez pas dans ce cas de désélectionner la première ligne, celle qui affiche "Tous les albums" avec le nombre d'albums. Dans le cas contraire, //vous risquez de voir disparaître par magie tout le contenu du tag "title" de tous vos albums, sans aucune possibilité de retour en arrière.// | quodlibet
85 Guillemets typographiques ouvrants. => A signaler un vilain bug de Quodlibet: lorsque vous opérez des modifications portant sur les tags de plusieurs albums, il peut être tentant de sélectionner ces albums au moyen d'un filtre (en tapant un nom d'artiste dans la barre de recherche par exemple); puis de sélectionner la totalité des albums filtrés au moyen de la combinaison de touches "Ctrl+A". Attention, n'oubliez pas dans ce cas de désélectionner la première ligne, celle qui affiche "Tous les albums" avec le nombre d'albums. Dans le cas contraire, //vous risquez de voir disparaître par magie tout le contenu du tag "title" de tous vos albums, sans aucune possibilité de retour en arrière.// | " => suggestions : ['«\xa0', '“']
