
4 Mot inconnu : Gnump3d => ====== Gnump3d ====== | gnump3d

14 Mot inconnu : GitHub => Il est à noter qu'un fork fonctionnel est disponible sur GitHub : https://github.com/eherot/gnump3d | github

16 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A partir de ce moment-là, Gnump3d est installé avec les options par défaut. Vous pouvez le voir à l'adresse http://127.0.0.1:8888/. On remarquera alors la rubrique préférence, contenant entre autre le choix des thèmes. | a => suggestions : ['À']
16 Mot inconnu : Gnump3d => A partir de ce moment-là, Gnump3d est installé avec les options par défaut. Vous pouvez le voir à l'adresse http://127.0.0.1:8888/. On remarquera alors la rubrique préférence, contenant entre autre le choix des thèmes. | gnump3d
16 La locution “entre autres”, toujours au pluriel. => A partir de ce moment-là, Gnump3d est installé avec les options par défaut. Vous pouvez le voir à l'adresse http://127.0.0.1:8888/. On remarquera alors la rubrique préférence, contenant entre autre le choix des thèmes. | autre => suggestions : ['autres']

30 Guillemets typographiques ouvrants. => Recherchez "root = /var/music" et remplacez-le par le répertoire de votre choix, par exemple "root = /home/toto/musique" | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : root => Recherchez "root = /var/music" et remplacez-le par le répertoire de votre choix, par exemple "root = /home/toto/musique" | root
30 Guillemets typographiques ouvrants. => Recherchez "root = /var/music" et remplacez-le par le répertoire de votre choix, par exemple "root = /home/toto/musique" | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : root => Recherchez "root = /var/music" et remplacez-le par le répertoire de votre choix, par exemple "root = /home/toto/musique" | root

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ou faites un lien. |   => suggestions : ['']

32 Guillemets typographiques ouvrants. => puis cherchez "user = gnump3d" et remplacez-le par "user = root" | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : gnump3d => puis cherchez "user = gnump3d" et remplacez-le par "user = root" | gnump3d
32 Guillemets typographiques fermants. => puis cherchez "user = gnump3d" et remplacez-le par "user = root" | " => suggestions : ['\xa0»', '”']
32 Guillemets typographiques ouvrants. => puis cherchez "user = gnump3d" et remplacez-le par "user = root" | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : root => puis cherchez "user = gnump3d" et remplacez-le par "user = root" | root
32 Guillemets typographiques fermants. => puis cherchez "user = gnump3d" et remplacez-le par "user = root" | " => suggestions : ['\xa0»', '”']

36 Mot inconnu : gnump3d => Par défaut le port par lequel on accède à gnump3d est le port 8888, mais vous pouvez vouloir le changer, pour ce faire, cherchez "port = 8888" et remplacez-le par le port de votre choix, par exemple "port = 8889". | gnump3d
36 Guillemets typographiques ouvrants. => Par défaut le port par lequel on accède à gnump3d est le port 8888, mais vous pouvez vouloir le changer, pour ce faire, cherchez "port = 8888" et remplacez-le par le port de votre choix, par exemple "port = 8889". | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => Par défaut le port par lequel on accède à gnump3d est le port 8888, mais vous pouvez vouloir le changer, pour ce faire, cherchez "port = 8888" et remplacez-le par le port de votre choix, par exemple "port = 8889". | " => suggestions : ['\xa0»', '”']
36 Guillemets typographiques ouvrants. => Par défaut le port par lequel on accède à gnump3d est le port 8888, mais vous pouvez vouloir le changer, pour ce faire, cherchez "port = 8888" et remplacez-le par le port de votre choix, par exemple "port = 8889". | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => Par défaut le port par lequel on accède à gnump3d est le port 8888, mais vous pouvez vouloir le changer, pour ce faire, cherchez "port = 8888" et remplacez-le par le port de votre choix, par exemple "port = 8889". | " => suggestions : ['\xa0»', '”']

42 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note important>A partir de la version 2.98, il n'y a plus de protection par mot de passe, celle-ci ayant été considérée comme trop peu efficace</note> | a => suggestions : ['À']

44 Mot inconnu : Gnump3d => Il est possible de demander à Gnump3d d'exiger un mot de passe pour accéder aux musiques, pour cela, il suffit de créer dans votre dossier musique (/home/toto/musique si l'on reprend le même exemple) un fichier nommé ".password" et de définir un ou plusieurs utilisateurs comme suit :  | gnump3d
44 Guillemets fermants. => Il est possible de demander à Gnump3d d'exiger un mot de passe pour accéder aux musiques, pour cela, il suffit de créer dans votre dossier musique (/home/toto/musique si l'on reprend le même exemple) un fichier nommé ".password" et de définir un ou plusieurs utilisateurs comme suit :  |  " => suggestions : ['\xa0»', '”']
44 Mot inconnu : password => Il est possible de demander à Gnump3d d'exiger un mot de passe pour accéder aux musiques, pour cela, il suffit de créer dans votre dossier musique (/home/toto/musique si l'on reprend le même exemple) un fichier nommé ".password" et de définir un ou plusieurs utilisateurs comme suit :  | password
44 Guillemets typographiques fermants. => Il est possible de demander à Gnump3d d'exiger un mot de passe pour accéder aux musiques, pour cela, il suffit de créer dans votre dossier musique (/home/toto/musique si l'on reprend le même exemple) un fichier nommé ".password" et de définir un ou plusieurs utilisateurs comme suit :  | " => suggestions : ['\xa0»', '”']
44 Espace(s) en fin de ligne à supprimer. => Il est possible de demander à Gnump3d d'exiger un mot de passe pour accéder aux musiques, pour cela, il suffit de créer dans votre dossier musique (/home/toto/musique si l'on reprend le même exemple) un fichier nommé ".password" et de définir un ou plusieurs utilisateurs comme suit :  |   => suggestions : ['']

49 Accord de nombre erroné avec « des mots » : « crypté » devrait être au pluriel. => Il est également possible d'utiliser des mots de passe crypté (hash md5), pour cela, il faut d'abord le signaler à gnump3d. Cherchez "authentication_type". La ligne est commentée, enlevez le "#" et écrivez : | crypté => suggestions : ['cryptés']
49 Mot inconnu : hash => Il est également possible d'utiliser des mots de passe crypté (hash md5), pour cela, il faut d'abord le signaler à gnump3d. Cherchez "authentication_type". La ligne est commentée, enlevez le "#" et écrivez : | hash
49 Mot inconnu : md5 => Il est également possible d'utiliser des mots de passe crypté (hash md5), pour cela, il faut d'abord le signaler à gnump3d. Cherchez "authentication_type". La ligne est commentée, enlevez le "#" et écrivez : | md5
49 Mot inconnu : gnump3d => Il est également possible d'utiliser des mots de passe crypté (hash md5), pour cela, il faut d'abord le signaler à gnump3d. Cherchez "authentication_type". La ligne est commentée, enlevez le "#" et écrivez : | gnump3d
49 Guillemets typographiques ouvrants. => Il est également possible d'utiliser des mots de passe crypté (hash md5), pour cela, il faut d'abord le signaler à gnump3d. Cherchez "authentication_type". La ligne est commentée, enlevez le "#" et écrivez : | " => suggestions : ['«\xa0', '“']
49 Mot inconnu : authentication_type => Il est également possible d'utiliser des mots de passe crypté (hash md5), pour cela, il faut d'abord le signaler à gnump3d. Cherchez "authentication_type". La ligne est commentée, enlevez le "#" et écrivez : | authentication_type
49 Guillemets typographiques fermants. => Il est également possible d'utiliser des mots de passe crypté (hash md5), pour cela, il faut d'abord le signaler à gnump3d. Cherchez "authentication_type". La ligne est commentée, enlevez le "#" et écrivez : | " => suggestions : ['\xa0»', '”']

53 Mot inconnu : Gnump3d => Ainsi Gnump3d est au courant que les mot-de-passe sont cryptés, mais il faut justement les crypter, pour cela il existe la commande :  | gnump3d
53 Espace(s) en fin de ligne à supprimer. => Ainsi Gnump3d est au courant que les mot-de-passe sont cryptés, mais il faut justement les crypter, pour cela il existe la commande :  |   => suggestions : ['']

59 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => On mettra donc la ligne suivante dans .password :  |  . => suggestions : ['. ', '.']
59 Mot inconnu : password => On mettra donc la ligne suivante dans .password :  | password
59 Espace(s) en fin de ligne à supprimer. => On mettra donc la ligne suivante dans .password :  |   => suggestions : ['']

64 Guillemets typographiques ouvrants. => Il est tout à fait possible de n'autoriser que certains types d'IP. Pour cela, recherchez "allowed_clients = all" et remplacez-le selon vos besoin par :  | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : allowed_clients => Il est tout à fait possible de n'autoriser que certains types d'IP. Pour cela, recherchez "allowed_clients = all" et remplacez-le selon vos besoin par :  | allowed_clients
64 Mot inconnu : all => Il est tout à fait possible de n'autoriser que certains types d'IP. Pour cela, recherchez "allowed_clients = all" et remplacez-le selon vos besoin par :  | all
64 Guillemets typographiques fermants. => Il est tout à fait possible de n'autoriser que certains types d'IP. Pour cela, recherchez "allowed_clients = all" et remplacez-le selon vos besoin par :  | " => suggestions : ['\xa0»', '”']
64 Accord de nombre erroné : « besoin » devrait être au pluriel. => Il est tout à fait possible de n'autoriser que certains types d'IP. Pour cela, recherchez "allowed_clients = all" et remplacez-le selon vos besoin par :  | besoin => suggestions : ['besoins']
64 Espace(s) en fin de ligne à supprimer. => Il est tout à fait possible de n'autoriser que certains types d'IP. Pour cela, recherchez "allowed_clients = all" et remplacez-le selon vos besoin par :  |   => suggestions : ['']

65 Mot inconnu : ip => Une seule personne (adresse ip a choisir) :  | ip
65 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Une seule personne (adresse ip a choisir) :  | a => suggestions : ['à']
65 Espace(s) en fin de ligne à supprimer. => Une seule personne (adresse ip a choisir) :  |   => suggestions : ['']
67 Espace(s) en fin de ligne à supprimer. => ou tout le monde (option par défaut) :  |   => suggestions : ['']

74 Guillemets typographiques ouvrants. => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : hostname => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | hostname
74 Guillemets typographiques fermants. => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | " => suggestions : ['\xa0»', '”']
74 Mot inconnu : décommentez => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | décommentez
74 Confusion probable. Écrivez “là” si vous voulez dire “ici”. => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | la => suggestions : ['là']
74 Guillemets typographiques ouvrants. => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : hostname => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | hostname
74 Mot inconnu : monsite => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | monsite
74 Mot inconnu : monsite => Si vous comptez partager vos musiques, ou avoir la possibilité de les écouter par internet, vous pouvez avoir besoin de les mettre sur un site et donc sur un nom de domaine. Pour cela, recherchez "hostname". La ligne est commentée, décommentez la et inscrivez "hostname = monsite.org". Votre serveur sera alors accessible depuis monsite.org:8888 (ou le port que vous avez configuré) | monsite

78 Mot inconnu : gnump3d => Pour finir, enregistrez les changements et relancez gnump3d par la commande :  | gnump3d
78 Espace(s) en fin de ligne à supprimer. => Pour finir, enregistrez les changements et relancez gnump3d par la commande :  |   => suggestions : ['']
