
4 Mot inconnu : locate => ====== locate (mlocate) ====== | locate
4 Mot inconnu : mlocate => ====== locate (mlocate) ====== | mlocate

8 Mot inconnu : locate => Dans un terminal, //locate// permet de localiser immédiatement n'importe quel fichier ou répertoire présent sur votre système (y compris les fichiers cachés). | locate

12 Mot inconnu : locate => //locate// est en fait un fichier lien vers le programme //mlocate// | locate
12 Mot inconnu : mlocate => //locate// est en fait un fichier lien vers le programme //mlocate// | mlocate

16 Mot inconnu : locate => //locate// est rapide parce qu'au lieu de parcourir en « //live// » toute l'arborescence du système (comme le fait //find//), une base de données ou //index// est régulièrement mis à jour qui contient la liste de tous les fichiers et répertoires. C'est cet index statique qui va être exploré très rapidement et fournir le résultat de la recherche lors de l'utilisation de //locate//. | locate
16 Mot inconnu : find => //locate// est rapide parce qu'au lieu de parcourir en « //live// » toute l'arborescence du système (comme le fait //find//), une base de données ou //index// est régulièrement mis à jour qui contient la liste de tous les fichiers et répertoires. C'est cet index statique qui va être exploré très rapidement et fournir le résultat de la recherche lors de l'utilisation de //locate//. | find
16 Mot inconnu : locate => //locate// est rapide parce qu'au lieu de parcourir en « //live// » toute l'arborescence du système (comme le fait //find//), une base de données ou //index// est régulièrement mis à jour qui contient la liste de tous les fichiers et répertoires. C'est cet index statique qui va être exploré très rapidement et fournir le résultat de la recherche lors de l'utilisation de //locate//. | locate

18 Mot inconnu : anacron => La base de données est automatiquement mise à jour quotidiennement grâce au programme //[[anacron]]//. | anacron

20 Mot inconnu : anacron => <note tip>//[[anacron]]// est un programme qui permet l'exécution de tâches quotidiennes, hebdomadaires ou mensuelles sur un système de type Unix.</note> | anacron

22 Avec une unité de mesure, mettez un espace insécable. => La base de données est mise à jour quotidiennement à 7 h 30. Si la machine n'était pas allumée à ce moment précis, la mise à jour est déclenchée 5 minutes après le prochain démarrage. | 7 h => suggestions : ['7\xa0h']

24 Mot inconnu : locate => //locate// indexe l'ensemble du système de fichiers : un utilisateur lambda peut utiliser //locate// pour connaître le contenu de dossiers dont il n'a pas les droits. Si cet aspect vous gêne, il faudra remplacer //mlocate// par //slocate//. Ce n'est en général pas un problème sur une machine personnelle dont l'accès est sécurisé, mais c'est un point à garder en tête pour une utilisation sur serveur ou dans un contexte à accès partagé. | locate
24 Mot inconnu : locate => //locate// indexe l'ensemble du système de fichiers : un utilisateur lambda peut utiliser //locate// pour connaître le contenu de dossiers dont il n'a pas les droits. Si cet aspect vous gêne, il faudra remplacer //mlocate// par //slocate//. Ce n'est en général pas un problème sur une machine personnelle dont l'accès est sécurisé, mais c'est un point à garder en tête pour une utilisation sur serveur ou dans un contexte à accès partagé. | locate
24 Mot inconnu : mlocate => //locate// indexe l'ensemble du système de fichiers : un utilisateur lambda peut utiliser //locate// pour connaître le contenu de dossiers dont il n'a pas les droits. Si cet aspect vous gêne, il faudra remplacer //mlocate// par //slocate//. Ce n'est en général pas un problème sur une machine personnelle dont l'accès est sécurisé, mais c'est un point à garder en tête pour une utilisation sur serveur ou dans un contexte à accès partagé. | mlocate
24 Mot inconnu : slocate => //locate// indexe l'ensemble du système de fichiers : un utilisateur lambda peut utiliser //locate// pour connaître le contenu de dossiers dont il n'a pas les droits. Si cet aspect vous gêne, il faudra remplacer //mlocate// par //slocate//. Ce n'est en général pas un problème sur une machine personnelle dont l'accès est sécurisé, mais c'est un point à garder en tête pour une utilisation sur serveur ou dans un contexte à accès partagé. | slocate

26 Mot inconnu : locate => Plutôt que de relire l'ensemble du contenu de tous les répertoires chaque fois que la base de données est mise à jour, //locate// conserve des informations d'horodatage dans sa base de données de telle sorte qu'il puisse savoir si le contenu d'un répertoire a changé sans le relire. Cela rend les mises à jour plus rapides et sollicite moins le disque dur. Cette fonctionnalité est par contre uniquement disponible dans mlocate. | locate
26 Mot inconnu : mlocate => Plutôt que de relire l'ensemble du contenu de tous les répertoires chaque fois que la base de données est mise à jour, //locate// conserve des informations d'horodatage dans sa base de données de telle sorte qu'il puisse savoir si le contenu d'un répertoire a changé sans le relire. Cela rend les mises à jour plus rapides et sollicite moins le disque dur. Cette fonctionnalité est par contre uniquement disponible dans mlocate. | mlocate

28 Mot inconnu : locate => <note>Avant la version 13.10 d'Ubuntu, les adeptes de l'hibernation ou de la mise en veille devaient potentiellement mettre à jour la base de données manuellement pour pouvoir utiliser //locate//, dans le cas où leur PC ne fonctionnait pas à l'heure exacte prévue de la mise à jour de l'index. Désormais, la mise à jour est automatiquement lancée à la sortie de veille.</note> | locate

32 Mot inconnu : locate => La commande //locate// est fournie par le paquet [[apt>mlocate]], lequel est normalement pré-installé. Si ce n'est pas le cas : | locate
32 Mot inconnu : mlocate => La commande //locate// est fournie par le paquet [[apt>mlocate]], lequel est normalement pré-installé. Si ce n'est pas le cas : | mlocate

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo apt-get install mlocate |     => suggestions : ['']
34 Mot inconnu : sudo =>    sudo apt-get install mlocate | sudo
34 Mot inconnu : apt-get =>    sudo apt-get install mlocate | apt-get
34 Mot inconnu : install =>    sudo apt-get install mlocate | install
34 Mot inconnu : mlocate =>    sudo apt-get install mlocate | mlocate

36 Mot inconnu : mlocate => Un fichier script //mlocate// est placé dans /etc/cron.daily pour être exécuté chaque jour et mettre à jour la base de donnée mlocate, qui se trouve à l'emplacement ///var/lib/mlocate/mlocate.db//. L'installation de mlocate modifie le binaire ///usr/bin/locate// pour pointer sur la version "mlocate". Si mlocate n'était pas pré-installé sur votre système, que vous avez réalisé une installation manuelle et que vous souhaitez utiliser //locate// sans attendre, vous devez exécuter /etc/cron.daily/mlocate manuellement (une seule fois) dans un terminal pour créer la base de données, faute de quoi la commande de recherche ne fonctionnera pas correctement. | mlocate
