
4 Mot inconnu : Bewan => ====== Modem ADSL Bewan Ethernet ====== | bewan

6 Mot inconnu : télé2 => //Exemple avec l'installation sur un réseau télé2.fr.// | télé2

18 Mot inconnu : pppoeconf => Par défaut Ubuntu, contient le paquet **pppoeconf** dès le  premier démarrage. | pppoeconf
18 Espace(s) surnuméraire(s) à supprimer. => Par défaut Ubuntu, contient le paquet **pppoeconf** dès le  premier démarrage. |    => suggestions : [' ']

19 Mot inconnu : konsole => ouvrez un terminal (konsole sous kubuntu) et entrez cette commande: | konsole

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez ici votre numéro de compte Télé2, suivi de : @tele2.fr (Comme dans l'exemple ci-dessus) |    => suggestions : ['']
91 Mot inconnu : Télé2 =>   * Entrez ici votre numéro de compte Télé2, suivi de : @tele2.fr (Comme dans l'exemple ci-dessus) | télé2

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez ici votre mot de passe pour la connexion Télé2.  |    => suggestions : ['']
107 Mot inconnu : Télé2 =>   * Entrez ici votre mot de passe pour la connexion Télé2.  | télé2
107 Espace(s) en fin de ligne à supprimer. =>   * Entrez ici votre mot de passe pour la connexion Télé2.  |   => suggestions : ['']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //Remarque :// ce sont les identifiants qui vous ont toujours été demandé sous windows pour vous connecter au réseau tele2, en cas de doute, appelez votre opérateur |    => suggestions : ['']
108 Mot inconnu : tele2 =>   * //Remarque :// ce sont les identifiants qui vous ont toujours été demandé sous windows pour vous connecter au réseau tele2, en cas de doute, appelez votre opérateur | tele2

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tapez, simultanément sur les touches « Ctrl--d » pour fermer et quitter la console. |    => suggestions : ['']

191 Espace(s) en fin de ligne à supprimer. => **Bonne navigation…**  |   => suggestions : ['']

195 Mot inconnu : firefox => Dans ce cas, il vous faut utiliser un navigateur Web (firefox, konqueror,...) et vous connecter à votre routeur via son interface web (192.168.x.y). | firefox
195 Mot inconnu : konqueror => Dans ce cas, il vous faut utiliser un navigateur Web (firefox, konqueror,...) et vous connecter à votre routeur via son interface web (192.168.x.y). | konqueror
195 Erreur de numérisation ? Virgules au lieu de points ? => Dans ce cas, il vous faut utiliser un navigateur Web (firefox, konqueror,...) et vous connecter à votre routeur via son interface web (192.168.x.y). | ,... => suggestions : ['….']
195 Typographie : points de suspension. Utilisez le caractère dédié. => Dans ce cas, il vous faut utiliser un navigateur Web (firefox, konqueror,...) et vous connecter à votre routeur via son interface web (192.168.x.y). | ... => suggestions : ['…']
195 Grands nombres : utilisez des espaces insécables plutôt que des points. => Dans ce cas, il vous faut utiliser un navigateur Web (firefox, konqueror,...) et vous connecter à votre routeur via son interface web (192.168.x.y). | 192.168 => suggestions : ['192\xa0168']

197 Mot inconnu : Bewan => Votre modem //Ethernet Bewan// fonctionne avec le protocole **PPPOE (PPP over Ethernet)**, comme pour Ubuntu, vous n'aurez besoin que de votre nom d'utilisateur euxxxxxxx@tele2.fr et de votre mot de passe ; vous ne devriez pas avoir besoin des adresses DNS tele2 (212.151.137.170, 212.151.136.246). | bewan
197 Mot inconnu : PPPOE => Votre modem //Ethernet Bewan// fonctionne avec le protocole **PPPOE (PPP over Ethernet)**, comme pour Ubuntu, vous n'aurez besoin que de votre nom d'utilisateur euxxxxxxx@tele2.fr et de votre mot de passe ; vous ne devriez pas avoir besoin des adresses DNS tele2 (212.151.137.170, 212.151.136.246). | pppoe
197 Mot inconnu : over => Votre modem //Ethernet Bewan// fonctionne avec le protocole **PPPOE (PPP over Ethernet)**, comme pour Ubuntu, vous n'aurez besoin que de votre nom d'utilisateur euxxxxxxx@tele2.fr et de votre mot de passe ; vous ne devriez pas avoir besoin des adresses DNS tele2 (212.151.137.170, 212.151.136.246). | over
197 Mot inconnu : tele2 => Votre modem //Ethernet Bewan// fonctionne avec le protocole **PPPOE (PPP over Ethernet)**, comme pour Ubuntu, vous n'aurez besoin que de votre nom d'utilisateur euxxxxxxx@tele2.fr et de votre mot de passe ; vous ne devriez pas avoir besoin des adresses DNS tele2 (212.151.137.170, 212.151.136.246). | tele2
