
3 Mot inconnu : Thunar => ====== Thunar Renommer en masse ====== | thunar

12 Espace(s) en fin de ligne à supprimer. => Tout d'abord, sélectionnez les fichiers à renommer en cliquant sur le **+** en haut à gauche de votre fenêtre.  |   => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Chercher et remplacer** : remplace une occurrence donnée par une autre dans le nom des fichiers. |    => suggestions : ['']
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Chercher et remplacer** : remplace une occurrence donnée par une autre dans le nom des fichiers. |  -  => suggestions : [' – ', ' — ', ' − ']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Insérer / Écraser** : Avec l'option **Insérer**, ajoute une chaîne de caractère entre les positions données, en préservant les anciens caractères. Avec l'option **Écraser**, agit de même mais en remplaçant les caractères. |    => suggestions : ['']
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Insérer / Écraser** : Avec l'option **Insérer**, ajoute une chaîne de caractère entre les positions données, en préservant les anciens caractères. Avec l'option **Écraser**, agit de même mais en remplaçant les caractères. |  -  => suggestions : [' – ', ' — ', ' − ']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Insérer la date / l'heure** : Ajoute à la position donnée différentes dates ou heures liées aux fichiers (date de création, d'accès, de modification, etc.). |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Insérer la date / l'heure** : Ajoute à la position donnée différentes dates ou heures liées aux fichiers (date de création, d'accès, de modification, etc.). |  -  => suggestions : [' – ', ' — ', ' − ']
22 Accord de nombre erroné avec « la position donnée » : « différentes » devrait être au singulier. =>   - **Insérer la date / l'heure** : Ajoute à la position donnée différentes dates ou heures liées aux fichiers (date de création, d'accès, de modification, etc.). | différentes => suggestions : ['différente']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Majuscule / Minuscule** : Convertit le nom du fichier en minuscules, en MAJUSCULES, en Majuscules Aux Premières Lettres ou en Casse de phrase. |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Majuscule / Minuscule** : Convertit le nom du fichier en minuscules, en MAJUSCULES, en Majuscules Aux Premières Lettres ou en Casse de phrase. |  -  => suggestions : [' – ', ' — ', ' − ']
23 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. =>   - **Majuscule / Minuscule** : Convertit le nom du fichier en minuscules, en MAJUSCULES, en Majuscules Aux Premières Lettres ou en Casse de phrase. | convertit => suggestions : ['Convertis']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **Supprimer les caractères** : Enlève une chaîne de caractères du nom du fichier entre deux positions données. |    => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **Supprimer les caractères** : Enlève une chaîne de caractères du nom du fichier entre deux positions données. |  -  => suggestions : [' – ', ' — ', ' − ']

28 Mot inconnu : Xfce => **(en)** [[https://docs.xfce.org/xfce/thunar/bulk-renamer/start|La page de Renommer en masse sur la documentation Xfce]] | xfce
