
5 Mot inconnu : Driconf => ====== Driconf ====== | driconf
9 Mot inconnu : S3TC => Il permet notamment d'activer le support de la compression [[wp>S3TC]] (nécessaire à certains jeux) qui ne peut être activée par défaut dans les pilotes libres pour cause de licence, ou encore l'[[wp>HyperZ]] pour améliorer les performances des vieilles cartes graphiques. | s3tc
9 Mot inconnu : HyperZ => Il permet notamment d'activer le support de la compression [[wp>S3TC]] (nécessaire à certains jeux) qui ne peut être activée par défaut dans les pilotes libres pour cause de licence, ou encore l'[[wp>HyperZ]] pour améliorer les performances des vieilles cartes graphiques. | hyperz

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

24 Mettez des guillemets fermants plutôt qu’ouvrants. => Lors du premier lancement il créera un fichier « .drirc » dans votre dossier personnel, dans lequel il enregistrera votre configuration. |  « => suggestions : ['\xa0»', '”']
24 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Lors du premier lancement il créera un fichier « .drirc » dans votre dossier personnel, dans lequel il enregistrera votre configuration. |  . => suggestions : ['. ', '.']
24 Mot inconnu : drirc => Lors du premier lancement il créera un fichier « .drirc » dans votre dossier personnel, dans lequel il enregistrera votre configuration. | drirc

28 Mot inconnu : DRI => Par défaut, vous pouvez configurer le DRI pour tout votre système : | dri
