
3 Mot inconnu : MOC-Music [[6:15]] => ======MOC-Music on Console====== <|> moc-music
7 Mot inconnu : nombreaux [[22:31]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> nombreaux
7 Mot inconnu : Musepack [[65:73]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> musepack
7 Mot inconnu : Speex [[81:86]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> speex
7 Mot inconnu : WAVE [[88:92]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> wave
7 Mot inconnu : AIFF [[94:98]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> aiff
7 Mot inconnu : SVX [[104:107]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> svx
7 Mot inconnu : Sphere [[109:115]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> sphere
7 Mot inconnu : Nist [[116:120]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> nist
7 Mot inconnu : IRCAM [[126:131]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> ircam
7 Mot inconnu : Creative [[136:144]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> creative
7 Mot inconnu : VOC [[145:148]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> voc
7 Mot inconnu : grace [[152:157]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> grace
7 Mot inconnu : WMA [[179:182]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> wma
7 Mot inconnu : RealAudio [[184:193]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> realaudio
7 Mot inconnu : AAC [[195:198]] =>   * permet de lire de nombreaux formats : mp3, Ogg Vorbis, FLAC, Musepack (mpc), Speex, WAVE, AIFF, AU, SVX, Sphere Nist WAV, IRCAM SF, Creative VOC et grace à FFMpeg les formats WMA, RealAudio, AAC, MP4 ; <|> aac
12 Accord de nombre erroné : « musiques » devrait être au singulier. [[42:50]] =>   * peut aussi afficher les paroles d'une musiques ; <|> musiques => suggestions : ['musiquée', 'musique']
13 Typographie : points de suspension. Utilisez le caractère dédié. [[4:8]] =>   * .... <|> .... => suggestions : ['…']
45 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[151:152]] => Une fois lancé, le logiciel affiche deux panneaux : celui de gauche est un explorateur de fichier et celui de droite correspond à la liste de lecture. A chaque démarrage, MOC s'ouvrira dans le dernier répertoire utilisé. <|> a => suggestions : ['À']
45 Mot inconnu : MOC [[171:174]] => Une fois lancé, le logiciel affiche deux panneaux : celui de gauche est un explorateur de fichier et celui de droite correspond à la liste de lecture. A chaque démarrage, MOC s'ouvrira dans le dernier répertoire utilisé. <|> moc

