
5 Mot inconnu : ddrescue => ====== ddrescue ====== | ddrescue

7 Mot inconnu : ddrescue => **GNU ddrescue** (abrégé ici en ddrescue) est un outil de récupération de données sous licence GNU GPL. | ddrescue
7 Mot inconnu : ddrescue => **GNU ddrescue** (abrégé ici en ddrescue) est un outil de récupération de données sous licence GNU GPL. | ddrescue

9 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => ddrescue copie les données d'un fichier ou disque (disque dur, SSD, CD-ROM, etc.) vers un autre. À la différence de [[dd]] qui lit les données séquentiellement, **ddrescue saute les zones endommagées** dont la lecture est lente afin de récupérer rapidement un maximum de données. **Il revient ensuite récupérer** ce qui peut l'être dans les **zones endommagées**. Il est donc **particulièrement adapté pour sauvegarder un disque dur en fin de vie**, qui peut cesser de fonctionner avant la fin de la récupération. | ddrescue => suggestions : ['Ddrescue']
9 Mot inconnu : ddrescue => ddrescue copie les données d'un fichier ou disque (disque dur, SSD, CD-ROM, etc.) vers un autre. À la différence de [[dd]] qui lit les données séquentiellement, **ddrescue saute les zones endommagées** dont la lecture est lente afin de récupérer rapidement un maximum de données. **Il revient ensuite récupérer** ce qui peut l'être dans les **zones endommagées**. Il est donc **particulièrement adapté pour sauvegarder un disque dur en fin de vie**, qui peut cesser de fonctionner avant la fin de la récupération. | ddrescue
9 Mot inconnu : dd => ddrescue copie les données d'un fichier ou disque (disque dur, SSD, CD-ROM, etc.) vers un autre. À la différence de [[dd]] qui lit les données séquentiellement, **ddrescue saute les zones endommagées** dont la lecture est lente afin de récupérer rapidement un maximum de données. **Il revient ensuite récupérer** ce qui peut l'être dans les **zones endommagées**. Il est donc **particulièrement adapté pour sauvegarder un disque dur en fin de vie**, qui peut cesser de fonctionner avant la fin de la récupération. | dd
9 Mot inconnu : ddrescue => ddrescue copie les données d'un fichier ou disque (disque dur, SSD, CD-ROM, etc.) vers un autre. À la différence de [[dd]] qui lit les données séquentiellement, **ddrescue saute les zones endommagées** dont la lecture est lente afin de récupérer rapidement un maximum de données. **Il revient ensuite récupérer** ce qui peut l'être dans les **zones endommagées**. Il est donc **particulièrement adapté pour sauvegarder un disque dur en fin de vie**, qui peut cesser de fonctionner avant la fin de la récupération. | ddrescue

11 Mot inconnu : ddrescue => ddrescue dispose notamment une **intéressante fonction de "fusion" **qui permet d'obtenir **une copie saine** d'un disque ou fichier **à partir de plusieurs copies endommagées** dudit disque ou fichier. | ddrescue
11 Guillemets typographiques ouvrants. => ddrescue dispose notamment une **intéressante fonction de "fusion" **qui permet d'obtenir **une copie saine** d'un disque ou fichier **à partir de plusieurs copies endommagées** dudit disque ou fichier. | " => suggestions : ['«\xa0', '“']
11 Guillemets typographiques fermants. => ddrescue dispose notamment une **intéressante fonction de "fusion" **qui permet d'obtenir **une copie saine** d'un disque ou fichier **à partir de plusieurs copies endommagées** dudit disque ou fichier. | " => suggestions : ['\xa0»', '”']
21 Espace(s) en fin de ligne à supprimer. => Vérifiez que le disque sur lequel vous enregistrez le fichier cible et le fichier journal soit en bon état !  |   => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Il est inutile de continuer à faire des tests automatiques de qualité sur le disque défectueux. La désactivation se fait par la commande: |   => suggestions : ['']

32 Espace(s) surnuméraire(s) à supprimer. => ==== Installation  de ddrescue ==== |    => suggestions : [' ']
32 Mot inconnu : ddrescue => ==== Installation  de ddrescue ==== | ddrescue

33 Mot inconnu : liveusb => === Dans une instance opérationnelle ou la version liveusb 21.10. === | liveusb

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

41 Guillemets typographiques ouvrants. => === Dans une instance "live" avant la version 21.10. === | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. => === Dans une instance "live" avant la version 21.10. === | " => suggestions : ['\xa0»', '”']

45 Mot inconnu : sudo => sudo apt install gddrescue</code> | sudo
45 Mot inconnu : install => sudo apt install gddrescue</code> | install
45 Mot inconnu : gddrescue => sudo apt install gddrescue</code> | gddrescue

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                                                       |                                                       => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                                                             |                                                             => suggestions : ['']

52 S’il s’agit d’un impératif, mettez un trait d’union. => Désactivez le //montage// automatique des partitions, afin d'éviter que le système n'essaye de réparer une partition endommagée, risquant ainsi de l'endommager encore plus. | désactivez le => suggestions : ['Désactivez-le']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

55 Mot inconnu : NTFS => Évitez d'utiliser une partition NTFS pour accueillir une image disque de taille importante (plus de quelques Go). Plusieurs personnes ont rapporté que la récupération ralentit au fur et à mesure de la récupération, à telle point qu'il est impossible de finir la récupération. | ntfs

60 Mot inconnu : ddrescueview => === ddrescueview === | ddrescueview
62 Mot inconnu : ddrescueview => Vous pouvez utiliser **[[apt>ddrescueview]]** pour suivre l'avancement de la sauvegarde de façon graphique. Le résultat est présenté sous la forme d'une grille de couleur à la manière des outils de défragmentation sous Windows. | ddrescueview

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ===== Principe de fonctionnement de ddrescue ===== |   => suggestions : ['']
65 Mot inconnu : ddrescue =>  ===== Principe de fonctionnement de ddrescue ===== | ddrescue

68 Mot inconnu : ddrescue => ddrescue  fonctionne de la  [[https://www.gnu.org/software/ddrescue/manual/ddrescue_manual.html#Algorithm | façon suivante]]: | ddrescue
