
4 Mot inconnu : EOL => ====== Versions en fin de vie (EOL) ===== <|> eol
9 Mot inconnu : LTS =>   * **Versions LTS** : 60 mois (5 ans) suivant la date de publication de la version finale ; <|> lts
15 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * vous n'obtiendrez plus d'assistance((La documentation d'Ubuntu-FR tient à jour ses documents et tutoriels pour refléter les versions activement soutenues d'Ubuntu ; les documents obsolètes sont peu à peu remplacés. De plus, peu d'utilisateurs du forum et des salons de discussions sauront vous guider, car eux-aussi utilisent des versions plus récentes d'Ubuntu, différentes de la vôtre en fonctionnalités et en prise en charge matérielle.)),  <|> vous => suggestions : ['Vous']
15 Il manque un espace avant la parenthèse. =>   * vous n'obtiendrez plus d'assistance((La documentation d'Ubuntu-FR tient à jour ses documents et tutoriels pour refléter les versions activement soutenues d'Ubuntu ; les documents obsolètes sont peu à peu remplacés. De plus, peu d'utilisateurs du forum et des salons de discussions sauront vous guider, car eux-aussi utilisent des versions plus récentes d'Ubuntu, différentes de la vôtre en fonctionnalités et en prise en charge matérielle.)),  <|> ( => suggestions : [' (']
15 Pas de trait d’union. =>   * vous n'obtiendrez plus d'assistance((La documentation d'Ubuntu-FR tient à jour ses documents et tutoriels pour refléter les versions activement soutenues d'Ubuntu ; les documents obsolètes sont peu à peu remplacés. De plus, peu d'utilisateurs du forum et des salons de discussions sauront vous guider, car eux-aussi utilisent des versions plus récentes d'Ubuntu, différentes de la vôtre en fonctionnalités et en prise en charge matérielle.)),  <|> eux-aussi => suggestions : ['eux aussi']
15 Espace(s) en fin de ligne à supprimer. =>   * vous n'obtiendrez plus d'assistance((La documentation d'Ubuntu-FR tient à jour ses documents et tutoriels pour refléter les versions activement soutenues d'Ubuntu ; les documents obsolètes sont peu à peu remplacés. De plus, peu d'utilisateurs du forum et des salons de discussions sauront vous guider, car eux-aussi utilisent des versions plus récentes d'Ubuntu, différentes de la vôtre en fonctionnalités et en prise en charge matérielle.)),  <|>   => suggestions : ['']
22 Mot inconnu : old-releases => Lorsqu'une version d'Ubuntu arrive en fin de vie, les paquets logiciels sont désormais totalement figés : plus aucune nouvelle version contenant des correctifs de sécurité ne sera proposée. De plus, afin de libérer de l'espace de stockage dans les dépôts officiels de logiciels et dans les serveurs miroirs, l'ensemble des paquets logiciels est retiré des dépôts officiels. Ces paquets sont déportés dans un dépôt d'archives : le serveur //old-releases//. <|> old-releases

24 Mot inconnu : old-releases => Pour continuer à installer des logiciels dans votre système Ubuntu arrivé en fin de vie, vous devrez modifier vos sources de logiciels afin que les listes de paquets disponibles soient récupérées dans le serveur //old-releases// : <|> old-releases
37 Mot inconnu : old-releases => Afin de libérer de l'espace de stockage dans les serveurs de téléchargement officiels et dans les serveurs miroirs, les images CD des versions d'Ubuntu arrivées en fin de vie sont aussi retirées des serveurs de téléchargement officiels. Ces images CD sont déplacées vers un serveur d'archives : le serveur //old-releases//. Vous pouvez donc télécharger une copie de toutes les versions d'Ubuntu qui ne sont plus soutenues directement depuis le serveur //old-releases// : <|> old-releases
37 Mot inconnu : old-releases => Afin de libérer de l'espace de stockage dans les serveurs de téléchargement officiels et dans les serveurs miroirs, les images CD des versions d'Ubuntu arrivées en fin de vie sont aussi retirées des serveurs de téléchargement officiels. Ces images CD sont déplacées vers un serveur d'archives : le serveur //old-releases//. Vous pouvez donc télécharger une copie de toutes les versions d'Ubuntu qui ne sont plus soutenues directement depuis le serveur //old-releases// : <|> old-releases
38 Mot inconnu : old-releases =>   * **[[http://old-releases.ubuntu.com/releases/|Accéder au serveur old-releases]]** <|> old-releases
46 Mot inconnu : LTS =>   * À partir d'avril 2012, Ubuntu cesse la distinction entre les versions pour serveur et pour postes de travail dans le cadre du programme LTS. Toutes les versions LTS subséquentes, qu'elles soient pour les postes de travail ou pour les serveurs, seront soutenues pour une durée de 60 mois (5 ans); <|> lts
46 Mot inconnu : LTS =>   * À partir d'avril 2012, Ubuntu cesse la distinction entre les versions pour serveur et pour postes de travail dans le cadre du programme LTS. Toutes les versions LTS subséquentes, qu'elles soient pour les postes de travail ou pour les serveurs, seront soutenues pour une durée de 60 mois (5 ans); <|> lts
