
5 Mot inconnu : Plee => ====== Plee the Bear ====== | plee
5 Mot inconnu : the => ====== Plee the Bear ====== | the
5 Mot inconnu : Bear => ====== Plee the Bear ====== | bear

8 Mot inconnu : Plee => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | plee
8 Mot inconnu : the => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | the
8 Mot inconnu : Bear => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | bear
8 Mot inconnu : please => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | please
8 Mot inconnu : beer => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | beer
8 Pas d’espace avant ce signe. => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). |  ) => suggestions : [')']
8 Il manque un espace avant la parenthèse. => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | ( => suggestions : [' (']
8 Mot inconnu : GPLv2 => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | gplv2
8 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | 2d => suggestions : ['2ᵈ']
8 S’il s’agit d’un gentilé, mettez une majuscule. => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | français => suggestions : ['Français']
8 Mot inconnu : Angibaud => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | angibaud
8 Mot inconnu : Bear => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | bear
8 Mot inconnu : Engine => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | engine
8 Il manque un espace avant la parenthèse. => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | ( => suggestions : [' (']
8 Mot inconnu : CC-by-sa => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | cc-by-sa
8 Mot inconnu : v3 => **Plee the Bear**((le nom est un jeu de mot avec la phrase « please a beer » (une bière s'il vous plaît) )) est un jeu libre((GPLv2)) de plate-forme en 2D développé en C++ par les français Julien Jorge et Sébastien Angibaud, depuis le moteur du jeu, le « Bear Engine », gérant le graphisme, la physique, les entrées, etc., jusqu'aux éléments graphiques et sonores((CC-by-sa v3)). | v3

10 Mot inconnu : Plee => L'histoire est celle de l'ours brun Plee se réveillant après une sieste en constatant la disparition de son précieux miel. Notre ours part donc à travers la forêt à la recherche du coupable, son fils, pour lui mettre une bonne paire de baffes. | plee
