
5 Mot inconnu : dconf => ====== Éditeur dconf ====== | dconf

11 Mot inconnu : Dconf => <note warning>Les paramètres modifiés par //Dconf Editor// sont parfois critiques pour le fonctionnement du système. \\  | dconf
11 Mot inconnu : Editor => <note warning>Les paramètres modifiés par //Dconf Editor// sont parfois critiques pour le fonctionnement du système. \\  | editor
11 Espace(s) en fin de ligne à supprimer. => <note warning>Les paramètres modifiés par //Dconf Editor// sont parfois critiques pour le fonctionnement du système. \\  |   => suggestions : ['']

12 Mot inconnu : Dconf => **Dconf Editor** est un outil potentiellement dangereux, à réserver aux initiés.</note> | dconf
12 Mot inconnu : Editor => **Dconf Editor** est un outil potentiellement dangereux, à réserver aux initiés.</note> | editor

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

33 Guillemets typographiques ouvrants. => Les variables de configuration (nommées "clés") sont organisées selon une arborescence : il y donc des dossiers (parfois improprement nommés "schémas") qui s'ouvrent en cliquant dessus, et des clés éditables en cliquant dessus. | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => Les variables de configuration (nommées "clés") sont organisées selon une arborescence : il y donc des dossiers (parfois improprement nommés "schémas") qui s'ouvrent en cliquant dessus, et des clés éditables en cliquant dessus. | " => suggestions : ['\xa0»', '”']
33 Incohérence avec “il” : “donc” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => Les variables de configuration (nommées "clés") sont organisées selon une arborescence : il y donc des dossiers (parfois improprement nommés "schémas") qui s'ouvrent en cliquant dessus, et des clés éditables en cliquant dessus. | donc => suggestions : []
33 Guillemets typographiques ouvrants. => Les variables de configuration (nommées "clés") sont organisées selon une arborescence : il y donc des dossiers (parfois improprement nommés "schémas") qui s'ouvrent en cliquant dessus, et des clés éditables en cliquant dessus. | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => Les variables de configuration (nommées "clés") sont organisées selon une arborescence : il y donc des dossiers (parfois improprement nommés "schémas") qui s'ouvrent en cliquant dessus, et des clés éditables en cliquant dessus. | " => suggestions : ['\xa0»', '”']

44 Guillemets typographiques ouvrants. => Il est possible de mettre des clés ou des dossiers en favori pour pouvoir y accéder plus facilement (bouton "étoile"). | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => Il est possible de mettre des clés ou des dossiers en favori pour pouvoir y accéder plus facilement (bouton "étoile"). | " => suggestions : ['\xa0»', '”']

51 Une de ces ponctuations est superflue. => Les clés peuvent être des booléens (vrai/faux), des nombres, des chaînes de caractères, des listes de valeurs, ... | , . => suggestions : [',', '.']
51 Typographie : points de suspension. Utilisez le caractère dédié. => Les clés peuvent être des booléens (vrai/faux), des nombres, des chaînes de caractères, des listes de valeurs, ... | ... => suggestions : ['…']

72 Une de ces ponctuations est superflue. => , ...// | , . => suggestions : [',', '.']
72 Typographie : points de suspension. Utilisez le caractère dédié. => , ...// | ... => suggestions : ['…']
