
4 Mot inconnu : LiveWallpaper => ====== LiveWallpaper ====== | livewallpaper

5 Mot inconnu : LiveWallpaper => **LiveWallpaper** est une application qui permet de remplacer le traditionnel fond d'écran statique par un fond d'écran animé. Il y a actuellement cinq plugins officiels : Galaxy, Nexus, Noise, Circles et Photoslide. \\ | livewallpaper
5 Mot inconnu : Galaxy => **LiveWallpaper** est une application qui permet de remplacer le traditionnel fond d'écran statique par un fond d'écran animé. Il y a actuellement cinq plugins officiels : Galaxy, Nexus, Noise, Circles et Photoslide. \\ | galaxy
5 Mot inconnu : Circles => **LiveWallpaper** est une application qui permet de remplacer le traditionnel fond d'écran statique par un fond d'écran animé. Il y a actuellement cinq plugins officiels : Galaxy, Nexus, Noise, Circles et Photoslide. \\ | circles
5 Mot inconnu : Photoslide => **LiveWallpaper** est une application qui permet de remplacer le traditionnel fond d'écran statique par un fond d'écran animé. Il y a actuellement cinq plugins officiels : Galaxy, Nexus, Noise, Circles et Photoslide. \\ | photoslide

6 Mot inconnu : compiz-plugins-livewallpapers => Il a été conçu par les développeurs du projet compiz-plugins-livewallpapers afin de s'affranchir de la dépendance de Compiz et de faire un système plus portable et réactif. | compiz-plugins-livewallpapers
6 Mot inconnu : Compiz => Il a été conçu par les développeurs du projet compiz-plugins-livewallpapers afin de s'affranchir de la dépendance de Compiz et de faire un système plus portable et réactif. | compiz

23 Mot inconnu : indicator => Vous pouvez lancer l'interface de configuration par l'indicator (cf ci-dessous), en cherchant dans le menu des paramètres de votre système,  | indicator
23 Espace(s) en fin de ligne à supprimer. => Vous pouvez lancer l'interface de configuration par l'indicator (cf ci-dessous), en cherchant dans le menu des paramètres de votre système,  |   => suggestions : ['']

24 Mot inconnu : livewallpaper-config => en cherchant livewallpaper-config dans le Dash (Unity) ou en tapant livewallpaper-config dans un terminal. \\ | livewallpaper-config
24 Mot inconnu : Dash => en cherchant livewallpaper-config dans le Dash (Unity) ou en tapant livewallpaper-config dans un terminal. \\ | dash
24 Mot inconnu : Unity => en cherchant livewallpaper-config dans le Dash (Unity) ou en tapant livewallpaper-config dans un terminal. \\ | unity
24 Mot inconnu : livewallpaper-config => en cherchant livewallpaper-config dans le Dash (Unity) ou en tapant livewallpaper-config dans un terminal. \\ | livewallpaper-config

27 Mot inconnu : Livewallpaper => Dans le cas de l'onglet Livewallpaper, il s'agit d'un interrupteur pour autoriser ou non le livewallpaper à dessiner le fond d'écran, et démarrer le programme quand on active l'interrupteur s'il est n'est pas déjà lancé. \\ | livewallpaper
27 Mot inconnu : livewallpaper => Dans le cas de l'onglet Livewallpaper, il s'agit d'un interrupteur pour autoriser ou non le livewallpaper à dessiner le fond d'écran, et démarrer le programme quand on active l'interrupteur s'il est n'est pas déjà lancé. \\ | livewallpaper

28 Il manque un trait d’union. => Ces onglets contiennent les options des différents plugins, elles mêmes contenues dans des onglets. \\ | elles mêmes => suggestions : ['elles-mêmes']

30 Mot inconnu : Indicator => ==== Indicator ==== | indicator

31 Mot inconnu : indicator => L'indicator est normalement automatiquement lancé dès l'ouverture de la session. Il s'agit d'une icône dans la zone d'indicators contenant un menu. \\ | indicator
31 Mot inconnu : indicators => L'indicator est normalement automatiquement lancé dès l'ouverture de la session. Il s'agit d'une icône dans la zone d'indicators contenant un menu. \\ | indicators

38 Mot inconnu : livewallpaper => Après l'installation ou pour relancer le programme en cas de plantage ou si vous le tuez, tapez simplement livewallpaper dans un terminal. \\ | livewallpaper

41 Mot inconnu : livewallpaper => Pour arrêter le livewallpaper et le relancer, cochez la case livewallpaper de l'indicator, ou activez l'interrupteur de l'onglet Livewallpaper dans l'interface de configuration. \\ | livewallpaper
41 Mot inconnu : livewallpaper => Pour arrêter le livewallpaper et le relancer, cochez la case livewallpaper de l'indicator, ou activez l'interrupteur de l'onglet Livewallpaper dans l'interface de configuration. \\ | livewallpaper
41 Mot inconnu : indicator => Pour arrêter le livewallpaper et le relancer, cochez la case livewallpaper de l'indicator, ou activez l'interrupteur de l'onglet Livewallpaper dans l'interface de configuration. \\ | indicator
41 Mot inconnu : Livewallpaper => Pour arrêter le livewallpaper et le relancer, cochez la case livewallpaper de l'indicator, ou activez l'interrupteur de l'onglet Livewallpaper dans l'interface de configuration. \\ | livewallpaper

42 Mot inconnu : livewallpaper => Ce bouton ne fait qu'autoriser le programme livewallpaper à afficher le fond d'écran et à effectuer les animations. Si le programme livewallpaper n'est pas lancé, cette case n'aura aucun effet. | livewallpaper
42 Mot inconnu : livewallpaper => Ce bouton ne fait qu'autoriser le programme livewallpaper à afficher le fond d'écran et à effectuer les animations. Si le programme livewallpaper n'est pas lancé, cette case n'aura aucun effet. | livewallpaper

44 Espace(s) surnuméraire(s) à supprimer. => ==== Afficher les icônes du  bureau ==== |    => suggestions : [' ']

46 Mot inconnu : LiveWallpaper => Quand **LiveWallpaper** est lancé, les icônes du bureau sont cachées. Vous pouvez allez dans le gestionnaire de configuration et choisir l'activation des icônes sur le bureau (seulement sur le ppa dailybuilt prévu pour Ubuntu 14.04). | livewallpaper
