
4 Mot inconnu : Baldur's => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | baldur's
4 Mot inconnu : Gate => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | gate
4 S’il s’agit d’un impératif, pas de “s”. => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | tales => suggestions : ['Tale']
4 Mot inconnu : of => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | of
4 Mot inconnu : the => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | the
4 Mot inconnu : Sword => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | sword
4 Mot inconnu : Coast => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | coast

6 Mot inconnu : BioWare => Le célèbre jeu de rôles de BioWare (et des regrettés Interplay et Black Isle) est très facilement portable sur Ubuntu grâce à l'émulateur d'applications Windows, Wine. | bioware
6 Mot inconnu : Interplay => Le célèbre jeu de rôles de BioWare (et des regrettés Interplay et Black Isle) est très facilement portable sur Ubuntu grâce à l'émulateur d'applications Windows, Wine. | interplay
6 Mot inconnu : Isle => Le célèbre jeu de rôles de BioWare (et des regrettés Interplay et Black Isle) est très facilement portable sur Ubuntu grâce à l'émulateur d'applications Windows, Wine. | isle
6 Mot inconnu : Wine => Le célèbre jeu de rôles de BioWare (et des regrettés Interplay et Black Isle) est très facilement portable sur Ubuntu grâce à l'émulateur d'applications Windows, Wine. | wine

8 Espace(s) surnuméraire(s) à supprimer. => Le tutoriel qui suit fonctionne pour le  jeu avec ou sans son extension. |    => suggestions : [' ']

20 Guillemets typographiques ouvrants. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. | " => suggestions : ['«\xa0', '“']
20 Guillemets typographiques fermants. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. | " => suggestions : ['\xa0»', '”']
20 Espace(s) surnuméraire(s) à supprimer. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. |    => suggestions : [' ']
20 Typographie : points de suspension. Utilisez le caractère dédié. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. | ... => suggestions : ['…']
20 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. | 2 gio => suggestions : ['2\xa0Gio']
20 Espace(s) surnuméraire(s) à supprimer. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. |    => suggestions : [' ']
20 Guillemets typographiques ouvrants. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. | " => suggestions : ['«\xa0', '“']
20 Guillemets typographiques fermants. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. | " => suggestions : ['\xa0»', '”']
20 Espace(s) surnuméraire(s) à supprimer. => Par défaut, l'installation proposée est "recommandée".  Cependant, ce mode oblige, pendant le jeu, à changer régulièrement de CD lorsque vous changez de zone... c'est ennuyeux, et comme la plupart des joueurs disposent maintenant de gros disques durs, vous pourrez aisément sacrifier 2 Gio pour effectuer une installation complète.  Pour ce faire, choisissez, lors du début de l'installation, l'option "installation personnalisée".  Il vous suffit alors de cocher toutes les cases disponibles afin d'installer entièrement le jeu. |    => suggestions : [' ']
22 Espace(s) surnuméraire(s) à supprimer. => Ne vous inquiétez pas : il va vous dire que votre disque dur n'est pas assez grand pour accueillir le jeu complet.  C'est dû au fait que l'installateur fonctionne encore pour les disques en FAT32, et il ne gère pas les disques dont la capacité est supérieure à 2 Gio.  Forcez-le à accepter, l'installation se déroulera parfaitement malgré cet avertissement. |    => suggestions : [' ']
22 Mot inconnu : FAT32 => Ne vous inquiétez pas : il va vous dire que votre disque dur n'est pas assez grand pour accueillir le jeu complet.  C'est dû au fait que l'installateur fonctionne encore pour les disques en FAT32, et il ne gère pas les disques dont la capacité est supérieure à 2 Gio.  Forcez-le à accepter, l'installation se déroulera parfaitement malgré cet avertissement. | fat32
22 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Ne vous inquiétez pas : il va vous dire que votre disque dur n'est pas assez grand pour accueillir le jeu complet.  C'est dû au fait que l'installateur fonctionne encore pour les disques en FAT32, et il ne gère pas les disques dont la capacité est supérieure à 2 Gio.  Forcez-le à accepter, l'installation se déroulera parfaitement malgré cet avertissement. | 2 gio => suggestions : ['2\xa0Gio']
22 Espace(s) surnuméraire(s) à supprimer. => Ne vous inquiétez pas : il va vous dire que votre disque dur n'est pas assez grand pour accueillir le jeu complet.  C'est dû au fait que l'installateur fonctionne encore pour les disques en FAT32, et il ne gère pas les disques dont la capacité est supérieure à 2 Gio.  Forcez-le à accepter, l'installation se déroulera parfaitement malgré cet avertissement. |    => suggestions : [' ']

28 Mot inconnu : CDs => ==== Édition 5 ou 6 CDs ==== | cds

30 Mot inconnu : CDs => Selon que vous ayez l'extension ou non, vous avez à disposition 5 ou 6 CDs.  Vous rencontrerez rapidement des problèmes en installant le jeu de manière classique :  | cds
30 Espace(s) surnuméraire(s) à supprimer. => Selon que vous ayez l'extension ou non, vous avez à disposition 5 ou 6 CDs.  Vous rencontrerez rapidement des problèmes en installant le jeu de manière classique :  |    => suggestions : [' ']
30 Espace(s) en fin de ligne à supprimer. => Selon que vous ayez l'extension ou non, vous avez à disposition 5 ou 6 CDs.  Vous rencontrerez rapidement des problèmes en installant le jeu de manière classique :  |   => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /media/cdrom && wine Setup.exe |    => suggestions : ['']
32 Mot inconnu : wine =>   cd /media/cdrom && wine Setup.exe | wine
32 Mot inconnu : Setup =>   cd /media/cdrom && wine Setup.exe | setup
32 Mot inconnu : exe =>   cd /media/cdrom && wine Setup.exe | exe

34 Espace(s) surnuméraire(s) à supprimer. => En effet, une fois le contenu du premier CD installé, vous devrez passer au CD suivant.  Or, il vous sera impossible de démonter le CD-ROM de l'arborescence Linux, étant donné qu'il est toujours utilisé. |    => suggestions : [' ']

36 Mot inconnu : CDs => Un bon moyen consiste à copier au préalable l'ensemble du contenu des CDs 2 à 5 sur votre disque dur, dans un dossier spécifique à chaque CD (par exemple dans /home/user/CD2). | cds

38 Espace(s) surnuméraire(s) à supprimer. => Lorsque le premier CD sera installé, il vous suffira alors de pointer le CD 2 vers votre dossier, et ainsi de suite.  L'extension s'installant séparément (mais de la même façon), il ne vous est pas nécessaire d'en copier le contenu sur votre disque. |    => suggestions : [' ']

40 Mot inconnu : DirectX => Une fois l'installation du jeu terminée, l'installateur vous demandera si vous désirez installer les pilotes DirectX.  Acceptez, cela vous évitera des soucis graphiques dans le jeu. | directx
40 Espace(s) surnuméraire(s) à supprimer. => Une fois l'installation du jeu terminée, l'installateur vous demandera si vous désirez installer les pilotes DirectX.  Acceptez, cela vous évitera des soucis graphiques dans le jeu. |    => suggestions : [' ']

42 Mot inconnu : BioWare => Enfin, il vous restera à installer le patch officiel édité par BioWare, [[https://www.bioware.com/games/baldurs_gate/support/patches/|ici pour le jeu de base]] et [[https://www.bioware.com/games/tales_sword_coast/support/patches/|là si vous avez l'extension]].  Choisissez le patch qui convient à votre installation : anglais si vous avez le jeu en anglais, international pour toute autre langue (allemand, français, italien...). | bioware
42 Espace(s) surnuméraire(s) à supprimer. => Enfin, il vous restera à installer le patch officiel édité par BioWare, [[https://www.bioware.com/games/baldurs_gate/support/patches/|ici pour le jeu de base]] et [[https://www.bioware.com/games/tales_sword_coast/support/patches/|là si vous avez l'extension]].  Choisissez le patch qui convient à votre installation : anglais si vous avez le jeu en anglais, international pour toute autre langue (allemand, français, italien...). |    => suggestions : [' ']
42 Typographie : points de suspension. Utilisez le caractère dédié. => Enfin, il vous restera à installer le patch officiel édité par BioWare, [[https://www.bioware.com/games/baldurs_gate/support/patches/|ici pour le jeu de base]] et [[https://www.bioware.com/games/tales_sword_coast/support/patches/|là si vous avez l'extension]].  Choisissez le patch qui convient à votre installation : anglais si vous avez le jeu en anglais, international pour toute autre langue (allemand, français, italien...). | ... => suggestions : ['…']

