
5 Mot inconnu : Odoo => ====== Odoo (anciennement OpenERP) ====== | odoo
5 Mot inconnu : OpenERP => ====== Odoo (anciennement OpenERP) ====== | openerp

9 Mot inconnu : Odoo => Depuis la version **9.0**, **Odoo** a fait le choix de distinguer la version communautaire de la version entreprise. Ainsi, certaines des fonctionnalités sont devenues payantes (licence par utilisateur). | odoo

11 Accord de genre erroné avec « entreprises ». => Les modules entreprises sont répertoriés sur les pages //release-notes// des différentes versions : | modules => suggestions : ['modulées']
11 Accord de genre erroné entre « modules » et « entreprises ». => Les modules entreprises sont répertoriés sur les pages //release-notes// des différentes versions : | entreprises => suggestions : ['entrepris']
11 Mot inconnu : release-notes => Les modules entreprises sont répertoriés sur les pages //release-notes// des différentes versions : | release-notes

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Odoo 10 : [[https://www.odoo.com/fr_FR/page/odoo-10-release-notes]] |    => suggestions : ['']
12 Mot inconnu : Odoo =>   * Odoo 10 : [[https://www.odoo.com/fr_FR/page/odoo-10-release-notes]] | odoo

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Odoo 11 : [[https://www.odoo.com/fr_FR/page/odoo-11-release-notes]] |    => suggestions : ['']
13 Mot inconnu : Odoo =>   * Odoo 11 : [[https://www.odoo.com/fr_FR/page/odoo-11-release-notes]] | odoo

15 Mot inconnu : Odoo => Les différentes versions d'Odoo et leur état de maintenance peut être vu ici : [[https://fr.wikipedia.org/wiki/Odoo#Historique_et_notes_des_sorties]] | odoo

17 Mot inconnu : Odoo => Odoo est l'application ERP la plus installée au monde employée par plus de 2.000.000 d'utilisateurs, allant de petites entreprises à des très grosses entreprises de plus de 300 000 utilisateurs. | odoo
17 Accord de genre erroné : « monde » est masculin, « employée » est féminin. => Odoo est l'application ERP la plus installée au monde employée par plus de 2.000.000 d'utilisateurs, allant de petites entreprises à des très grosses entreprises de plus de 300 000 utilisateurs. | employée => suggestions : ['employé']
17 Grands nombres : utilisez des espaces insécables plutôt que des points. => Odoo est l'application ERP la plus installée au monde employée par plus de 2.000.000 d'utilisateurs, allant de petites entreprises à des très grosses entreprises de plus de 300 000 utilisateurs. | 2.000.000 => suggestions : ['2\xa0000\xa0000']
17 Grands nombres : utilisez des espaces insécables. => Odoo est l'application ERP la plus installée au monde employée par plus de 2.000.000 d'utilisateurs, allant de petites entreprises à des très grosses entreprises de plus de 300 000 utilisateurs. | 300 000 => suggestions : ['300\xa0000']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * CRM & SRM ; gestion de la relation client |      => suggestions : ['']
22 Mot inconnu : CRM =>     * CRM & SRM ; gestion de la relation client | crm
22 Mot inconnu : SRM =>     * CRM & SRM ; gestion de la relation client | srm

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Comptabilité analytique et financière |      => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion des stocks |      => suggestions : ['']

