
5 Mot inconnu : Nautilus => ====== Nautilus — sa mission : explorer Ubuntu ====== | nautilus

9 Guillemets typographiques ouvrants. => Il s'agit de l'équivalent de "l'Explorateur Windows" (sur [[Windows]]) ou de "Finder" (sur MacOS). | " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. => Il s'agit de l'équivalent de "l'Explorateur Windows" (sur [[Windows]]) ou de "Finder" (sur MacOS). | " => suggestions : ['\xa0»', '”']
9 Guillemets typographiques ouvrants. => Il s'agit de l'équivalent de "l'Explorateur Windows" (sur [[Windows]]) ou de "Finder" (sur MacOS). | " => suggestions : ['«\xa0', '“']
9 Mot inconnu : Finder => Il s'agit de l'équivalent de "l'Explorateur Windows" (sur [[Windows]]) ou de "Finder" (sur MacOS). | finder
9 Guillemets typographiques fermants. => Il s'agit de l'équivalent de "l'Explorateur Windows" (sur [[Windows]]) ou de "Finder" (sur MacOS). | " => suggestions : ['\xa0»', '”']
9 Mot inconnu : MacOS => Il s'agit de l'équivalent de "l'Explorateur Windows" (sur [[Windows]]) ou de "Finder" (sur MacOS). | macos

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']
26 Pas d’espace après ce signe. => **cliquer sur le bouton « hamburger »** ( 3 traits parallèles horizontaux ),\\ | (  => suggestions : ['(']
26 Pas d’espace avant ce signe. => **cliquer sur le bouton « hamburger »** ( 3 traits parallèles horizontaux ),\\ |  ) => suggestions : [')']

27 Espace(s) surnuméraire(s) à supprimer. => puis sur  « **Préférences** »\\ |    => suggestions : [' ']

30 Mot inconnu : LTS => Voici le menu des options présent avec la version actuelle d'Ubuntu 22.04 LTS\\ | lts

33 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => Le menu a été simplifié et certaines options on été retirées par rapport aux versions précédentes. | été => suggestions : ['fut', 'était', 'est']

34 Mot inconnu : Unity => ==== Avec Unity ==== | unity

39 Mot inconnu : Nautilus => <note important>Ci-dessous, les options sont celles des versions précédentes de Nautilus avec **Unity**.</note> | nautilus
39 Mot inconnu : Unity => <note important>Ci-dessous, les options sont celles des versions précédentes de Nautilus avec **Unity**.</note> | unity

50 Mot inconnu : Nautilus => Chaque dossier Nautilus est personnalisable : des emblèmes sont adjoignables aux dossiers pour souligner leur qualification (importance, discrétion, urgent, interdit ...). | nautilus
50 Mot inconnu : adjoignables => Chaque dossier Nautilus est personnalisable : des emblèmes sont adjoignables aux dossiers pour souligner leur qualification (importance, discrétion, urgent, interdit ...). | adjoignables
50 Typographie : points de suspension. Utilisez le caractère dédié. => Chaque dossier Nautilus est personnalisable : des emblèmes sont adjoignables aux dossiers pour souligner leur qualification (importance, discrétion, urgent, interdit ...). | ... => suggestions : ['…']

52 Guillemets typographiques ouvrants. => Sélectionnez le dossier sur lequel vous souhaitez mettre un emblème, faites un clic droit sur le dossier -> Propriétés -> onglet "Emblems". | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : Emblems => Sélectionnez le dossier sur lequel vous souhaitez mettre un emblème, faites un clic droit sur le dossier -> Propriétés -> onglet "Emblems". | emblems
52 Guillemets typographiques fermants. => Sélectionnez le dossier sur lequel vous souhaitez mettre un emblème, faites un clic droit sur le dossier -> Propriétés -> onglet "Emblems". | " => suggestions : ['\xa0»', '”']

60 Mot inconnu : Nautilus => Les **Signets**, présents dans le panneau latéral de //Nautilus// permettent une navigation rapide dans les dossiers de l'utilisateur ; les dossiers pré-paramétrés sont : | nautilus

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dossier personnel |    => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Documents |    => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Musique |    => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Images |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Téléchargements |    => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vidéos |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * avec GNOME Shell ou Budgie, utiliser le menu-sandwich (à droite) pour ajouter un signet à l'emplacement actuellement ouvert ; |    => suggestions : ['']
