
3 Mot inconnu : GDL => ====== GDL : GNU Data Language ====== | gdl
3 Mot inconnu : Language => ====== GDL : GNU Data Language ====== | language

4 Mot inconnu : GDL => <note>**GDL**, c'est l'équivalent libre sous **GNU/linux** d'**IDL**. J'ai au début suivi des tutoriels pour compiler à la main les paquets et dépendances avant de me rendre compte qu'on pouvait l'installer directement. Il faut juste savoir que **GDL**, ça veut dire **GNU Data Language**, et que par conséquent, rechercher **GDL** dans synaptics ne renvoie pas de résultats alors que le programme s'y trouve. | gdl
4 Mot inconnu : linux => <note>**GDL**, c'est l'équivalent libre sous **GNU/linux** d'**IDL**. J'ai au début suivi des tutoriels pour compiler à la main les paquets et dépendances avant de me rendre compte qu'on pouvait l'installer directement. Il faut juste savoir que **GDL**, ça veut dire **GNU Data Language**, et que par conséquent, rechercher **GDL** dans synaptics ne renvoie pas de résultats alors que le programme s'y trouve. | linux
4 Mot inconnu : IDL => <note>**GDL**, c'est l'équivalent libre sous **GNU/linux** d'**IDL**. J'ai au début suivi des tutoriels pour compiler à la main les paquets et dépendances avant de me rendre compte qu'on pouvait l'installer directement. Il faut juste savoir que **GDL**, ça veut dire **GNU Data Language**, et que par conséquent, rechercher **GDL** dans synaptics ne renvoie pas de résultats alors que le programme s'y trouve. | idl
4 Mot inconnu : GDL => <note>**GDL**, c'est l'équivalent libre sous **GNU/linux** d'**IDL**. J'ai au début suivi des tutoriels pour compiler à la main les paquets et dépendances avant de me rendre compte qu'on pouvait l'installer directement. Il faut juste savoir que **GDL**, ça veut dire **GNU Data Language**, et que par conséquent, rechercher **GDL** dans synaptics ne renvoie pas de résultats alors que le programme s'y trouve. | gdl
4 Mot inconnu : Language => <note>**GDL**, c'est l'équivalent libre sous **GNU/linux** d'**IDL**. J'ai au début suivi des tutoriels pour compiler à la main les paquets et dépendances avant de me rendre compte qu'on pouvait l'installer directement. Il faut juste savoir que **GDL**, ça veut dire **GNU Data Language**, et que par conséquent, rechercher **GDL** dans synaptics ne renvoie pas de résultats alors que le programme s'y trouve. | language
4 Mot inconnu : GDL => <note>**GDL**, c'est l'équivalent libre sous **GNU/linux** d'**IDL**. J'ai au début suivi des tutoriels pour compiler à la main les paquets et dépendances avant de me rendre compte qu'on pouvait l'installer directement. Il faut juste savoir que **GDL**, ça veut dire **GNU Data Language**, et que par conséquent, rechercher **GDL** dans synaptics ne renvoie pas de résultats alors que le programme s'y trouve. | gdl
4 Mot inconnu : synaptics => <note>**GDL**, c'est l'équivalent libre sous **GNU/linux** d'**IDL**. J'ai au début suivi des tutoriels pour compiler à la main les paquets et dépendances avant de me rendre compte qu'on pouvait l'installer directement. Il faut juste savoir que **GDL**, ça veut dire **GNU Data Language**, et que par conséquent, rechercher **GDL** dans synaptics ne renvoie pas de résultats alors que le programme s'y trouve. | synaptics

6 Pas de majuscule sur les mois. => La version actuelle stable est la *0.9.5* (au 15 Mai 2015). | mai => suggestions : ['mai']

8 Incohérence avec “Il” : “deux” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => Il y deux façons d'installer GDL sous Ubuntu : via les paquets ou via une compilation à la main. Une fois réalisé que le paquet s'appelle  | deux => suggestions : []
8 Mot inconnu : GDL => Il y deux façons d'installer GDL sous Ubuntu : via les paquets ou via une compilation à la main. Une fois réalisé que le paquet s'appelle  | gdl
8 Espace(s) en fin de ligne à supprimer. => Il y deux façons d'installer GDL sous Ubuntu : via les paquets ou via une compilation à la main. Une fois réalisé que le paquet s'appelle  |   => suggestions : ['']
9 Mot inconnu : gdl => **[[apt://gnudatalanguage|gnudatalanguage]]** et non pas **gdl**, l'installation par paquet ne pose pas de vrais problèmes, sauf qu'il faut bien penser à ajouter le driver X11 dans plplot (aujourd'hui en version [[apt://plplot12-driver-xwin]]). L'inconvénient des paquets est qu'ils sont en décalage par rapport aux avancées constantes  | gdl
9 Mot inconnu : plplot => **[[apt://gnudatalanguage|gnudatalanguage]]** et non pas **gdl**, l'installation par paquet ne pose pas de vrais problèmes, sauf qu'il faut bien penser à ajouter le driver X11 dans plplot (aujourd'hui en version [[apt://plplot12-driver-xwin]]). L'inconvénient des paquets est qu'ils sont en décalage par rapport aux avancées constantes  | plplot
9 Mot inconnu : plplot12-driver-xwin => **[[apt://gnudatalanguage|gnudatalanguage]]** et non pas **gdl**, l'installation par paquet ne pose pas de vrais problèmes, sauf qu'il faut bien penser à ajouter le driver X11 dans plplot (aujourd'hui en version [[apt://plplot12-driver-xwin]]). L'inconvénient des paquets est qu'ils sont en décalage par rapport aux avancées constantes  | plplot12-driver-xwin
9 Espace(s) en fin de ligne à supprimer. => **[[apt://gnudatalanguage|gnudatalanguage]]** et non pas **gdl**, l'installation par paquet ne pose pas de vrais problèmes, sauf qu'il faut bien penser à ajouter le driver X11 dans plplot (aujourd'hui en version [[apt://plplot12-driver-xwin]]). L'inconvénient des paquets est qu'ils sont en décalage par rapport aux avancées constantes  |   => suggestions : ['']
10 Typographie : points de suspension. Utilisez le caractère dédié. => du développement du logiciel : nouvelles fonctionnalités et corrections de bugs ... Comme de gros efforts ont été fait pour faciliter la compilation depuis le source | ... => suggestions : ['…']
10 Accord avec la forme verbale “ont” : “fait” devrait être au pluriel. => du développement du logiciel : nouvelles fonctionnalités et corrections de bugs ... Comme de gros efforts ont été fait pour faciliter la compilation depuis le source | fait => suggestions : ['faits']
10 Accord de genre erroné : « source » est féminin. => du développement du logiciel : nouvelles fonctionnalités et corrections de bugs ... Comme de gros efforts ont été fait pour faciliter la compilation depuis le source | le => suggestions : ['la']
