
30 Mot inconnu : xx [[25:27]] => ====== Sur la version 20.xx pour les fonts "ttf"====== <|> xx
30 Guillemets typographiques ouvrants. [[43:44]] => ====== Sur la version 20.xx pour les fonts "ttf"====== <|> " => suggestions : « “
30 Mot inconnu : ttf [[44:47]] => ====== Sur la version 20.xx pour les fonts "ttf"====== <|> ttf
30 Guillemets typographiques fermants. [[47:48]] => ====== Sur la version 20.xx pour les fonts "ttf"====== <|> " => suggestions :  »”

31 Mot inconnu : vout [[3:7]] => Il vout suffit de télécharger la police concernée et de cliquer dessus pour l'installer. <|> vout

35 Mot inconnu : FontInstall [[29:40]] => ==== Installateur de polices FontInstall ==== <|> fontinstall

41 Mot inconnu : fontInstall [[28:39]] => <note important>Sur le site fontInstall, le paquet dépend de Gambas2, donc à partir d'Ubuntu 14.04, on fait comment ? <|> fontinstall
41 Mot inconnu : Gambas2 [[61:68]] => <note important>Sur le site fontInstall, le paquet dépend de Gambas2, donc à partir d'Ubuntu 14.04, on fait comment ? <|> gambas2

60 Typographie : points de suspension. Utilisez le caractère dédié. [[91:94]] => <note warning>Parmi ces paquets figurent des polices complexes (arabes, chinoises, mongoles...) **qui ne seront pas utiles pour la plupart d'entre nous**.</note> <|> ... => suggestions : …

72 Mot inconnu : ttf [[43:46]] => ===== Installation de fichiers de polices (ttf ou autre) ===== <|> ttf

82 Mot inconnu : FontViewer [[158:168]] => Vous pouvez installer de nouvelles polices de caractères simplement **en double cliquant sur la police**. Pour certaines polices, vous pouvez les ouvrir avec FontViewer (gnome-font-viewer) puis cliquer le bouton //Installer//. <|> fontviewer
82 Mot inconnu : gnome-font-viewer [[170:187]] => Vous pouvez installer de nouvelles polices de caractères simplement **en double cliquant sur la police**. Pour certaines polices, vous pouvez les ouvrir avec FontViewer (gnome-font-viewer) puis cliquer le bouton //Installer//. <|> gnome-font-viewer

86 Mot inconnu : share [[58:63]] => Placez les polices souhaitées dans le répertoire **.local/share/fonts** de votre dossier personnel. (si le répertoire **.local/share/fonts** n'existe pas dans votre Dossier personnel, créez le). Pour être certain qu'elles soient bien prises en compte, entrer la commande suivante, qui rechargera le cache des polices utilisateur : <|> share
86 Mot inconnu : share [[127:132]] => Placez les polices souhaitées dans le répertoire **.local/share/fonts** de votre dossier personnel. (si le répertoire **.local/share/fonts** n'existe pas dans votre Dossier personnel, créez le). Pour être certain qu'elles soient bien prises en compte, entrer la commande suivante, qui rechargera le cache des polices utilisateur : <|> share
86 S’il s’agit d’un impératif, mettez un trait d’union. [[184:192]] => Placez les polices souhaitées dans le répertoire **.local/share/fonts** de votre dossier personnel. (si le répertoire **.local/share/fonts** n'existe pas dans votre Dossier personnel, créez le). Pour être certain qu'elles soient bien prises en compte, entrer la commande suivante, qui rechargera le cache des polices utilisateur : <|> créez le => suggestions : créez-le

96 Une de ces ponctuations est superflue. [[0:2]] => :!: Si, après redémarrage (ou rechargement), les caractères s'affichent mal (écran de connexion au système, par exemple), il s'agit très vraisemblablement d'une question de droits d'accès aux fichiers. Pour corriger cela : <|> :! => suggestions : !:

102 Mot inconnu : dual-boot [[43:52]] => ==== Partager des polices avec Windows (si dual-boot) === <|> dual-boot

104 Guillemets typographiques ouvrants. [[121:122]] => Autre méthode, si vous avez beaucoup de polices, vous pouvez utiliser des liens symboliques, ce qui simule qu'un dossier "windows" dans le dossier de polices contient toutes les polices de Windows, alors qu'il se contente de renvoyer vers le dossier où ces polices sont réellement stockées (un peu comme un lien, mais en totalement transparent) : <|> " => suggestions : « “
104 Guillemets typographiques fermants. [[129:130]] => Autre méthode, si vous avez beaucoup de polices, vous pouvez utiliser des liens symboliques, ce qui simule qu'un dossier "windows" dans le dossier de polices contient toutes les polices de Windows, alors qu'il se contente de renvoyer vers le dossier où ces polices sont réellement stockées (un peu comme un lien, mais en totalement transparent) : <|> " => suggestions :  »”

108 Guillemets typographiques ouvrants. [[3:4]] => Où "nom_du_disque" est le nom que vous avez donné au disque où Windows est installé (icône sur le bureau). <|> " => suggestions : « “
108 Mot inconnu : nom_du_disque [[4:17]] => Où "nom_du_disque" est le nom que vous avez donné au disque où Windows est installé (icône sur le bureau). <|> nom_du_disque
108 Guillemets typographiques fermants. [[17:18]] => Où "nom_du_disque" est le nom que vous avez donné au disque où Windows est installé (icône sur le bureau). <|> " => suggestions :  »”

115 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:4]] => pour que tous les programmes prennent en compte les nouvelles polices. Ça peut être assez long selon les capacités de votre ordinateur et du nombre de polices que vous avez (plusieurs minutes pour 1500 polices chez moi). <|> pour => suggestions : Pour

117 Mot inconnu : NB [[0:2]] => NB : ne pas oublier éventuellement de donner les droits suffisants de lecture et exécution (commande chmod) sur les polices ainsi installées, sinon le système ne les "verra" pas. <|> nb
117 Guillemets typographiques ouvrants. [[166:167]] => NB : ne pas oublier éventuellement de donner les droits suffisants de lecture et exécution (commande chmod) sur les polices ainsi installées, sinon le système ne les "verra" pas. <|> " => suggestions : « “
117 Guillemets typographiques fermants. [[172:173]] => NB : ne pas oublier éventuellement de donner les droits suffisants de lecture et exécution (commande chmod) sur les polices ainsi installées, sinon le système ne les "verra" pas. <|> " => suggestions :  »”

