
5 Mot inconnu : Irrlicht [[6:14]] => ======Irrlicht : moteur 3D libre====== <|> irrlicht

9 Mot inconnu : zlib [[43:47]] => Il s'agit d'un logiciel libre sous licence zlib. Son utilisation est libre, y compris pour des programmes à vocation commerciale. Il existe déjà plusieurs forks du projet, dans le but d'accélérer la correction des bugs ou l'ajout de nouveautés. <|> zlib
11 Mot inconnu : Direct3D [[38:46]] => Ce moteur supporte aussi bien OpenGL, Direct3D que son propre rendu logiciel; ainsi qu'un nouveau rendu, plus rapide (Apfelbaum rendering, du nom de son auteur). <|> direct3d
11 Mot inconnu : Apfelbaum [[118:127]] => Ce moteur supporte aussi bien OpenGL, Direct3D que son propre rendu logiciel; ainsi qu'un nouveau rendu, plus rapide (Apfelbaum rendering, du nom de son auteur). <|> apfelbaum
11 Mot inconnu : rendering [[128:137]] => Ce moteur supporte aussi bien OpenGL, Direct3D que son propre rendu logiciel; ainsi qu'un nouveau rendu, plus rapide (Apfelbaum rendering, du nom de son auteur). <|> rendering

30 Mot inconnu : Editeur [[4:11]] => ====Editeur IrrEdit==== <|> editeur
30 Mot inconnu : IrrEdit [[12:19]] => ====Editeur IrrEdit==== <|> irredit
32 Mot inconnu : irrXML [[18:24]] => ====Parseur Xml : irrXML==== <|> irrxml
34 Mot inconnu : irrKlang [[21:29]] => ====Système de son : irrKlang==== <|> irrklang

37 Mot inconnu : Irrkit [[4:10]] => ====Irrkit==== <|> irrkit
