
5 Mot inconnu : UUID => ====== UUID et label ====== | uuid

7 Mot inconnu : UUID => ===== Qu'est-ce que l'UUID ? (**Universal Unique IDentifier**, Identifiant Universel Unique) ===== | uuid
7 Mot inconnu : Universal => ===== Qu'est-ce que l'UUID ? (**Universal Unique IDentifier**, Identifiant Universel Unique) ===== | universal
7 Mot inconnu : IDentifier => ===== Qu'est-ce que l'UUID ? (**Universal Unique IDentifier**, Identifiant Universel Unique) ===== | identifier

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

11 Mot inconnu : UUID => Le chiffre de l'UUID est calculé automatiquement  au moyen d'un algorithme intégrant notamment certaines données de l'ordinateur hôte, au moment de la création ou du formatage de la partition ou de la table des partitions. | uuid
11 Espace(s) surnuméraire(s) à supprimer. => Le chiffre de l'UUID est calculé automatiquement  au moyen d'un algorithme intégrant notamment certaines données de l'ordinateur hôte, au moment de la création ou du formatage de la partition ou de la table des partitions. |    => suggestions : [' ']

17 Mot inconnu : UUID => ===== À quoi va me servir l'UUID ? ===== | uuid

18 Mot inconnu : UUIDs => Les UUIDs se retrouvent notamment dans deux fichiers de configuration :  | uuids
18 Espace(s) en fin de ligne à supprimer. => Les UUIDs se retrouvent notamment dans deux fichiers de configuration :  |   => suggestions : ['']

22 Mot inconnu : UUID => À chaque formatage d'une partition, un nouvel UUID lui est attribué, il est alors parfois nécessaire de modifier ces fichiers. | uuid

24 Mot inconnu : UUID => <note tip>Dans les fichiers de configuration, vous trouverez les UUID écrits de la façon suivante : | uuid

25 Mot inconnu : UUID => **UUID=0c22e844-4ecb-48d4-a3c3-f083ddb1df3b**. | uuid
25 Mot inconnu : c22e844-4ecb-48d4-a3c3-f083ddb1df3b => **UUID=0c22e844-4ecb-48d4-a3c3-f083ddb1df3b**. | c22e844-4ecb-48d4-a3c3-f083ddb1df3b

26 Espace(s) surnuméraire(s) à supprimer. => mais on pourra  trouver aussi la forme |    => suggestions : [' ']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  **UUID=079B6B49295F7AD1**</note> |   => suggestions : ['']
27 Mot inconnu : UUID =>  **UUID=079B6B49295F7AD1**</note> | uuid
27 Mot inconnu : B6B49295F7AD1 =>  **UUID=079B6B49295F7AD1**</note> | b6b49295f7ad1

30 Mot inconnu : UUID => ===== Comment connaître l'UUID ? ===== | uuid
43 Mot inconnu : UUID => /dev/sda1: UUID="8bf33340-e94c-4c4c-981d-35e73f8bc65c" TYPE="ext4"  | uuid
43 Guillemets typographiques ouvrants. => /dev/sda1: UUID="8bf33340-e94c-4c4c-981d-35e73f8bc65c" TYPE="ext4"  | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : bf33340-e94c-4c4c-981d-35e73f8bc65c => /dev/sda1: UUID="8bf33340-e94c-4c4c-981d-35e73f8bc65c" TYPE="ext4"  | bf33340-e94c-4c4c-981d-35e73f8bc65c
43 Guillemets typographiques fermants. => /dev/sda1: UUID="8bf33340-e94c-4c4c-981d-35e73f8bc65c" TYPE="ext4"  | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. => /dev/sda1: UUID="8bf33340-e94c-4c4c-981d-35e73f8bc65c" TYPE="ext4"  | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : ext4 => /dev/sda1: UUID="8bf33340-e94c-4c4c-981d-35e73f8bc65c" TYPE="ext4"  | ext4
43 Guillemets typographiques fermants. => /dev/sda1: UUID="8bf33340-e94c-4c4c-981d-35e73f8bc65c" TYPE="ext4"  | " => suggestions : ['\xa0»', '”']
43 Espace(s) en fin de ligne à supprimer. => /dev/sda1: UUID="8bf33340-e94c-4c4c-981d-35e73f8bc65c" TYPE="ext4"  |   => suggestions : ['']
44 Mot inconnu : UUID => /dev/sda2: UUID="ac56a704-260b-45f5-85ac-e1b451bb79bc" TYPE="swap"  | uuid
44 Guillemets typographiques ouvrants. => /dev/sda2: UUID="ac56a704-260b-45f5-85ac-e1b451bb79bc" TYPE="swap"  | " => suggestions : ['«\xa0', '“']
44 Mot inconnu : ac56a704-260b-45f5-85ac-e1b451bb79bc => /dev/sda2: UUID="ac56a704-260b-45f5-85ac-e1b451bb79bc" TYPE="swap"  | ac56a704-260b-45f5-85ac-e1b451bb79bc
44 Guillemets typographiques fermants. => /dev/sda2: UUID="ac56a704-260b-45f5-85ac-e1b451bb79bc" TYPE="swap"  | " => suggestions : ['\xa0»', '”']
44 Guillemets typographiques ouvrants. => /dev/sda2: UUID="ac56a704-260b-45f5-85ac-e1b451bb79bc" TYPE="swap"  | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => /dev/sda2: UUID="ac56a704-260b-45f5-85ac-e1b451bb79bc" TYPE="swap"  | " => suggestions : ['\xa0»', '”']
44 Espace(s) en fin de ligne à supprimer. => /dev/sda2: UUID="ac56a704-260b-45f5-85ac-e1b451bb79bc" TYPE="swap"  |   => suggestions : ['']
45 Guillemets typographiques ouvrants. => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | " => suggestions : ['\xa0»', '”']
45 Mot inconnu : UUID => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | uuid
45 Guillemets typographiques ouvrants. => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | " => suggestions : ['«\xa0', '“']
45 Mot inconnu : a-5cce-49ad-8b93-a92b5d2e53a0 => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | a-5cce-49ad-8b93-a92b5d2e53a0
45 Guillemets typographiques fermants. => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | " => suggestions : ['\xa0»', '”']
45 Guillemets typographiques ouvrants. => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | " => suggestions : ['«\xa0', '“']
45 Mot inconnu : ext4 => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | ext4
45 Guillemets typographiques fermants. => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  | " => suggestions : ['\xa0»', '”']
45 Espace(s) en fin de ligne à supprimer. => /dev/sda3: LABEL="Home" UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"  |   => suggestions : ['']
46 Mot inconnu : UUID => /dev/sda4: UUID="DCF041AFF0419126" TYPE="ntfs"  | uuid
46 Guillemets typographiques ouvrants. => /dev/sda4: UUID="DCF041AFF0419126" TYPE="ntfs"  | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : DCF041AFF0419126 => /dev/sda4: UUID="DCF041AFF0419126" TYPE="ntfs"  | dcf041aff0419126
46 Guillemets typographiques fermants. => /dev/sda4: UUID="DCF041AFF0419126" TYPE="ntfs"  | " => suggestions : ['\xa0»', '”']
46 Guillemets typographiques ouvrants. => /dev/sda4: UUID="DCF041AFF0419126" TYPE="ntfs"  | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : ntfs => /dev/sda4: UUID="DCF041AFF0419126" TYPE="ntfs"  | ntfs
46 Guillemets typographiques fermants. => /dev/sda4: UUID="DCF041AFF0419126" TYPE="ntfs"  | " => suggestions : ['\xa0»', '”']
