
5 Mot inconnu : Wine => ====== Wine et profils ====== | wine

10 Mot inconnu : WinePrefix => ===== WinePrefix ===== | wineprefix

13 Mot inconnu : WinePrefix => WinePrefix permet de définir un dossier de configuration différent pour wine (au lieu du « ~/.wine/ »). Ainsi donc, il faudra recréer un dossier « /drive_c/ » pour héberger un dossier « /windows/ ». | wineprefix
13 Mot inconnu : wine => WinePrefix permet de définir un dossier de configuration différent pour wine (au lieu du « ~/.wine/ »). Ainsi donc, il faudra recréer un dossier « /drive_c/ » pour héberger un dossier « /windows/ ». | wine
13 Mot inconnu : wine => WinePrefix permet de définir un dossier de configuration différent pour wine (au lieu du « ~/.wine/ »). Ainsi donc, il faudra recréer un dossier « /drive_c/ » pour héberger un dossier « /windows/ ». | wine
13 Mot inconnu : drive_c => WinePrefix permet de définir un dossier de configuration différent pour wine (au lieu du « ~/.wine/ »). Ainsi donc, il faudra recréer un dossier « /drive_c/ » pour héberger un dossier « /windows/ ». | drive_c

20 Mot inconnu : wine => Votre second dossier wine sera donc ".wine_2". | wine
20 Guillemets fermants. => Votre second dossier wine sera donc ".wine_2". |  " => suggestions : ['\xa0»', '”']
20 Mot inconnu : wine_2 => Votre second dossier wine sera donc ".wine_2". | wine_2
20 Guillemets typographiques fermants. => Votre second dossier wine sera donc ".wine_2". | " => suggestions : ['\xa0»', '”']

25 Mot inconnu : Winecfg => ===== Winecfg ===== | winecfg

29 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Ceci est censé être //la// méthode à utiliser. Malheureusement, à ce jour, la fonction est a moitié implémentée. En effet elle ne concerne que les onglets suivants : | a => suggestions : ['à']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Applications (Version de windows) |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bibliothèques (DLL, surclassages etc...) |    => suggestions : ['']
32 Mot inconnu : DLL =>   * Bibliothèques (DLL, surclassages etc...) | dll
32 Mot inconnu : surclassages =>   * Bibliothèques (DLL, surclassages etc...) | surclassages
32 Avant « etc. », il faut mettre une virgule. =>   * Bibliothèques (DLL, surclassages etc...) |  etc. => suggestions : [', etc.']
32 Un seul point après « etc. » =>   * Bibliothèques (DLL, surclassages etc...) | etc... => suggestions : ['etc.']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Affichage |    => suggestions : ['']

35 Mot inconnu : winecfg => Une fois **winecfg** lancé, vous avez la fenêtre ci-contre. Ajoutez votre « *.exe » à la liste, et définissez la version de Windows. | winecfg
35 Mot inconnu : exe => Une fois **winecfg** lancé, vous avez la fenêtre ci-contre. Ajoutez votre « *.exe » à la liste, et définissez la version de Windows. | exe

37 Mot inconnu : __Ajout => __Ajout de lecteur__ : pour moi, l'onglet "Lecteurs" fonctionne : on peut y définir des lecteurs Windows correspondant à des chemins Linux (je n'ai pas essayé toutes les options mais bon). Et merci pour la page :) | __ajout
37 Mot inconnu : lecteur__ => __Ajout de lecteur__ : pour moi, l'onglet "Lecteurs" fonctionne : on peut y définir des lecteurs Windows correspondant à des chemins Linux (je n'ai pas essayé toutes les options mais bon). Et merci pour la page :) | lecteur__
37 Guillemets typographiques ouvrants. => __Ajout de lecteur__ : pour moi, l'onglet "Lecteurs" fonctionne : on peut y définir des lecteurs Windows correspondant à des chemins Linux (je n'ai pas essayé toutes les options mais bon). Et merci pour la page :) | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => __Ajout de lecteur__ : pour moi, l'onglet "Lecteurs" fonctionne : on peut y définir des lecteurs Windows correspondant à des chemins Linux (je n'ai pas essayé toutes les options mais bon). Et merci pour la page :) | " => suggestions : ['\xa0»', '”']
40 Mot inconnu : wine => Dans le dossier « /.wine/ », le fichier « user.reg » nous donne : | wine
40 Il manque un espace. => Dans le dossier « /.wine/ », le fichier « user.reg » nous donne : | reg => suggestions : [' reg']

47 Mot inconnu : wine => Et si on lance **wine regedit**, alors on trouvera des choses de changée dans « HKEY_CURRENT_USER\Software\Wine\ » puis « AppDefaults\ ». | wine
47 Mot inconnu : regedit => Et si on lance **wine regedit**, alors on trouvera des choses de changée dans « HKEY_CURRENT_USER\Software\Wine\ » puis « AppDefaults\ ». | regedit
47 Le verbe devrait être à l’infinitif. => Et si on lance **wine regedit**, alors on trouvera des choses de changée dans « HKEY_CURRENT_USER\Software\Wine\ » puis « AppDefaults\ ». | changée => suggestions : ['changer']
47 Mot inconnu : HKEY_CURRENT_USER => Et si on lance **wine regedit**, alors on trouvera des choses de changée dans « HKEY_CURRENT_USER\Software\Wine\ » puis « AppDefaults\ ». | hkey_current_user
47 Mot inconnu : Wine => Et si on lance **wine regedit**, alors on trouvera des choses de changée dans « HKEY_CURRENT_USER\Software\Wine\ » puis « AppDefaults\ ». | wine
47 Mot inconnu : AppDefaults => Et si on lance **wine regedit**, alors on trouvera des choses de changée dans « HKEY_CURRENT_USER\Software\Wine\ » puis « AppDefaults\ ». | appdefaults
