
5 Mot inconnu : CamicriCube [[7:18]] => ====== CamicriCube ====== <|> camicricube

22 Mot inconnu : cube-linux [[112:122]] => Déplacez-vous jusqu'au dossier **cube** précédemment décompressé. Sous Ubuntu double-cliquez sur l'exécutable **cube-linux**. Choisissez //Lancer//. <|> cube-linux

27 Mot inconnu : Create [[80:86]] => Lorsque cette fenêtre s'affiche, entrez le nom de votre projet et cliquez sur **Create**: <|> create

31 Accord de nombre erroné : « paquet » devrait être au pluriel. [[74:80]] => Une nouvelle fenêtre s'ouvre qui vous propose de télécharger la liste des paquet, choisissez **Cancel** et à nouveau **No** puisque vous n'avez pas d'accès à internet. <|> paquet => suggestions : ['paquets']

35 Accord de nombre erroné : « champs » est au pluriel. [[128:130]] => Maintenant rendez-vous sur un ordinateur avec une connexion internet. Lancez à nouveau **Cube** et choisissez votre projet dans le champs **Open existing project**. Cette fois-ci si on vous propose de télécharger la liste des paquets, acceptez. <|> le => suggestions : ['les']
35 Accord de nombre erroné : « champs » devrait être au singulier. [[131:137]] => Maintenant rendez-vous sur un ordinateur avec une connexion internet. Lancez à nouveau **Cube** et choisissez votre projet dans le champs **Open existing project**. Cette fois-ci si on vous propose de télécharger la liste des paquets, acceptez. <|> champs => suggestions : ['champ']
35 Mot inconnu : existing [[145:153]] => Maintenant rendez-vous sur un ordinateur avec une connexion internet. Lancez à nouveau **Cube** et choisissez votre projet dans le champs **Open existing project**. Cette fois-ci si on vous propose de télécharger la liste des paquets, acceptez. <|> existing
35 Mot inconnu : project [[154:161]] => Maintenant rendez-vous sur un ordinateur avec une connexion internet. Lancez à nouveau **Cube** et choisissez votre projet dans le champs **Open existing project**. Cette fois-ci si on vous propose de télécharger la liste des paquets, acceptez. <|> project

39 Accord de genre erroné : « recherche » est féminin. [[128:130]] => Cube va chercher les mise-à-jour pour tous vos logiciels installés sur votre ordinateur hors-ligne. Vous pouvez également faire un recherche pour télécharger de nouveaux paquets. <|> un => suggestions : ['une']
39 Accord de genre erroné : « un » est un déterminant masculin. [[131:140]] => Cube va chercher les mise-à-jour pour tous vos logiciels installés sur votre ordinateur hors-ligne. Vous pouvez également faire un recherche pour télécharger de nouveaux paquets. <|> recherche => suggestions : ['recherché']

40 Mot inconnu : Download [[41:49]] => Il ne vous reste plus qu'à cliquer sur **Download All Marked**, pour télécharger les mise-à-jour et les paquets choisis. <|> download
40 Mot inconnu : All [[50:53]] => Il ne vous reste plus qu'à cliquer sur **Download All Marked**, pour télécharger les mise-à-jour et les paquets choisis. <|> all
40 Mot inconnu : Marked [[54:60]] => Il ne vous reste plus qu'à cliquer sur **Download All Marked**, pour télécharger les mise-à-jour et les paquets choisis. <|> marked

44 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. [[92:93]] => Ouvrez à nouveau **Cube** répondez **Yes** aux diverses questions. Il ne vous reste plus qu'à cliquez sur **Downloaded** pour voir les paquets et mise-à-jour disponibles, puis sur **Mark All downloaded**. <|> à => suggestions : ['a']
44 Incohérence : “à” est une préposition. “cliquez” est un verbe conjugué. [[94:101]] => Ouvrez à nouveau **Cube** répondez **Yes** aux diverses questions. Il ne vous reste plus qu'à cliquez sur **Downloaded** pour voir les paquets et mise-à-jour disponibles, puis sur **Mark All downloaded**. <|> cliquez => suggestions : []
44 Mot inconnu : Downloaded [[108:118]] => Ouvrez à nouveau **Cube** répondez **Yes** aux diverses questions. Il ne vous reste plus qu'à cliquez sur **Downloaded** pour voir les paquets et mise-à-jour disponibles, puis sur **Mark All downloaded**. <|> downloaded
44 Mot inconnu : All [[187:190]] => Ouvrez à nouveau **Cube** répondez **Yes** aux diverses questions. Il ne vous reste plus qu'à cliquez sur **Downloaded** pour voir les paquets et mise-à-jour disponibles, puis sur **Mark All downloaded**. <|> all
44 Mot inconnu : downloaded [[191:201]] => Ouvrez à nouveau **Cube** répondez **Yes** aux diverses questions. Il ne vous reste plus qu'à cliquez sur **Downloaded** pour voir les paquets et mise-à-jour disponibles, puis sur **Mark All downloaded**. <|> downloaded

45 Mot inconnu : Install [[27:34]] => Terminez en cliquant sur **Install All Marked**. <|> install
45 Mot inconnu : All [[35:38]] => Terminez en cliquant sur **Install All Marked**. <|> all
45 Mot inconnu : Marked [[39:45]] => Terminez en cliquant sur **Install All Marked**. <|> marked

50 Espace(s) en fin de ligne à supprimer. [[98:99]] => Pour supprimer cette application, il suffit de supprimer le dossier Cube décompressé précédemment.  <|>   => suggestions : ['']
