
5 Mot inconnu : Counter => ====== Serveur Counter Strike 1.6 ====== | counter

9 Mot inconnu : Counter => Cette page a pour but d'expliquer comment installer et configurer un serveur de jeu Counter Strike. | counter

16 Mot inconnu : HLDS => ====== Tuto expiré, HLDS n'est plus supporté au détriment de SteamCMD ====== | hlds
16 Mot inconnu : SteamCMD => ====== Tuto expiré, HLDS n'est plus supporté au détriment de SteamCMD ====== | steamcmd

20 Mot inconnu : Counter => Nous allons désormais installer notre serveur de jeu Counter Strike 1.6  LOL | counter
20 Espace(s) surnuméraire(s) à supprimer. => Nous allons désormais installer notre serveur de jeu Counter Strike 1.6  LOL |    => suggestions : [' ']

22 Conjugaison erronée. Accord avec “On”. Le verbe devrait être à la 3ᵉ personne du singulier. => On créé le répertoire qui sera réservé au serveur Counter Strike 1.6. | créé => suggestions : ['créa', 'crée', 'créait']
22 Mot inconnu : Counter => On créé le répertoire qui sera réservé au serveur Counter Strike 1.6. | counter

28 Forme interrogative ? Mettez un trait d’union. => Une fois cela fait, placez vous dans le dossier steam. | placez vous => suggestions : ['placez-vous']
28 Mot inconnu : steam => Une fois cela fait, placez vous dans le dossier steam. | steam
31 Mot inconnu : hldsupdatetool => Nous allons télécharger le fichier : "**hldsupdatetool.bin**" qui va nous permettre d'installer le serveur de jeu. | hldsupdatetool
31 Mot inconnu : bin => Nous allons télécharger le fichier : "**hldsupdatetool.bin**" qui va nous permettre d'installer le serveur de jeu. | bin

33 Mot inconnu : hldsupdatetool => une fois téléchargé, nous allons rendre le fichier "**hldsupdatetool.bin**" exécutable : | hldsupdatetool
33 Mot inconnu : bin => une fois téléchargé, nous allons rendre le fichier "**hldsupdatetool.bin**" exécutable : | bin
42 Mot inconnu : yes => Il va vous demander d'accepter et de taper la commande « yes », puis quelques informations ... Lorsque c'est fait, on met à jour Steam avec cette commande : | yes
42 Typographie : points de suspension. Utilisez le caractère dédié. => Il va vous demander d'accepter et de taper la commande « yes », puis quelques informations ... Lorsque c'est fait, on met à jour Steam avec cette commande : | ... => suggestions : ['…']
42 Mot inconnu : Steam => Il va vous demander d'accepter et de taper la commande « yes », puis quelques informations ... Lorsque c'est fait, on met à jour Steam avec cette commande : | steam

54 Typographie : points de suspension. Utilisez le caractère dédié. => Si vous avez des problèmes (le téléchargement ne se lance pas, message étrange...) : | ... => suggestions : ['…']

56 Espace(s) en fin de ligne à supprimer. => Vérifier l'adresse du serveur distant avec la commande  |   => suggestions : ['']

65 Mot inconnu : Counter => Nous allons ensuite installer le jeu désiré (pour nous ce sera Counter Strike 1.6) | counter

66 Pas d’espace avant une virgule. => Pour installer un autre jeu , remplacer dans la commande suivante, "cstrike" par le nom de cet autre jeu. Pour connaître la liste des jeux faites :  |  , => suggestions : [',']
66 Guillemets typographiques ouvrants. => Pour installer un autre jeu , remplacer dans la commande suivante, "cstrike" par le nom de cet autre jeu. Pour connaître la liste des jeux faites :  | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : cstrike => Pour installer un autre jeu , remplacer dans la commande suivante, "cstrike" par le nom de cet autre jeu. Pour connaître la liste des jeux faites :  | cstrike
66 Guillemets typographiques fermants. => Pour installer un autre jeu , remplacer dans la commande suivante, "cstrike" par le nom de cet autre jeu. Pour connaître la liste des jeux faites :  | " => suggestions : ['\xa0»', '”']
66 Espace(s) en fin de ligne à supprimer. => Pour installer un autre jeu , remplacer dans la commande suivante, "cstrike" par le nom de cet autre jeu. Pour connaître la liste des jeux faites :  |   => suggestions : ['']

68 Mot inconnu : Counter => Mais comme j'ai dit, nous allons installer Counter Strike 1.6, donc : | counter

71 Après “être”, le verbe ne devrait pas être à l’infinitif. => Lorsque le téléchargement est terminer vous aurez le message suivant : | terminer => suggestions : ['terminés', 'terminées', 'terminé', 'terminée']

74 Accord de nombre erroné : « fichier » devrait être au pluriel. => Nous allons créer les fichier que l'update oublie d'installer pour que l'installation soit propre ! | fichier => suggestions : ['fichiers']
74 Mot inconnu : update => Nous allons créer les fichier que l'update oublie d'installer pour que l'installation soit propre ! | update

80 Guillemets typographiques ouvrants. => Nous allons nous placer dans le dossier "cstrike" | " => suggestions : ['«\xa0', '“']
80 Mot inconnu : cstrike => Nous allons nous placer dans le dossier "cstrike" | cstrike
80 Guillemets typographiques fermants. => Nous allons nous placer dans le dossier "cstrike" | " => suggestions : ['\xa0»', '”']

88 Forme interrogative ? Mettez un trait d’union. => Placez vous dans le dossier steam : | placez vous => suggestions : ['Placez-vous']
88 Mot inconnu : steam => Placez vous dans le dossier steam : | steam

96 Mot inconnu : root => Je vous conseille de lancer votre serveur avec un autre utilisateur que le root ! pour des raison de sécurité ... | root
96 Accord de nombre erroné : « raison » devrait être au pluriel. => Je vous conseille de lancer votre serveur avec un autre utilisateur que le root ! pour des raison de sécurité ... | raison => suggestions : ['raisons']
96 Typographie : points de suspension. Utilisez le caractère dédié. => Je vous conseille de lancer votre serveur avec un autre utilisateur que le root ! pour des raison de sécurité ... | ... => suggestions : ['…']
