
6 Mot inconnu : JDownloader => ====== JDownloader ====== | jdownloader

10 Mot inconnu : Rolls => C'est la Rolls du téléchargement ! | rolls

12 Mot inconnu : JDownloader => JDownloader permet l'ajout des liens automatiquement - il suffit de les copier, par exemple dans Firefox ou ailleurs - et ils se rajouteront dans JDownloader puis il faudra activer les paquets. | jdownloader
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => JDownloader permet l'ajout des liens automatiquement - il suffit de les copier, par exemple dans Firefox ou ailleurs - et ils se rajouteront dans JDownloader puis il faudra activer les paquets. |  -  => suggestions : [' – ', ' — ', ' − ']
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => JDownloader permet l'ajout des liens automatiquement - il suffit de les copier, par exemple dans Firefox ou ailleurs - et ils se rajouteront dans JDownloader puis il faudra activer les paquets. |  -  => suggestions : [' – ', ' — ', ' − ']
12 Mot inconnu : JDownloader => JDownloader permet l'ajout des liens automatiquement - il suffit de les copier, par exemple dans Firefox ou ailleurs - et ils se rajouteront dans JDownloader puis il faudra activer les paquets. | jdownloader

14 Mot inconnu : JDownloader => JDownloader est un logiciel open source en java - maintenant très robuste, optimisé - et avec des options, des plugins, des thèmes. Vous pouvez basculer de Windows à Linux et le réutiliser en gardant vos liens. | jdownloader
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => JDownloader est un logiciel open source en java - maintenant très robuste, optimisé - et avec des options, des plugins, des thèmes. Vous pouvez basculer de Windows à Linux et le réutiliser en gardant vos liens. |  -  => suggestions : [' – ', ' — ', ' − ']
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => JDownloader est un logiciel open source en java - maintenant très robuste, optimisé - et avec des options, des plugins, des thèmes. Vous pouvez basculer de Windows à Linux et le réutiliser en gardant vos liens. |  -  => suggestions : [' – ', ' — ', ' − ']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Plate-forme indépendante. (Windows, Linux, Mac, ..) |    => suggestions : ['']
16 Une de ces ponctuations est superflue. =>   * Plate-forme indépendante. (Windows, Linux, Mac, ..) | , . => suggestions : [',', '.']
16 Typographie : un ou trois points ? =>   * Plate-forme indépendante. (Windows, Linux, Mac, ..) | .. => suggestions : ['…', '.']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tourne sur Java, |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Totalement Libre (GPL) |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Support 24h/24 |    => suggestions : ['']
19 Avec une unité de mesure, mettez un espace insécable. =>   * Support 24h/24 | 24h => suggestions : ['24\xa0h']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Télécharger plusieurs fichiers en même temps   |    => suggestions : ['']
20 Espace(s) en fin de ligne à supprimer. =>   * Télécharger plusieurs fichiers en même temps   |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Télécharger avec des connexions multiples |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * JD possède un puissant OCR (JAntiCaptcha) |    => suggestions : ['']
22 Mot inconnu : JD =>   * JD possède un puissant OCR (JAntiCaptcha) | jd
22 Mot inconnu : OCR =>   * JD possède un puissant OCR (JAntiCaptcha) | ocr
22 Mot inconnu : JAntiCaptcha =>   * JD possède un puissant OCR (JAntiCaptcha) | janticaptcha

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Décrypte les conteneurs RSDF, CCF and DLC |    => suggestions : ['']
23 Mot inconnu : RSDF =>   * Décrypte les conteneurs RSDF, CCF and DLC | rsdf
23 Mot inconnu : CCF =>   * Décrypte les conteneurs RSDF, CCF and DLC | ccf
23 Mot inconnu : and =>   * Décrypte les conteneurs RSDF, CCF and DLC | and
23 Mot inconnu : DLC =>   * Décrypte les conteneurs RSDF, CCF and DLC | dlc

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Décrypte les plugins pour de nombreux services. Exemple : sj.org, UCMS, WordPress, RLSLog…. |    => suggestions : ['']
24 Mot inconnu : sj =>   * Décrypte les plugins pour de nombreux services. Exemple : sj.org, UCMS, WordPress, RLSLog…. | sj
24 Mot inconnu : UCMS =>   * Décrypte les plugins pour de nombreux services. Exemple : sj.org, UCMS, WordPress, RLSLog…. | ucms
24 Mot inconnu : WordPress =>   * Décrypte les plugins pour de nombreux services. Exemple : sj.org, UCMS, WordPress, RLSLog…. | wordpress
24 Mot inconnu : RLSLog =>   * Décrypte les plugins pour de nombreux services. Exemple : sj.org, UCMS, WordPress, RLSLog…. | rlslog
24 Point(s) superflu(s). =>   * Décrypte les plugins pour de nombreux services. Exemple : sj.org, UCMS, WordPress, RLSLog…. | …. => suggestions : ['…']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Téléchargement depuis Youtube, Vimeo, Clipfish video et Mp3 |    => suggestions : ['']
25 Mot inconnu : Youtube =>   * Téléchargement depuis Youtube, Vimeo, Clipfish video et Mp3 | youtube
25 Mot inconnu : Vimeo =>   * Téléchargement depuis Youtube, Vimeo, Clipfish video et Mp3 | vimeo
25 Mot inconnu : Clipfish =>   * Téléchargement depuis Youtube, Vimeo, Clipfish video et Mp3 | clipfish
25 Mot inconnu : video =>   * Téléchargement depuis Youtube, Vimeo, Clipfish video et Mp3 | video

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Extracteur automatique (inclus liste de recherche de mot de passe) (archives RAR) |    => suggestions : ['']
26 Mot inconnu : RAR =>   * Extracteur automatique (inclus liste de recherche de mot de passe) (archives RAR) | rar

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Support thématique |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Multilingue |    => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Environ 110 hébergeurs et plus de 300 plugins de décryptage |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Reconnexion avec JDLiveHeaderScripts: (1400 routers supportés) |    => suggestions : ['']
30 Mot inconnu : JDLiveHeaderScripts =>   * Reconnexion avec JDLiveHeaderScripts: (1400 routers supportés) | jdliveheaderscripts
