
5 Mot inconnu : Cntlm => ====== Proxy Authentifiant Cntlm  ====== | cntlm
5 Espace(s) surnuméraire(s) à supprimer. => ====== Proxy Authentifiant Cntlm  ====== |    => suggestions : [' ']

7 Mot inconnu : NTLM => Le proxy NTLM permet d'utiliser les applications fonctionnant derrière un proxy http standard, au sein d'un environnement Microsoft authentifié en NTLM. | ntlm
7 Mot inconnu : NTLM => Le proxy NTLM permet d'utiliser les applications fonctionnant derrière un proxy http standard, au sein d'un environnement Microsoft authentifié en NTLM. | ntlm

10 Mot inconnu : motdepasse => Le proxy de Microsoft ne reconnaît pas l'authentification par compte/motdepasse décrite dans la documentation de paramétrage APT. Sans un proxy qui s'authentifie en NTLM, il vous sera impossible d'installer une distribution qui ait accès aux dépots Ubuntu. | motdepasse
10 Mot inconnu : NTLM => Le proxy de Microsoft ne reconnaît pas l'authentification par compte/motdepasse décrite dans la documentation de paramétrage APT. Sans un proxy qui s'authentifie en NTLM, il vous sera impossible d'installer une distribution qui ait accès aux dépots Ubuntu. | ntlm
10 Mot inconnu : dépots => Le proxy de Microsoft ne reconnaît pas l'authentification par compte/motdepasse décrite dans la documentation de paramétrage APT. Sans un proxy qui s'authentifie en NTLM, il vous sera impossible d'installer une distribution qui ait accès aux dépots Ubuntu. | dépots

13 Mot inconnu : cntlm => L'installation et la configuration du proxy cntlm sont des opérations assez simples qui permettent facilement de sortir de cette impasse. | cntlm

41 Mot inconnu : localhost => Paramétrer le système ou les applications pour utiliser un proxy http sur l'adresse localhost, et le port 3128 (par défaut. | localhost
43 Mot inconnu : apt-get => Exemple avec apt [[apt-get#utiliser_un_proxy|ici]]. | apt-get
