
3 Mot inconnu : OSX [[33:36]] => ======Installation d'Ubuntu avec OSX sur un Macbook====== <|> osx
3 Mot inconnu : Macbook [[44:51]] => ======Installation d'Ubuntu avec OSX sur un Macbook====== <|> macbook

9 Mot inconnu : __NOTE [[0:6]] => __NOTE :__ J'ai réalisé ce Dual Boot avec un Mac Mini test de dual boot sur un MacBook AIR de 2013 et Ubuntu 15.04 OK <|> __note
9 Mot inconnu : __ [[8:10]] => __NOTE :__ J'ai réalisé ce Dual Boot avec un Mac Mini test de dual boot sur un MacBook AIR de 2013 et Ubuntu 15.04 OK <|> __
9 Mot inconnu : Boot [[32:36]] => __NOTE :__ J'ai réalisé ce Dual Boot avec un Mac Mini test de dual boot sur un MacBook AIR de 2013 et Ubuntu 15.04 OK <|> boot
9 Mot inconnu : boot [[67:71]] => __NOTE :__ J'ai réalisé ce Dual Boot avec un Mac Mini test de dual boot sur un MacBook AIR de 2013 et Ubuntu 15.04 OK <|> boot
9 Mot inconnu : MacBook [[79:86]] => __NOTE :__ J'ai réalisé ce Dual Boot avec un Mac Mini test de dual boot sur un MacBook AIR de 2013 et Ubuntu 15.04 OK <|> macbook
13 Guillemets typographiques ouvrants. [[7:8]] =>   * Un "MacIntel" avec Mac OS X installé. <|> " => suggestions : ['«\xa0', '“']
13 Mot inconnu : MacIntel [[8:16]] =>   * Un "MacIntel" avec Mac OS X installé. <|> macintel
13 Guillemets typographiques fermants. [[16:17]] =>   * Un "MacIntel" avec Mac OS X installé. <|> " => suggestions : ['\xa0»', '”']
16 Mot inconnu : i386 [[17:21]] =>   * Un CD Ubuntu i386 (ou x64 si Core 2 Duo). <|> i386
16 Mot inconnu : x64 [[26:29]] =>   * Un CD Ubuntu i386 (ou x64 si Core 2 Duo). <|> x64
16 Mot inconnu : Core [[33:37]] =>   * Un CD Ubuntu i386 (ou x64 si Core 2 Duo). <|> core
16 Accord de nombre erroné avec « 2 » : « Duo » devrait être au pluriel. [[40:43]] =>   * Un CD Ubuntu i386 (ou x64 si Core 2 Duo). <|> duo => suggestions : ['Duos']

21 Mot inconnu : bootable [[21:29]] => ===== Obtenir son CD bootable d'Ubuntu ===== <|> bootable

25 Mot inconnu : Boot [[39:43]] => ==== Téléchargement et installation de Boot Camp ==== <|> boot

27 Mot inconnu : Boot [[0:4]] => Boot Camp est un utilitaire d'Apple permettant: <|> boot
30 Mot inconnu : Boot [[4:8]] =>   * Boot Camp permet aussi de "simuler" un BIOS au démarrage de la machine et donc le boot d'OS tel que Ubuntu ou Windows. <|> boot
30 Guillemets typographiques ouvrants. [[30:31]] =>   * Boot Camp permet aussi de "simuler" un BIOS au démarrage de la machine et donc le boot d'OS tel que Ubuntu ou Windows. <|> " => suggestions : ['«\xa0', '“']
30 Guillemets typographiques fermants. [[38:39]] =>   * Boot Camp permet aussi de "simuler" un BIOS au démarrage de la machine et donc le boot d'OS tel que Ubuntu ou Windows. <|> " => suggestions : ['\xa0»', '”']
30 Mot inconnu : boot [[86:90]] =>   * Boot Camp permet aussi de "simuler" un BIOS au démarrage de la machine et donc le boot d'OS tel que Ubuntu ou Windows. <|> boot

35 Mot inconnu : Leopard [[14:21]] => Sous Mac OS X Leopard (10.5), BootCamp est déjà installé. <|> leopard
35 Mot inconnu : BootCamp [[30:38]] => Sous Mac OS X Leopard (10.5), BootCamp est déjà installé. <|> bootcamp

37 Mot inconnu : BootCamp [[7:15]] => Lancez BootCamp, vous allez redimensionner la partition Mac OS X et créer une seconde partition. <|> bootcamp

39 Mot inconnu : Boot [[0:4]] => Boot Camp vous propose de graver un CD de pilotes pour Windows. Vous pouvez sauter cette étape. <|> boot

43 Mot inconnu : Leopard [[14:21]] => Sous Mac OS X Leopard (10.5) les pilotes Windows sont présents sur le DVD d'installation. <|> leopard

46 Mot inconnu : rEFind [[21:27]] => ==== Installation de rEFind ==== <|> refind

52 Espace(s) en fin de ligne à supprimer. [[33:34]] => Commencez par éteindre votre Mac.  <|>   => suggestions : ['']

53 Mot inconnu : MacBook [[78:85]] => Insérez le CD d'installation d'Ubuntu dans votre lecteur CD, redémarrez votre MacBook. Au démarrage vous aurez le choix entre démarrer sur Mac OS X ou bien sur le CD Ubuntu. Choisissez bien entendu le deuxième. Si votre macbook ne démarre pas sur le CD, mais sur le disque dur, redémarrez à nouveau votre macbook, en appuyant sur la touche "C", avant l'apparition de la pomme, ou bien appuyez sur le bouton d'alimentation et sur la touche Alt/option pour démarrer en "Mode disque cible".  <|> macbook
53 Mot inconnu : macbook [[220:227]] => Insérez le CD d'installation d'Ubuntu dans votre lecteur CD, redémarrez votre MacBook. Au démarrage vous aurez le choix entre démarrer sur Mac OS X ou bien sur le CD Ubuntu. Choisissez bien entendu le deuxième. Si votre macbook ne démarre pas sur le CD, mais sur le disque dur, redémarrez à nouveau votre macbook, en appuyant sur la touche "C", avant l'apparition de la pomme, ou bien appuyez sur le bouton d'alimentation et sur la touche Alt/option pour démarrer en "Mode disque cible".  <|> macbook
53 Mot inconnu : macbook [[305:312]] => Insérez le CD d'installation d'Ubuntu dans votre lecteur CD, redémarrez votre MacBook. Au démarrage vous aurez le choix entre démarrer sur Mac OS X ou bien sur le CD Ubuntu. Choisissez bien entendu le deuxième. Si votre macbook ne démarre pas sur le CD, mais sur le disque dur, redémarrez à nouveau votre macbook, en appuyant sur la touche "C", avant l'apparition de la pomme, ou bien appuyez sur le bouton d'alimentation et sur la touche Alt/option pour démarrer en "Mode disque cible".  <|> macbook
53 Guillemets typographiques ouvrants. [[340:341]] => Insérez le CD d'installation d'Ubuntu dans votre lecteur CD, redémarrez votre MacBook. Au démarrage vous aurez le choix entre démarrer sur Mac OS X ou bien sur le CD Ubuntu. Choisissez bien entendu le deuxième. Si votre macbook ne démarre pas sur le CD, mais sur le disque dur, redémarrez à nouveau votre macbook, en appuyant sur la touche "C", avant l'apparition de la pomme, ou bien appuyez sur le bouton d'alimentation et sur la touche Alt/option pour démarrer en "Mode disque cible".  <|> " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques fermants. [[342:343]] => Insérez le CD d'installation d'Ubuntu dans votre lecteur CD, redémarrez votre MacBook. Au démarrage vous aurez le choix entre démarrer sur Mac OS X ou bien sur le CD Ubuntu. Choisissez bien entendu le deuxième. Si votre macbook ne démarre pas sur le CD, mais sur le disque dur, redémarrez à nouveau votre macbook, en appuyant sur la touche "C", avant l'apparition de la pomme, ou bien appuyez sur le bouton d'alimentation et sur la touche Alt/option pour démarrer en "Mode disque cible".  <|> " => suggestions : ['\xa0»', '”']
53 Guillemets typographiques ouvrants. [[467:468]] => Insérez le CD d'installation d'Ubuntu dans votre lecteur CD, redémarrez votre MacBook. Au démarrage vous aurez le choix entre démarrer sur Mac OS X ou bien sur le CD Ubuntu. Choisissez bien entendu le deuxième. Si votre macbook ne démarre pas sur le CD, mais sur le disque dur, redémarrez à nouveau votre macbook, en appuyant sur la touche "C", avant l'apparition de la pomme, ou bien appuyez sur le bouton d'alimentation et sur la touche Alt/option pour démarrer en "Mode disque cible".  <|> " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques fermants. [[485:486]] => Insérez le CD d'installation d'Ubuntu dans votre lecteur CD, redémarrez votre MacBook. Au démarrage vous aurez le choix entre démarrer sur Mac OS X ou bien sur le CD Ubuntu. Choisissez bien entendu le deuxième. Si votre macbook ne démarre pas sur le CD, mais sur le disque dur, redémarrez à nouveau votre macbook, en appuyant sur la touche "C", avant l'apparition de la pomme, ou bien appuyez sur le bouton d'alimentation et sur la touche Alt/option pour démarrer en "Mode disque cible".  <|> " => suggestions : ['\xa0»', '”']
