
4 Mot inconnu : Annex => ====== Annex : Conquer the World ====== | annex
4 Mot inconnu : Conquer => ====== Annex : Conquer the World ====== | conquer
4 Mot inconnu : the => ====== Annex : Conquer the World ====== | the
4 Mot inconnu : World => ====== Annex : Conquer the World ====== | world

6 Guillemets typographiques ouvrants. => "Annex : Conquérir le monde" est un [[RTS]] basé sur le moteur de MegaGlest. | " => suggestions : ['«\xa0', '“']
6 Mot inconnu : Annex => "Annex : Conquérir le monde" est un [[RTS]] basé sur le moteur de MegaGlest. | annex
6 Guillemets typographiques fermants. => "Annex : Conquérir le monde" est un [[RTS]] basé sur le moteur de MegaGlest. | " => suggestions : ['\xa0»', '”']
6 Mot inconnu : MegaGlest => "Annex : Conquérir le monde" est un [[RTS]] basé sur le moteur de MegaGlest. | megaglest
8 Mot inconnu : East => Incarnez l'une des deux factions: l'Alliance East Ocean ou l'Empire du Nord, alors qu'ils luttent pour la domination du Sud déchirée par la guerre de Wastelands, en utilisant un minéral précieux rouge.  | east
8 Mot inconnu : Ocean => Incarnez l'une des deux factions: l'Alliance East Ocean ou l'Empire du Nord, alors qu'ils luttent pour la domination du Sud déchirée par la guerre de Wastelands, en utilisant un minéral précieux rouge.  | ocean
8 Mot inconnu : Wastelands => Incarnez l'une des deux factions: l'Alliance East Ocean ou l'Empire du Nord, alors qu'ils luttent pour la domination du Sud déchirée par la guerre de Wastelands, en utilisant un minéral précieux rouge.  | wastelands
8 Espace(s) en fin de ligne à supprimer. => Incarnez l'une des deux factions: l'Alliance East Ocean ou l'Empire du Nord, alors qu'ils luttent pour la domination du Sud déchirée par la guerre de Wastelands, en utilisant un minéral précieux rouge.  |   => suggestions : ['']

10 Mot inconnu : mod => Le mod contiendra deux factions, une faction sous, les cartes originales, et tileset. Construit en utilisant l'open source RTS Glest, l'objectif du mod est le jeu multijoueur et les escarmouches solo. Actuellement, aucun des plans sont en place pour les campagnes ou en mode histoire, mais cela peut changer quand le jeu de base sera terminé. | mod
10 Mot inconnu : tileset => Le mod contiendra deux factions, une faction sous, les cartes originales, et tileset. Construit en utilisant l'open source RTS Glest, l'objectif du mod est le jeu multijoueur et les escarmouches solo. Actuellement, aucun des plans sont en place pour les campagnes ou en mode histoire, mais cela peut changer quand le jeu de base sera terminé. | tileset
10 Mot inconnu : Glest => Le mod contiendra deux factions, une faction sous, les cartes originales, et tileset. Construit en utilisant l'open source RTS Glest, l'objectif du mod est le jeu multijoueur et les escarmouches solo. Actuellement, aucun des plans sont en place pour les campagnes ou en mode histoire, mais cela peut changer quand le jeu de base sera terminé. | glest
10 Mot inconnu : mod => Le mod contiendra deux factions, une faction sous, les cartes originales, et tileset. Construit en utilisant l'open source RTS Glest, l'objectif du mod est le jeu multijoueur et les escarmouches solo. Actuellement, aucun des plans sont en place pour les campagnes ou en mode histoire, mais cela peut changer quand le jeu de base sera terminé. | mod

12 Mot inconnu : video => [[https://www.youtube.com/watch?feature=player_embedded&v=i4BuAVkELK4|Voir en video]] | video

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd le_dossier_du_jeu |    => suggestions : ['']
19 Mot inconnu : le_dossier_du_jeu =>   cd le_dossier_du_jeu | le_dossier_du_jeu

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x ./annex ./annex.bin |    => suggestions : ['']
20 Mot inconnu : chmod =>   chmod +x ./annex ./annex.bin | chmod
20 Mot inconnu : annex =>   chmod +x ./annex ./annex.bin | annex
20 Mot inconnu : annex =>   chmod +x ./annex ./annex.bin | annex
20 Mot inconnu : bin =>   chmod +x ./annex ./annex.bin | bin

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./annex |    => suggestions : ['']
21 Mot inconnu : annex =>   ./annex | annex
