
4 Mot inconnu : SMARTMONTOOLS => ====== SMARTMONTOOLS ====== | smartmontools

6 Mot inconnu : Smartmontools => Smartmontools est un paquet regroupant un ensemble d'outils basés sur la "technologie" __SMART__. Cette technologie est un protocole qui permet de suivre et contrôler l'état des disques durs **entiers**. | smartmontools
6 Guillemets typographiques ouvrants. => Smartmontools est un paquet regroupant un ensemble d'outils basés sur la "technologie" __SMART__. Cette technologie est un protocole qui permet de suivre et contrôler l'état des disques durs **entiers**. | " => suggestions : ['«\xa0', '“']
6 Guillemets typographiques fermants. => Smartmontools est un paquet regroupant un ensemble d'outils basés sur la "technologie" __SMART__. Cette technologie est un protocole qui permet de suivre et contrôler l'état des disques durs **entiers**. | " => suggestions : ['\xa0»', '”']
6 Mot inconnu : __SMART__ => Smartmontools est un paquet regroupant un ensemble d'outils basés sur la "technologie" __SMART__. Cette technologie est un protocole qui permet de suivre et contrôler l'état des disques durs **entiers**. | __smart__

13 Mot inconnu : daemon => En configurant correctement le daemon **smartd** (fichier __/etc/smartd.conf__, il est possible d'être prévenu automatiquement si des problèmes sont détectés. | daemon
13 Mot inconnu : smartd => En configurant correctement le daemon **smartd** (fichier __/etc/smartd.conf__, il est possible d'être prévenu automatiquement si des problèmes sont détectés. | smartd
13 Mot inconnu : __ => En configurant correctement le daemon **smartd** (fichier __/etc/smartd.conf__, il est possible d'être prévenu automatiquement si des problèmes sont détectés. | __
13 Il manque un espace. => En configurant correctement le daemon **smartd** (fichier __/etc/smartd.conf__, il est possible d'être prévenu automatiquement si des problèmes sont détectés. | conf => suggestions : [' conf']

15 Mot inconnu : Étonnament => //Étonnament, le paquet __smartmontools__ n'est pas installé par défaut et fait l'objet de relativement peu de publicité.// | étonnament
15 Mot inconnu : __smartmontools__ => //Étonnament, le paquet __smartmontools__ n'est pas installé par défaut et fait l'objet de relativement peu de publicité.// | __smartmontools__

16 Espace(s) en fin de ligne à supprimer. => </note>  |   => suggestions : ['']

35 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => <note important>Il est inutile de tester un SSD car les secteurs testés sont virtuels. Cela ne ferait que l'user de façon prématurée !</note> |  car => suggestions : [', car']

