
5 Mot inconnu : Ampache => ====== Ampache ====== | ampache
7 Il manque un trait d’union. Vous pouvez aussi souder les deux mots. => [[http://www.ampache.org/|Ampache]] est une plate forme de streaming audio basée sur une interface web. Elle permet de partager vos musiques ou d'y accéder depuis partout dans le monde. | plate forme => suggestions : ['plate-forme', 'plates-formes', 'plateforme', 'plateformes']

9 Mot inconnu : Ampache => Ampache permet de diffuser des fichiers OGG, MP3, WAV mais gère aussi les fichiers M4A, AAC et FLAC (par conversion) | ampache
9 Mot inconnu : AAC => Ampache permet de diffuser des fichiers OGG, MP3, WAV mais gère aussi les fichiers M4A, AAC et FLAC (par conversion) | aac

11 Mot inconnu : Ampache => L'interface est ergonomique et de nombreux thèmes sont disponibles, dont certains vraiment très sympathiques. De plus, Ampache gère les jaquettes. Cerise sur le gâteau, Ampache est entièrement traduit en français et gère les caractères spéciaux (accents, etc.) | ampache
11 Mot inconnu : Ampache => L'interface est ergonomique et de nombreux thèmes sont disponibles, dont certains vraiment très sympathiques. De plus, Ampache gère les jaquettes. Cerise sur le gâteau, Ampache est entièrement traduit en français et gère les caractères spéciaux (accents, etc.) | ampache
13 Espace(s) en fin de ligne à supprimer. => De quoi vous mettre en bouche :  |   => suggestions : ['']

27 Mot inconnu : Ampache => Ampache doit avoir la possibilité de lire tous les fichiers du catalogue (nous nommerons catalogue le dossier dans lequel est votre musique) et les droits lecture+exécution sur tous les dossiers. Si jamais vous avez des problèmes avec ampache "impossible de lire un fichier/dossier", vérifiez les permissions. | ampache
27 Accord de genre erroné avec « lecture ». => Ampache doit avoir la possibilité de lire tous les fichiers du catalogue (nous nommerons catalogue le dossier dans lequel est votre musique) et les droits lecture+exécution sur tous les dossiers. Si jamais vous avez des problèmes avec ampache "impossible de lire un fichier/dossier", vérifiez les permissions. | droits => suggestions : ['droites']
27 Accord de genre erroné entre « droits » et « lecture ». => Ampache doit avoir la possibilité de lire tous les fichiers du catalogue (nous nommerons catalogue le dossier dans lequel est votre musique) et les droits lecture+exécution sur tous les dossiers. Si jamais vous avez des problèmes avec ampache "impossible de lire un fichier/dossier", vérifiez les permissions. | lecture => suggestions : []
27 Mot inconnu : ampache => Ampache doit avoir la possibilité de lire tous les fichiers du catalogue (nous nommerons catalogue le dossier dans lequel est votre musique) et les droits lecture+exécution sur tous les dossiers. Si jamais vous avez des problèmes avec ampache "impossible de lire un fichier/dossier", vérifiez les permissions. | ampache
27 Guillemets typographiques ouvrants. => Ampache doit avoir la possibilité de lire tous les fichiers du catalogue (nous nommerons catalogue le dossier dans lequel est votre musique) et les droits lecture+exécution sur tous les dossiers. Si jamais vous avez des problèmes avec ampache "impossible de lire un fichier/dossier", vérifiez les permissions. | " => suggestions : ['«\xa0', '“']
27 Guillemets typographiques fermants. => Ampache doit avoir la possibilité de lire tous les fichiers du catalogue (nous nommerons catalogue le dossier dans lequel est votre musique) et les droits lecture+exécution sur tous les dossiers. Si jamais vous avez des problèmes avec ampache "impossible de lire un fichier/dossier", vérifiez les permissions. | " => suggestions : ['\xa0»', '”']
39 Mot inconnu : ampache => Tout d'abord, installez les paquets [[apt://ampache]] et [[apt://ampache-themes]]. | ampache
39 Mot inconnu : ampache-themes => Tout d'abord, installez les paquets [[apt://ampache]] et [[apt://ampache-themes]]. | ampache-themes

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nom de la base de donnée = ampache (defaut) |    => suggestions : ['']
55 Mot inconnu : ampache =>   * Nom de la base de donnée = ampache (defaut) | ampache
55 Mot inconnu : defaut =>   * Nom de la base de donnée = ampache (defaut) | defaut

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * MySQL Hostname = localhost (defaut) |    => suggestions : ['']
56 Mot inconnu : MySQL =>   * MySQL Hostname = localhost (defaut) | mysql
56 Mot inconnu : Hostname =>   * MySQL Hostname = localhost (defaut) | hostname
56 Mot inconnu : localhost =>   * MySQL Hostname = localhost (defaut) | localhost
56 Mot inconnu : defaut =>   * MySQL Hostname = localhost (defaut) | defaut

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * MySQL Administrative Username= 	root ou le nom d'utilisateur que vous avez créé avec les droits super utilisateur |    => suggestions : ['']
57 Mot inconnu : MySQL =>   * MySQL Administrative Username= 	root ou le nom d'utilisateur que vous avez créé avec les droits super utilisateur | mysql
57 Mot inconnu : Username =>   * MySQL Administrative Username= 	root ou le nom d'utilisateur que vous avez créé avec les droits super utilisateur | username
57 Incohérence : espace et tabulation. =>   * MySQL Administrative Username= 	root ou le nom d'utilisateur que vous avez créé avec les droits super utilisateur |  	 => suggestions : [' ', '\t']
57 Mot inconnu : root =>   * MySQL Administrative Username= 	root ou le nom d'utilisateur que vous avez créé avec les droits super utilisateur | root
57 Accord de nombre erroné avec « les droits super » : « utilisateur » devrait être au pluriel. =>   * MySQL Administrative Username= 	root ou le nom d'utilisateur que vous avez créé avec les droits super utilisateur | utilisateur => suggestions : ['utilisateurs']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * MySQL Administrative Password= 	votre mot de passe correspondant |    => suggestions : ['']
58 Mot inconnu : MySQL =>   * MySQL Administrative Password= 	votre mot de passe correspondant | mysql
58 Mot inconnu : Password =>   * MySQL Administrative Password= 	votre mot de passe correspondant | password
58 Incohérence : espace et tabulation. =>   * MySQL Administrative Password= 	votre mot de passe correspondant |  	 => suggestions : [' ', '\t']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Create Database User For New Database= 	cochez-le |    => suggestions : ['']
59 Mot inconnu : Create =>   * Create Database User For New Database= 	cochez-le | create
59 Mot inconnu : Database =>   * Create Database User For New Database= 	cochez-le | database
59 Mot inconnu : Database =>   * Create Database User For New Database= 	cochez-le | database
59 Incohérence : espace et tabulation. =>   * Create Database User For New Database= 	cochez-le |  	 => suggestions : [' ', '\t']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ampache Database Username=  ampache (defaut) |    => suggestions : ['']
60 Mot inconnu : Ampache =>   * Ampache Database Username=  ampache (defaut) | ampache
60 Mot inconnu : Database =>   * Ampache Database Username=  ampache (defaut) | database
60 Mot inconnu : Username =>   * Ampache Database Username=  ampache (defaut) | username
60 Mot inconnu : ampache =>   * Ampache Database Username=  ampache (defaut) | ampache
60 Mot inconnu : defaut =>   * Ampache Database Username=  ampache (defaut) | defaut

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ampache Database User Password= Mot de passe de votre choix |    => suggestions : ['']
61 Mot inconnu : Ampache =>   * Ampache Database User Password= Mot de passe de votre choix | ampache
61 Mot inconnu : Database =>   * Ampache Database User Password= Mot de passe de votre choix | database
61 Mot inconnu : Password =>   * Ampache Database User Password= Mot de passe de votre choix | password
63 Espace(s) en fin de ligne à supprimer. => Continuez :  |   => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Web Path= 	/ampache |    => suggestions : ['']
65 Mot inconnu : Path =>   * Web Path= 	/ampache | path
65 Incohérence : espace et tabulation. =>   * Web Path= 	/ampache |  	 => suggestions : [' ', '\t']
65 Mot inconnu : ampache =>   * Web Path= 	/ampache | ampache

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Desired Database Name= 	ampache (defaut) |    => suggestions : ['']
66 Mot inconnu : Desired =>   * Desired Database Name= 	ampache (defaut) | desired
66 Mot inconnu : Database =>   * Desired Database Name= 	ampache (defaut) | database
66 Mot inconnu : Name =>   * Desired Database Name= 	ampache (defaut) | name
66 Incohérence : espace et tabulation. =>   * Desired Database Name= 	ampache (defaut) |  	 => suggestions : [' ', '\t']
66 Mot inconnu : ampache =>   * Desired Database Name= 	ampache (defaut) | ampache
66 Mot inconnu : defaut =>   * Desired Database Name= 	ampache (defaut) | defaut

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * MySQL Hostname= 	localhost (default) |    => suggestions : ['']
67 Mot inconnu : MySQL =>   * MySQL Hostname= 	localhost (default) | mysql
67 Mot inconnu : Hostname =>   * MySQL Hostname= 	localhost (default) | hostname
67 Incohérence : espace et tabulation. =>   * MySQL Hostname= 	localhost (default) |  	 => suggestions : [' ', '\t']
67 Mot inconnu : localhost =>   * MySQL Hostname= 	localhost (default) | localhost
67 Mot inconnu : default =>   * MySQL Hostname= 	localhost (default) | default

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * MySQL Username= nom d'utilisateur choisi ci-dessus (ampache) |    => suggestions : ['']
68 Mot inconnu : MySQL =>   * MySQL Username= nom d'utilisateur choisi ci-dessus (ampache) | mysql
68 Mot inconnu : Username =>   * MySQL Username= nom d'utilisateur choisi ci-dessus (ampache) | username
68 Mot inconnu : ampache =>   * MySQL Username= nom d'utilisateur choisi ci-dessus (ampache) | ampache

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * MySQL Password= mot de passe choisi ci-dessus |    => suggestions : ['']
69 Mot inconnu : MySQL =>   * MySQL Password= mot de passe choisi ci-dessus | mysql
69 Mot inconnu : Password =>   * MySQL Password= mot de passe choisi ci-dessus | password

78 Mot inconnu : ampache => En cliquant sur continuer, vous arriverez à la troisième étape de l'installation. Entrez votre login/mot de passe. Vous utiliserez le compte administrateur pour votre première connexion à ampache et pourrez éventuellement changer le nom d'utilisateur et mot de passe ensuite. | ampache

80 Mot inconnu : Ampache => Cliquez sur continuer, vous arriverez à l'écran de connexion d'Ampache. | ampache

84 Guillemets typographiques ouvrants. => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | " => suggestions : ['«\xa0', '“']
