
7 Mot inconnu : EasyTag => ====== EasyTag (éditeur de métadonnées audio) ====== | easytag

9 Mot inconnu : Easytag => Easytag est un logiciel sous licence GPL dont la fonction principale est l'édition des "tags" ou "métadonnées" des fichiers audios, aussi appelés "tags ID3". | easytag
9 Guillemets typographiques ouvrants. => Easytag est un logiciel sous licence GPL dont la fonction principale est l'édition des "tags" ou "métadonnées" des fichiers audios, aussi appelés "tags ID3". | " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. => Easytag est un logiciel sous licence GPL dont la fonction principale est l'édition des "tags" ou "métadonnées" des fichiers audios, aussi appelés "tags ID3". | " => suggestions : ['\xa0»', '”']
9 Guillemets typographiques ouvrants. => Easytag est un logiciel sous licence GPL dont la fonction principale est l'édition des "tags" ou "métadonnées" des fichiers audios, aussi appelés "tags ID3". | " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. => Easytag est un logiciel sous licence GPL dont la fonction principale est l'édition des "tags" ou "métadonnées" des fichiers audios, aussi appelés "tags ID3". | " => suggestions : ['\xa0»', '”']
9 Guillemets typographiques ouvrants. => Easytag est un logiciel sous licence GPL dont la fonction principale est l'édition des "tags" ou "métadonnées" des fichiers audios, aussi appelés "tags ID3". | " => suggestions : ['«\xa0', '“']
9 Mot inconnu : ID3 => Easytag est un logiciel sous licence GPL dont la fonction principale est l'édition des "tags" ou "métadonnées" des fichiers audios, aussi appelés "tags ID3". | id3
9 Guillemets typographiques fermants. => Easytag est un logiciel sous licence GPL dont la fonction principale est l'édition des "tags" ou "métadonnées" des fichiers audios, aussi appelés "tags ID3". | " => suggestions : ['\xa0»', '”']

13 Mot inconnu : WMA => <note>Certains formats musicaux comme le WMA ne peuvent pas être édités avec Easytag. Il faudra alors utiliser un autre éditeur comme [[http://kid3.sourceforge.net|Kid3]] (présent dans les dépôts). | wma
13 Mot inconnu : Easytag => <note>Certains formats musicaux comme le WMA ne peuvent pas être édités avec Easytag. Il faudra alors utiliser un autre éditeur comme [[http://kid3.sourceforge.net|Kid3]] (présent dans les dépôts). | easytag

15 Mot inconnu : Musicbrainz => Certains tags (Musicbrainz, performer, ...) ne sont pas lus par Easytag. Il faudra alors utiliser un autre éditeur comme [[exfalso|Ex Falso]] (présent dans les dépôts).</note> | musicbrainz
15 Une de ces ponctuations est superflue. => Certains tags (Musicbrainz, performer, ...) ne sont pas lus par Easytag. Il faudra alors utiliser un autre éditeur comme [[exfalso|Ex Falso]] (présent dans les dépôts).</note> | , . => suggestions : [',', '.']
15 Typographie : points de suspension. Utilisez le caractère dédié. => Certains tags (Musicbrainz, performer, ...) ne sont pas lus par Easytag. Il faudra alors utiliser un autre éditeur comme [[exfalso|Ex Falso]] (présent dans les dépôts).</note> | ... => suggestions : ['…']
15 Mot inconnu : Easytag => Certains tags (Musicbrainz, performer, ...) ne sont pas lus par Easytag. Il faudra alors utiliser un autre éditeur comme [[exfalso|Ex Falso]] (présent dans les dépôts).</note> | easytag
15 Mot inconnu : exfalso => Certains tags (Musicbrainz, performer, ...) ne sont pas lus par Easytag. Il faudra alors utiliser un autre éditeur comme [[exfalso|Ex Falso]] (présent dans les dépôts).</note> | exfalso
15 Mot inconnu : Falso => Certains tags (Musicbrainz, performer, ...) ne sont pas lus par Easytag. Il faudra alors utiliser un autre éditeur comme [[exfalso|Ex Falso]] (présent dans les dépôts).</note> | falso

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * artiste ; |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * album ; |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * genre musical ; |    => suggestions : ['']

