
6 Mot inconnu : eGroupWare => ====== eGroupWare ====== | egroupware

8 Mot inconnu : eGroupWare => **eGroupWare** est un serveur collaboratif, qui se présente aux utilisateurs sous la forme d'un service Web accessible depuis n'importe quel OS (Windows, Linux ou Mac), et depuis les principaux clients de messagerie du marché (Kontact, Evolution, Outlook, Thunderbird). | egroupware
8 Mot inconnu : Kontact => **eGroupWare** est un serveur collaboratif, qui se présente aux utilisateurs sous la forme d'un service Web accessible depuis n'importe quel OS (Windows, Linux ou Mac), et depuis les principaux clients de messagerie du marché (Kontact, Evolution, Outlook, Thunderbird). | kontact
8 Mot inconnu : Evolution => **eGroupWare** est un serveur collaboratif, qui se présente aux utilisateurs sous la forme d'un service Web accessible depuis n'importe quel OS (Windows, Linux ou Mac), et depuis les principaux clients de messagerie du marché (Kontact, Evolution, Outlook, Thunderbird). | evolution
8 Mot inconnu : Outlook => **eGroupWare** est un serveur collaboratif, qui se présente aux utilisateurs sous la forme d'un service Web accessible depuis n'importe quel OS (Windows, Linux ou Mac), et depuis les principaux clients de messagerie du marché (Kontact, Evolution, Outlook, Thunderbird). | outlook

10 Accord de nombre erroné : « société » devrait être au pluriel. => Il propose des services de calendrier, de répertoire, de bloc-notes, de planning et d'outils de gestion de projets, de solution de gestion de la relation client, d'outil de gestion des connaissances, de Wiki et même de solution de gestion de contenu. Des modules additionnels développés par des société OpenSource permettent également de créer des comptes-rendus de réunion (ProjectReportMind), d'envoyer ses newsletters (eNewsMind), de générer ses itinéraires de rendez-vous via GoogleMaps (MapsMind), etc. | société => suggestions : ['sociétés']
10 Mot inconnu : OpenSource => Il propose des services de calendrier, de répertoire, de bloc-notes, de planning et d'outils de gestion de projets, de solution de gestion de la relation client, d'outil de gestion des connaissances, de Wiki et même de solution de gestion de contenu. Des modules additionnels développés par des société OpenSource permettent également de créer des comptes-rendus de réunion (ProjectReportMind), d'envoyer ses newsletters (eNewsMind), de générer ses itinéraires de rendez-vous via GoogleMaps (MapsMind), etc. | opensource
10 Mot inconnu : ProjectReportMind => Il propose des services de calendrier, de répertoire, de bloc-notes, de planning et d'outils de gestion de projets, de solution de gestion de la relation client, d'outil de gestion des connaissances, de Wiki et même de solution de gestion de contenu. Des modules additionnels développés par des société OpenSource permettent également de créer des comptes-rendus de réunion (ProjectReportMind), d'envoyer ses newsletters (eNewsMind), de générer ses itinéraires de rendez-vous via GoogleMaps (MapsMind), etc. | projectreportmind
10 Mot inconnu : eNewsMind => Il propose des services de calendrier, de répertoire, de bloc-notes, de planning et d'outils de gestion de projets, de solution de gestion de la relation client, d'outil de gestion des connaissances, de Wiki et même de solution de gestion de contenu. Des modules additionnels développés par des société OpenSource permettent également de créer des comptes-rendus de réunion (ProjectReportMind), d'envoyer ses newsletters (eNewsMind), de générer ses itinéraires de rendez-vous via GoogleMaps (MapsMind), etc. | enewsmind
