1 Mot inconnu : sudo => sudo add-apt-repository ppa:scopes-packagers/ppa | sudo
1 Mot inconnu : add-apt-repository => sudo add-apt-repository ppa:scopes-packagers/ppa | add-apt-repository
1 Il manque un espace. => sudo add-apt-repository ppa:scopes-packagers/ppa | scopes-packagers => suggestions : [' scopes-packagers']
1 Mot inconnu : scopes-packagers => sudo add-apt-repository ppa:scopes-packagers/ppa | scopes-packagers

7 Mot inconnu : Unity => ====== Unity lens : les lentilles d'Unity ====== | unity
7 Mot inconnu : lens => ====== Unity lens : les lentilles d'Unity ====== | lens
7 Mot inconnu : Unity => ====== Unity lens : les lentilles d'Unity ====== | unity
11 Mot inconnu : scopes => Les lentilles peuvent observer plusieurs sources d'informations (appelées « scopes »), selon le type de données pour lesquelles elles sont conçues. Les lentilles disponibles par défaut sont les suivantes : | scopes

39 Mot inconnu : unity-lens-video => ===== unity-lens-video ===== | unity-lens-video

46 Mot inconnu : unity-lens-music => ===== unity-lens-music ===== | unity-lens-music
50 Mot inconnu : scope => La « scope » //unity-scope-musicstores// permet de rechercher de la musique en ligne au seins de la lens-music. | scope
50 Mot inconnu : unity-scope-musicstores => La « scope » //unity-scope-musicstores// permet de rechercher de la musique en ligne au seins de la lens-music. | unity-scope-musicstores
50 Accord de nombre erroné : « seins » est au pluriel. => La « scope » //unity-scope-musicstores// permet de rechercher de la musique en ligne au seins de la lens-music. | au => suggestions : ['aux']
50 Accord de nombre erroné : « seins » devrait être au singulier. => La « scope » //unity-scope-musicstores// permet de rechercher de la musique en ligne au seins de la lens-music. | seins => suggestions : ['sein']
50 Mot inconnu : lens-music => La « scope » //unity-scope-musicstores// permet de rechercher de la musique en ligne au seins de la lens-music. | lens-music

54 Mot inconnu : unity-lens-applications => ===== unity-lens-applications ===== | unity-lens-applications

58 Mot inconnu : unity-lens-files => ===== unity-lens-files ===== | unity-lens-files

62 Mot inconnu : unity-lens-wikipédia => ===== unity-lens-wikipédia ===== | unity-lens-wikipédia

66 Mot inconnu : unity-scope-virtualbox => =====unity-scope-virtualbox===== | unity-scope-virtualbox

68 Mot inconnu : VirtualBox => Cette lentille permet de chercher et de lancer les machines virtuelles de [[VirtualBox]] installées sur le PC à partir du dash. | virtualbox
68 Le verbe devrait être à l’infinitif. => Cette lentille permet de chercher et de lancer les machines virtuelles de [[VirtualBox]] installées sur le PC à partir du dash. | installées => suggestions : ['installer']
68 Mot inconnu : dash => Cette lentille permet de chercher et de lancer les machines virtuelles de [[VirtualBox]] installées sur le PC à partir du dash. | dash

72 Mot inconnu : unity-web-history-lens => ===== unity-web-history-lens ===== | unity-web-history-lens

78 Mot inconnu : unity-scope-grooveshark => ===== unity-scope-grooveshark ==== | unity-scope-grooveshark

85 Mot inconnu : AskUbuntu => ==== Proposées sur AskUbuntu ==== | askubuntu

89 Mot inconnu : AskUbuntu => Les captures d'écran et les instructions d'installation sont présentées [[https://askubuntu.com/questions/38772/what-lenses-for-unity-are-available|sur AskUbuntu]], de nouvelles lentilles sont fréquemment proposées : | askubuntu

117 Mot inconnu : OMG => ==== Proposées sur OMG Ubuntu ==== | omg

119 Mot inconnu : AskUbuntu => Vous trouverez [[http://www.omgubuntu.co.uk/2012/01/10-unity-lenses-scopes/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+d0od+%28OMG!+Ubuntu!%29|ici]] quelques lentilles supplémentaires (certaines se recoupent avec celles présentées sur AskUbuntu): | askubuntu
134 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs principaux : [[utilisateurs:Id2ndR]], [[utilisateurs:mydjey]] ...// | ... => suggestions : ['…']
