5 Mot inconnu : FileZilla => ====== Client FTP : FileZilla ====== | filezilla

8 Mot inconnu : FileZilla => **FileZilla** est un client FTP libre (GNU) convenant aussi bien au débutant qu'à l'utilisateur confirmé. | filezilla

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestionnaire des connexions ; |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Connexion par protocole SSH (SFTP) ; |    => suggestions : ['']
11 Mot inconnu : SSH =>   * Connexion par protocole SSH (SFTP) ; | ssh
11 Mot inconnu : SFTP =>   * Connexion par protocole SSH (SFTP) ; | sftp

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * File d'attente ; |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Répertoire de liens déjà visités ; |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Compression des données en cours de chargement, ce qui permet d'accélérer la vitesse de transfert ; |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Réglage de la bande passante ; |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Doubles fenêtres paramétrables « répertoire local/ordinateur distant ». |    => suggestions : ['']

27 Mot inconnu : Filezilla => ==== Via l'archive du site Filezilla ==== | filezilla
29 Mot inconnu : FileZilla => Pour toutes les versions d'ubuntu, FileZilla est directement téléchargeable en exécutable (sans installation) sur le [[https://filezilla-project.org/download.php?type=client|site officiel]] en .tar.gz2  | filezilla
29 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Pour toutes les versions d'ubuntu, FileZilla est directement téléchargeable en exécutable (sans installation) sur le [[https://filezilla-project.org/download.php?type=client|site officiel]] en .tar.gz2  |  . => suggestions : ['. ', '.']
29 Mot inconnu : tar => Pour toutes les versions d'ubuntu, FileZilla est directement téléchargeable en exécutable (sans installation) sur le [[https://filezilla-project.org/download.php?type=client|site officiel]] en .tar.gz2  | tar
29 Mot inconnu : gz2 => Pour toutes les versions d'ubuntu, FileZilla est directement téléchargeable en exécutable (sans installation) sur le [[https://filezilla-project.org/download.php?type=client|site officiel]] en .tar.gz2  | gz2
29 Espace(s) en fin de ligne à supprimer. => Pour toutes les versions d'ubuntu, FileZilla est directement téléchargeable en exécutable (sans installation) sur le [[https://filezilla-project.org/download.php?type=client|site officiel]] en .tar.gz2  |   => suggestions : ['']

31 Guillemets typographiques ouvrants. => Décompressez l'archive puis lancer le fichier "filezilla" dans le répertoire "bin" | " => suggestions : ['«\xa0', '“']
31 Mot inconnu : filezilla => Décompressez l'archive puis lancer le fichier "filezilla" dans le répertoire "bin" | filezilla
31 Guillemets typographiques fermants. => Décompressez l'archive puis lancer le fichier "filezilla" dans le répertoire "bin" | " => suggestions : ['\xa0»', '”']
31 Guillemets typographiques ouvrants. => Décompressez l'archive puis lancer le fichier "filezilla" dans le répertoire "bin" | " => suggestions : ['«\xa0', '“']
31 Mot inconnu : bin => Décompressez l'archive puis lancer le fichier "filezilla" dans le répertoire "bin" | bin
31 Guillemets typographiques fermants. => Décompressez l'archive puis lancer le fichier "filezilla" dans le répertoire "bin" | " => suggestions : ['\xa0»', '”']

33 Mot inconnu : FileZilla => Si ce clic direct ne marche pas, ou si vous souhaitez déplacer le contenu téléchargé des fichiers de FileZilla directement dans votre répertoire "usr" pour une meilleure organisation de votre espace de travail, entrez ces commandes suivantes dans le terminal | filezilla
33 Guillemets typographiques ouvrants. => Si ce clic direct ne marche pas, ou si vous souhaitez déplacer le contenu téléchargé des fichiers de FileZilla directement dans votre répertoire "usr" pour une meilleure organisation de votre espace de travail, entrez ces commandes suivantes dans le terminal | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : usr => Si ce clic direct ne marche pas, ou si vous souhaitez déplacer le contenu téléchargé des fichiers de FileZilla directement dans votre répertoire "usr" pour une meilleure organisation de votre espace de travail, entrez ces commandes suivantes dans le terminal | usr
