
4 Mot inconnu : Armagetron [[7:17]] => ====== Armagetron ====== <|> armagetron
13 Mot inconnu : sudo [[19:23]] =>   * Disposer des [[sudo|droits d'administration]]. <|> sudo

27 Accord de nombre erroné : « joueurs » devrait être au singulier. [[43:50]] => Vous pouvez modifier les options de chaque joueurs (jusque 4 joueurs locaux). Dans ce menu vous pouvez configurer chaque joueur ainsi que la division de l'écran, en cas de match à plusieurs sur la même machine. <|> joueurs => suggestions : ['joueur']

36 Mot inconnu : fullscreen [[72:82]] => Vous pouvez y régler la taille et la résolution de votre écran, le mode fullscreen ou non, le fait de laisser la fenêtre ouverte par dessus les autres applications, la "capture" de la souris, etc. <|> fullscreen
36 Il manque un trait d’union. [[129:139]] => Vous pouvez y régler la taille et la résolution de votre écran, le mode fullscreen ou non, le fait de laisser la fenêtre ouverte par dessus les autres applications, la "capture" de la souris, etc. <|> par dessus => suggestions : ['par-dessus']
36 Guillemets typographiques ouvrants. [[168:169]] => Vous pouvez y régler la taille et la résolution de votre écran, le mode fullscreen ou non, le fait de laisser la fenêtre ouverte par dessus les autres applications, la "capture" de la souris, etc. <|> " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. [[176:177]] => Vous pouvez y régler la taille et la résolution de votre écran, le mode fullscreen ou non, le fait de laisser la fenêtre ouverte par dessus les autres applications, la "capture" de la souris, etc. <|> " => suggestions : ['\xa0»', '”']

41 Guillemets typographiques ouvrants. [[50:51]] => Vous pouvez activer ou désactiver tous les petits "effets de lumières" comme les explosions, les étincelles, la taille des murs de l'arène mais également l'affichage (ou pas) des FPS, du score, de votre ping, des ennemis, etc. <|> " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. [[69:70]] => Vous pouvez activer ou désactiver tous les petits "effets de lumières" comme les explosions, les étincelles, la taille des murs de l'arène mais également l'affichage (ou pas) des FPS, du score, de votre ping, des ennemis, etc. <|> " => suggestions : ['\xa0»', '”']
41 Mot inconnu : FPS [[179:182]] => Vous pouvez activer ou désactiver tous les petits "effets de lumières" comme les explosions, les étincelles, la taille des murs de l'arène mais également l'affichage (ou pas) des FPS, du score, de votre ping, des ennemis, etc. <|> fps
41 Mot inconnu : ping [[203:207]] => Vous pouvez activer ou désactiver tous les petits "effets de lumières" comme les explosions, les étincelles, la taille des murs de l'arène mais également l'affichage (ou pas) des FPS, du score, de votre ping, des ennemis, etc. <|> ping

46 Une de ces ponctuations est superflue. [[128:131]] => Ici on s'occupe du rendu graphique du jeu, les reflets sur le sol, la police d'écriture, la texture des objets, du sol, des murs, ... <|> , . => suggestions : [',', '.']
46 Typographie : points de suspension. Utilisez le caractère dédié. [[130:133]] => Ici on s'occupe du rendu graphique du jeu, les reflets sur le sol, la police d'écriture, la texture des objets, du sol, des murs, ... <|> ... => suggestions : ['…']

50 Guillemets typographiques ouvrants. [[14:15]] => 3 ou 4 petits "plus" qui permettent d'optimiser le rendu graphique. Mais à dire vrai, ce jeu est tellement léger au départ qu'il est inutile de toucher à ces paramètres. <|> " => suggestions : ['«\xa0', '“']
50 Guillemets typographiques fermants. [[19:20]] => 3 ou 4 petits "plus" qui permettent d'optimiser le rendu graphique. Mais à dire vrai, ce jeu est tellement léger au départ qu'il est inutile de toucher à ces paramètres. <|> " => suggestions : ['\xa0»', '”']

54 Mot inconnu : buffer [[47:53]] => Dans ce menu nous pouvons choisir la taille du buffer son anisi que la qualité sonore désirée <|> buffer
54 Mot inconnu : anisi [[58:63]] => Dans ce menu nous pouvons choisir la taille du buffer son anisi que la qualité sonore désirée <|> anisi

58 Guillemets typographiques ouvrants. [[33:34]] => Ce menu permet d'activer le mode "moviepack" qui permet d'afficher des graphismes plus proche du film dont il est inspiré : Tron. Il est possible également d'afficher ou non les textes apparaissant lors du jeu, la langue du jeu ainsi que les commandes "système" du clavier, genre l'apparition de la console, la capture d'écran, l'affichage du score, le switch fullscreen, etc. <|> " => suggestions : ['«\xa0', '“']
58 Mot inconnu : moviepack [[34:43]] => Ce menu permet d'activer le mode "moviepack" qui permet d'afficher des graphismes plus proche du film dont il est inspiré : Tron. Il est possible également d'afficher ou non les textes apparaissant lors du jeu, la langue du jeu ainsi que les commandes "système" du clavier, genre l'apparition de la console, la capture d'écran, l'affichage du score, le switch fullscreen, etc. <|> moviepack
58 Guillemets typographiques fermants. [[43:44]] => Ce menu permet d'activer le mode "moviepack" qui permet d'afficher des graphismes plus proche du film dont il est inspiré : Tron. Il est possible également d'afficher ou non les textes apparaissant lors du jeu, la langue du jeu ainsi que les commandes "système" du clavier, genre l'apparition de la console, la capture d'écran, l'affichage du score, le switch fullscreen, etc. <|> " => suggestions : ['\xa0»', '”']
58 Accord de nombre erroné avec « des graphismes » : « proche » devrait être au pluriel. [[87:93]] => Ce menu permet d'activer le mode "moviepack" qui permet d'afficher des graphismes plus proche du film dont il est inspiré : Tron. Il est possible également d'afficher ou non les textes apparaissant lors du jeu, la langue du jeu ainsi que les commandes "système" du clavier, genre l'apparition de la console, la capture d'écran, l'affichage du score, le switch fullscreen, etc. <|> proche => suggestions : ['proches']
