
3 Mot inconnu : image2mpeg => ====== image2mpeg - pour convertir des images en un film MPEG ====== | image2mpeg
3 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== image2mpeg - pour convertir des images en un film MPEG ====== |  -  => suggestions : [' – ', ' — ', ' − ']
3 Mot inconnu : MPEG => ====== image2mpeg - pour convertir des images en un film MPEG ====== | mpeg

8 Mot inconnu : Image2mpeg => Image2mpeg est un script permettant de faire un film à partir d'une série d'images, le tout agrémenté d'une bande son. Les images peuvent être zoomées et il y a différentes transitions possibles d'une image à l'autre. | image2mpeg

13 Mot inconnu : debian => ==== Méthode utilisant le paquet debian (ne fonctionne pas sous ubuntu Hardy) ==== | debian

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   deb http://hyperthese.net/Bordel/apt-rep/ binary/ |    => suggestions : ['']
18 Mot inconnu : deb =>   deb http://hyperthese.net/Bordel/apt-rep/ binary/ | deb
18 Mot inconnu : binary =>   deb http://hyperthese.net/Bordel/apt-rep/ binary/ | binary

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get update |    => suggestions : ['']
22 Mot inconnu : sudo =>   sudo apt-get update | sudo
22 Mot inconnu : apt-get =>   sudo apt-get update | apt-get
22 Mot inconnu : update =>   sudo apt-get update | update

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install image2mpeg |    => suggestions : ['']
23 Mot inconnu : sudo =>   sudo apt-get install image2mpeg | sudo
23 Mot inconnu : apt-get =>   sudo apt-get install image2mpeg | apt-get
23 Mot inconnu : install =>   sudo apt-get install image2mpeg | install
23 Mot inconnu : image2mpeg =>   sudo apt-get install image2mpeg | image2mpeg

29 Il manque un espace à côté du tiret. => 1- Installer les dépendances avec la console : | -  => suggestions : [' – ', ' — ']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay |    => suggestions : ['']
31 Mot inconnu : sudo =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | sudo
31 Mot inconnu : apt-get =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | apt-get
31 Mot inconnu : install =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | install
31 Mot inconnu : ffmpeg =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | ffmpeg
31 Mot inconnu : mjpegtools =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | mjpegtools
31 Mot inconnu : imagemagick =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | imagemagick
31 Mot inconnu : libmagick =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | libmagick
31 Mot inconnu : dev =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | dev
31 Mot inconnu : toolame =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | toolame
31 Mot inconnu : libmad0 =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | libmad0
31 Mot inconnu : libmad0-dev =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | libmad0-dev
31 Mot inconnu : madplay =>   sudo apt-get install ffmpeg mjpegtools imagemagick libmagick++9-dev toolame libmad0 libmad0-dev madplay | madplay

33 Il manque un espace à côté du tiret. => 2- Sur [[https://www.gromeck.de/projekte/software/image2mpeg/|le site officiel]], télécharger la version la plus récente de image2mpeg-***.tar.gz sur le bureau. | -  => suggestions : [' – ', ' — ']
33 Élision de l’article devant un mot commençant par une voyelle. => 2- Sur [[https://www.gromeck.de/projekte/software/image2mpeg/|le site officiel]], télécharger la version la plus récente de image2mpeg-***.tar.gz sur le bureau. | de  => suggestions : ['d’']
33 Mot inconnu : image2mpeg => 2- Sur [[https://www.gromeck.de/projekte/software/image2mpeg/|le site officiel]], télécharger la version la plus récente de image2mpeg-***.tar.gz sur le bureau. | image2mpeg
33 Mot inconnu : tar => 2- Sur [[https://www.gromeck.de/projekte/software/image2mpeg/|le site officiel]], télécharger la version la plus récente de image2mpeg-***.tar.gz sur le bureau. | tar
33 Mot inconnu : gz => 2- Sur [[https://www.gromeck.de/projekte/software/image2mpeg/|le site officiel]], télécharger la version la plus récente de image2mpeg-***.tar.gz sur le bureau. | gz

35 Il manque un espace à côté du tiret. => 3- Avec la console : | -  => suggestions : [' – ', ' — ']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mv ~/desktop/image2mpeg-*.tar.gz ~ |    => suggestions : ['']
37 Mot inconnu : mv =>   mv ~/desktop/image2mpeg-*.tar.gz ~ | mv
37 Mot inconnu : desktop =>   mv ~/desktop/image2mpeg-*.tar.gz ~ | desktop
37 Mot inconnu : image2mpeg =>   mv ~/desktop/image2mpeg-*.tar.gz ~ | image2mpeg
37 Mot inconnu : tar =>   mv ~/desktop/image2mpeg-*.tar.gz ~ | tar
37 Mot inconnu : gz =>   mv ~/desktop/image2mpeg-*.tar.gz ~ | gz

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~ |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar xvzf image2mpeg-*.tar.gz  |    => suggestions : ['']
39 Mot inconnu : tar =>   tar xvzf image2mpeg-*.tar.gz  | tar
39 Mot inconnu : xvzf =>   tar xvzf image2mpeg-*.tar.gz  | xvzf
39 Mot inconnu : image2mpeg =>   tar xvzf image2mpeg-*.tar.gz  | image2mpeg
39 Mot inconnu : tar =>   tar xvzf image2mpeg-*.tar.gz  | tar
39 Mot inconnu : gz =>   tar xvzf image2mpeg-*.tar.gz  | gz
39 Espace(s) en fin de ligne à supprimer. =>   tar xvzf image2mpeg-*.tar.gz  |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rm image2mpeg-*.tar.gz |    => suggestions : ['']
40 Mot inconnu : rm =>   rm image2mpeg-*.tar.gz | rm
40 Mot inconnu : image2mpeg =>   rm image2mpeg-*.tar.gz | image2mpeg
40 Mot inconnu : tar =>   rm image2mpeg-*.tar.gz | tar
40 Mot inconnu : gz =>   rm image2mpeg-*.tar.gz | gz

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mv image2mpeg-* .image2mpeg |    => suggestions : ['']
41 Mot inconnu : mv =>   mv image2mpeg-* .image2mpeg | mv
41 Mot inconnu : image2mpeg =>   mv image2mpeg-* .image2mpeg | image2mpeg
41 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   mv image2mpeg-* .image2mpeg |  . => suggestions : ['. ', '.']
41 Mot inconnu : image2mpeg =>   mv image2mpeg-* .image2mpeg | image2mpeg

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/.image2mpeg |    => suggestions : ['']
42 Mot inconnu : image2mpeg =>   cd ~/.image2mpeg | image2mpeg

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./configure |    => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make |    => suggestions : ['']
44 Mot inconnu : make =>   make | make

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo make install |    => suggestions : ['']
45 Mot inconnu : sudo =>   sudo make install | sudo
45 Mot inconnu : make =>   sudo make install | make
45 Mot inconnu : install =>   sudo make install | install

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/.image2mpeg |    => suggestions : ['']
50 Mot inconnu : image2mpeg =>   cd ~/.image2mpeg | image2mpeg

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo make uninstall |    => suggestions : ['']
51 Mot inconnu : sudo =>   sudo make uninstall | sudo
51 Mot inconnu : make =>   sudo make uninstall | make
51 Mot inconnu : uninstall =>   sudo make uninstall | uninstall

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~ |    => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rm -rf ~/.image2mpeg |    => suggestions : ['']
53 Mot inconnu : rm =>   rm -rf ~/.image2mpeg | rm
53 Il manque un espace à côté du tiret. =>   rm -rf ~/.image2mpeg |  - => suggestions : [' – ', ' — ']
53 Mot inconnu : rf =>   rm -rf ~/.image2mpeg | rf
53 Mot inconnu : image2mpeg =>   rm -rf ~/.image2mpeg | image2mpeg

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   image2mpeg -m DVD -o video.mpeg *.jpg *.mp3 -I index.i2m |    => suggestions : ['']
61 Mot inconnu : image2mpeg =>   image2mpeg -m DVD -o video.mpeg *.jpg *.mp3 -I index.i2m | image2mpeg
61 Il manque un espace à côté du tiret. =>   image2mpeg -m DVD -o video.mpeg *.jpg *.mp3 -I index.i2m |  - => suggestions : [' – ', ' — ']
61 Il manque un espace à côté du tiret. =>   image2mpeg -m DVD -o video.mpeg *.jpg *.mp3 -I index.i2m |  - => suggestions : [' – ', ' — ']
61 Mot inconnu : video =>   image2mpeg -m DVD -o video.mpeg *.jpg *.mp3 -I index.i2m | video
61 Mot inconnu : mpeg =>   image2mpeg -m DVD -o video.mpeg *.jpg *.mp3 -I index.i2m | mpeg
61 Mot inconnu : i2m =>   image2mpeg -m DVD -o video.mpeg *.jpg *.mp3 -I index.i2m | i2m

63 Mot inconnu : i2m => Cette commande crée un fichier index.i2m donnant les instructions à image2mpeg. Une des lignes de ce fichier va ressembler à : | i2m
63 Mot inconnu : image2mpeg => Cette commande crée un fichier index.i2m donnant les instructions à image2mpeg. Une des lignes de ce fichier va ressembler à : | image2mpeg

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% |    => suggestions : ['']
65 Il manque un espace. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% | frames => suggestions : [' frames']
65 Mot inconnu : frames =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% | frames
65 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% | -1 => suggestions : ['−1', '– 1', '— 1']
65 Il manque un espace. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% | from_geo => suggestions : [' from_geo']
65 Mot inconnu : from_geo =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% | from_geo
65 Avec une unité de mesure, mettez un espace insécable. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% | 100% => suggestions : ['100\xa0%']
65 Mot inconnu : to_geo =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% | to_geo
65 Avec une unité de mesure, mettez un espace insécable. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=100% | 100% => suggestions : ['100\xa0%']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% |    => suggestions : ['']
69 Il manque un espace. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% | frames => suggestions : [' frames']
