
4 Mot inconnu : Livebox => ====== Livebox ====== | livebox

8 Mot inconnu : Livebox => Orange commercialise plusieurs modèles de Livebox fabriquées soit par Thomson-Inventel, par Sagem ou ZTE. | livebox
8 Mot inconnu : Thomson-Inventel => Orange commercialise plusieurs modèles de Livebox fabriquées soit par Thomson-Inventel, par Sagem ou ZTE. | thomson-inventel
8 Mot inconnu : Sagem => Orange commercialise plusieurs modèles de Livebox fabriquées soit par Thomson-Inventel, par Sagem ou ZTE. | sagem
8 Mot inconnu : ZTE => Orange commercialise plusieurs modèles de Livebox fabriquées soit par Thomson-Inventel, par Sagem ou ZTE. | zte

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

12 Mot inconnu : Livebox => ===== Distinguer les différents modèles de Livebox ===== | livebox

14 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A ce jour, plusieurs modèles de Livebox provenant de différents fournisseurs sont/ont été commercialisés par Orange.\\ | a => suggestions : ['À']
14 Mot inconnu : Livebox => A ce jour, plusieurs modèles de Livebox provenant de différents fournisseurs sont/ont été commercialisés par Orange.\\ | livebox

15 Mot inconnu : Livebox => Ce tableau n'inclut pas volontairement les Livebox Pro qui sont des variantes relativement différentes en terme de matériel et de logiciel. | livebox
15 Dans la locution “en termes de”, mettez “terme” au pluriel. => Ce tableau n'inclut pas volontairement les Livebox Pro qui sont des variantes relativement différentes en terme de matériel et de logiciel. | en terme de => suggestions : ['en termes de']

17 Mot inconnu : Livebox => ^ Livebox 1.1 ^ Livebox Mini (1.2)       ^ Livebox 2           ^ Livebox Play                           ^ | livebox
17 Mot inconnu : Livebox => ^ Livebox 1.1 ^ Livebox Mini (1.2)       ^ Livebox 2           ^ Livebox Play                           ^ | livebox
17 Mot inconnu : Livebox => ^ Livebox 1.1 ^ Livebox Mini (1.2)       ^ Livebox 2           ^ Livebox Play                           ^ | livebox
17 Espace(s) surnuméraire(s) à supprimer. => ^ Livebox 1.1 ^ Livebox Mini (1.2)       ^ Livebox 2           ^ Livebox Play                           ^ |             => suggestions : [' ']
17 Mot inconnu : Livebox => ^ Livebox 1.1 ^ Livebox Mini (1.2)       ^ Livebox 2           ^ Livebox Play                           ^ | livebox
17 Mot inconnu : Play => ^ Livebox 1.1 ^ Livebox Mini (1.2)       ^ Livebox 2           ^ Livebox Play                           ^ | play
17 Espace(s) surnuméraire(s) à supprimer. => ^ Livebox 1.1 ^ Livebox Mini (1.2)       ^ Livebox 2           ^ Livebox Play                           ^ |                             => suggestions : [' ']

