
4 Mot inconnu : GDM3Setup => ====== GDM3Setup ====== | gdm3setup

8 Mot inconnu : GDM3Setup => **GDM3Setup** est une application graphique qui permet de personnaliser GDM3 et a mis à jour récemment son application pour la rendre compatible et stable avec GDM 3.6 . | gdm3setup
8 Mot inconnu : GDM3 => **GDM3Setup** est une application graphique qui permet de personnaliser GDM3 et a mis à jour récemment son application pour la rendre compatible et stable avec GDM 3.6 . | gdm3
8 Mot inconnu : GDM => **GDM3Setup** est une application graphique qui permet de personnaliser GDM3 et a mis à jour récemment son application pour la rendre compatible et stable avec GDM 3.6 . | gdm

10 Mot inconnu : GDM3Setup => GDM3Setup est une application qui: | gdm3setup

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permet de changer le thème de GDM3 Gnome-Shell/GTK, |    => suggestions : ['']
11 Mot inconnu : GDM3 =>   * Permet de changer le thème de GDM3 Gnome-Shell/GTK, | gdm3

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permet de changer le thème: les icônes, le fond d’écran, le curseur, |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permet l'activation/Désactivation de l'ouverture de session (login) automatique, |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permet de changer le logo, |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permet de voir la date, l’heure avec les secondes, |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permet de modifier la police des caractères de l'accueil de session, |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permet de désactiver la liste des utilisateurs, |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permet de désactiver le bouton "Redémarrage" ... |    => suggestions : ['']
18 Guillemets typographiques ouvrants. =>   * Permet de désactiver le bouton "Redémarrage" ... | " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. =>   * Permet de désactiver le bouton "Redémarrage" ... | " => suggestions : ['\xa0»', '”']
18 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Permet de désactiver le bouton "Redémarrage" ... | ... => suggestions : ['…']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir au préalable installé les paquets **[[apt>gettext]]**, **[[apt>python-dbus]]** et **[[apt>python-lxml]]** pour bionic notamment |    => suggestions : ['']
25 Mot inconnu : gettext =>   * Avoir au préalable installé les paquets **[[apt>gettext]]**, **[[apt>python-dbus]]** et **[[apt>python-lxml]]** pour bionic notamment | gettext
25 Mot inconnu : python-dbus =>   * Avoir au préalable installé les paquets **[[apt>gettext]]**, **[[apt>python-dbus]]** et **[[apt>python-lxml]]** pour bionic notamment | python-dbus
25 Mot inconnu : python-lxml =>   * Avoir au préalable installé les paquets **[[apt>gettext]]**, **[[apt>python-dbus]]** et **[[apt>python-lxml]]** pour bionic notamment | python-lxml

29 Mot inconnu : makefile => Que ce soit avec git ou avec l'archive master, il y a une erreur de distribution dans le fichier makefile pour ubuntu : | makefile

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://github.com/Nano77/gdm3setup/blob/master/makefile|gdm3setup/makefile]] |    => suggestions : ['']
30 Mot inconnu : gdm3setup =>   * [[https://github.com/Nano77/gdm3setup/blob/master/makefile|gdm3setup/makefile]] | gdm3setup
30 Mot inconnu : makefile =>   * [[https://github.com/Nano77/gdm3setup/blob/master/makefile|gdm3setup/makefile]] | makefile

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://github.com/Nano77/gdm3setup-utils/blob/master/makefile|gdm3setup-utils/makefile]] |    => suggestions : ['']
44 Mot inconnu : gdm3setup-utils =>   * [[https://github.com/Nano77/gdm3setup-utils/blob/master/makefile|gdm3setup-utils/makefile]] | gdm3setup-utils
44 Mot inconnu : makefile =>   * [[https://github.com/Nano77/gdm3setup-utils/blob/master/makefile|gdm3setup-utils/makefile]] | makefile

67 Mot inconnu : gdm3setup => Pour la compilation et l'installation, gdm3setup et gdm3setup-utils suivent à peu près les mêmes instructions. | gdm3setup
67 Mot inconnu : gdm3setup-utils => Pour la compilation et l'installation, gdm3setup et gdm3setup-utils suivent à peu près les mêmes instructions. | gdm3setup-utils

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * gdm3setup-utils |    => suggestions : ['']
68 Mot inconnu : gdm3setup-utils =>   * gdm3setup-utils | gdm3setup-utils
72 Il manque un espace à côté du tiret. => <code bash>sudo chown -R gdm:gdm /var/lib/gdm3/</code> |  - => suggestions : [' – ', ' — ']
72 Il manque un espace. => <code bash>sudo chown -R gdm:gdm /var/lib/gdm3/</code> | gdm => suggestions : [' gdm']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * gdm3setup |    => suggestions : ['']
73 Mot inconnu : gdm3setup =>   * gdm3setup | gdm3setup

86 Il manque un espace. => ==== Avec l'archive master.zip du dépôt git ==== | zip => suggestions : [' zip']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Téléchargez les archives master.zip de gdm3setup et de gdm3setup-utils |    => suggestions : ['']
88 Il manque un espace. =>   * Téléchargez les archives master.zip de gdm3setup et de gdm3setup-utils | zip => suggestions : [' zip']
88 Mot inconnu : gdm3setup =>   * Téléchargez les archives master.zip de gdm3setup et de gdm3setup-utils | gdm3setup
88 Mot inconnu : gdm3setup-utils =>   * Téléchargez les archives master.zip de gdm3setup et de gdm3setup-utils | gdm3setup-utils
89 Guillemets typographiques ouvrants. => <code bash>wget https://github.com/Nano77/gdm3setup-utils/archive/master.zip -O "gdm3setup-utils.zip"</code> | " => suggestions : ['«\xa0', '“']
89 Il manque un espace. => <code bash>wget https://github.com/Nano77/gdm3setup-utils/archive/master.zip -O "gdm3setup-utils.zip"</code> | zip => suggestions : [' zip']
