
3 Mot inconnu : Inspiron => ====== Dell Inspiron 7490 ====== | inspiron

8 Mot inconnu : AHCI => Une vraie solution serait que Dell sorte une mise à jour du BIOS afin de permettre à l'utilisateur de choisir entre le mode RAID et le mode AHCI, mais cela fait deux ans que des propriétaires de ce modèle le demandent, et pour l'instant Dell n'a rien fait (hormis d'annoncer que ce pc n'est pas compatible Ubuntu). | ahci
11 Mot inconnu : AHCI => <note important>Si vous êtes sur cette page parce que votre pc est en mode RAID, ne suivez pas cette page: à ma connaissance, il est toujours possible (sauf pour ce pc) de désactiver le mode RAID pour passer en mode AHCI. Attention à bien préparer Windows avant le passage RAID vers AHCI</note> | ahci
11 Mot inconnu : AHCI => <note important>Si vous êtes sur cette page parce que votre pc est en mode RAID, ne suivez pas cette page: à ma connaissance, il est toujours possible (sauf pour ce pc) de désactiver le mode RAID pour passer en mode AHCI. Attention à bien préparer Windows avant le passage RAID vers AHCI</note> | ahci

13 Mot inconnu : Inspiron => Si vous êtes sur cette page, vous avez acheté un Dell Inspiron 7490 (trop tard :-) ), et vous aimeriez réussir à installer Ubuntu dessus. Cette page contient une explication détaillée afin de réussir cette difficile tâche. | inspiron
13 Pas d’espace avant ce signe. => Si vous êtes sur cette page, vous avez acheté un Dell Inspiron 7490 (trop tard :-) ), et vous aimeriez réussir à installer Ubuntu dessus. Cette page contient une explication détaillée afin de réussir cette difficile tâche. |  ) => suggestions : [')']

16 Mot inconnu : tlp => J'ai pu tester ce pc assez profondément, et à ma connaissance, tout fonctionne bien. La batterie tient bien après installation de tlp et configuration du pilote nvidia, le son fonctionne bien, les différents ports fonctionnent, le choix de la luminosité fonctionne, le rétroéclairage fonctionne... Le matériel dans ce pc étant assez classique, il ne devrait pas y avoir de problèmes particuliers. | tlp
16 Mot inconnu : nvidia => J'ai pu tester ce pc assez profondément, et à ma connaissance, tout fonctionne bien. La batterie tient bien après installation de tlp et configuration du pilote nvidia, le son fonctionne bien, les différents ports fonctionnent, le choix de la luminosité fonctionne, le rétroéclairage fonctionne... Le matériel dans ce pc étant assez classique, il ne devrait pas y avoir de problèmes particuliers. | nvidia
