
18 Mot inconnu : AppImage [[5:13]] => ==== AppImage ==== <|> appimage

22 Mot inconnu : béta [[32:36]] => Pour tester la dernière version béta: <|> béta

27 Mot inconnu : digikam [[87:94]] => Si vous aviez une précédente version, pensez à renommer votre ancienne base de données digikam, par défaut à l'emplacement ///home/$USER/Images/digikam4.db// en digikam4.db.old <|> digikam

29 Mot inconnu : KDE [[55:58]] => ==== Installer sous Ubuntu en limitant les dépendances KDE ==== <|> kde

33 Mot inconnu : KDE [[38:41]] => Pour limiter le nombre de dépendances KDE installées avec **digiKam**, voici comment faire l'installation : <|> kde
38 Mot inconnu : Synaptic [[31:39]] =>   * Installer **digiKam** dans Synaptic. <|> synaptic

48 Mot inconnu : Johnsson [[23:31]] => <note important>Philip Johnsson (aka Philip5) ne propose plus de paquets depuis Artful. Dernière version disponible pour Zeisty : Digikam 5.6.0.</note> <|> johnsson
48 Mot inconnu : aka [[33:36]] => <note important>Philip Johnsson (aka Philip5) ne propose plus de paquets depuis Artful. Dernière version disponible pour Zeisty : Digikam 5.6.0.</note> <|> aka
48 Mot inconnu : Philip5 [[37:44]] => <note important>Philip Johnsson (aka Philip5) ne propose plus de paquets depuis Artful. Dernière version disponible pour Zeisty : Digikam 5.6.0.</note> <|> philip5
48 Mot inconnu : Zeisty [[121:127]] => <note important>Philip Johnsson (aka Philip5) ne propose plus de paquets depuis Artful. Dernière version disponible pour Zeisty : Digikam 5.6.0.</note> <|> zeisty
48 Mot inconnu : Digikam [[130:137]] => <note important>Philip Johnsson (aka Philip5) ne propose plus de paquets depuis Artful. Dernière version disponible pour Zeisty : Digikam 5.6.0.</note> <|> digikam
56 Mot inconnu : Digikam4 [[100:108]] => <note important>Depuis la version d'ubuntu 16.04, la géolocalisation des photos ne marche plus dans Digikam4. Installer Digikam5 si vous utilisez cette fonctionnalité. <|> digikam4
56 Mot inconnu : Digikam5 [[120:128]] => <note important>Depuis la version d'ubuntu 16.04, la géolocalisation des photos ne marche plus dans Digikam4. Installer Digikam5 si vous utilisez cette fonctionnalité. <|> digikam5

58 Mot inconnu : Digikam [[12:19]] => ==== Mettre Digikam en français sous Ubuntu ==== <|> digikam

72 Mot inconnu : Digikam [[48:55]] => <note tip>Une solution rapide est de demander à Digikam de ne pas utiliser  GTK+ : dans //Configuration / Configuer Digikam / Divers / Style des Composants Graphiques//, choisir une autre méthode que  GTK+. Vous pourrez utiliser les thèmes Digikam sans problème d'affichage des panneaux latéraux.</note> <|> digikam
72 Espace(s) surnuméraire(s) à supprimer. [[74:76]] => <note tip>Une solution rapide est de demander à Digikam de ne pas utiliser  GTK+ : dans //Configuration / Configuer Digikam / Divers / Style des Composants Graphiques//, choisir une autre méthode que  GTK+. Vous pourrez utiliser les thèmes Digikam sans problème d'affichage des panneaux latéraux.</note> <|>    => suggestions : [' ']
72 Mot inconnu : Configuer [[106:115]] => <note tip>Une solution rapide est de demander à Digikam de ne pas utiliser  GTK+ : dans //Configuration / Configuer Digikam / Divers / Style des Composants Graphiques//, choisir une autre méthode que  GTK+. Vous pourrez utiliser les thèmes Digikam sans problème d'affichage des panneaux latéraux.</note> <|> configuer
72 Mot inconnu : Digikam [[116:123]] => <note tip>Une solution rapide est de demander à Digikam de ne pas utiliser  GTK+ : dans //Configuration / Configuer Digikam / Divers / Style des Composants Graphiques//, choisir une autre méthode que  GTK+. Vous pourrez utiliser les thèmes Digikam sans problème d'affichage des panneaux latéraux.</note> <|> digikam
72 Espace(s) surnuméraire(s) à supprimer. [[199:201]] => <note tip>Une solution rapide est de demander à Digikam de ne pas utiliser  GTK+ : dans //Configuration / Configuer Digikam / Divers / Style des Composants Graphiques//, choisir une autre méthode que  GTK+. Vous pourrez utiliser les thèmes Digikam sans problème d'affichage des panneaux latéraux.</note> <|>    => suggestions : [' ']
72 Mot inconnu : Digikam [[240:247]] => <note tip>Une solution rapide est de demander à Digikam de ne pas utiliser  GTK+ : dans //Configuration / Configuer Digikam / Divers / Style des Composants Graphiques//, choisir une autre méthode que  GTK+. Vous pourrez utiliser les thèmes Digikam sans problème d'affichage des panneaux latéraux.</note> <|> digikam

88 Mot inconnu : digikam [[38:45]] => Allez dans //Configurer -> Configurer digikam -> Appareils photo//, cliquez sur Ajouter ou détection automatique pour ajouter votre appareil photo. <|> digikam
92 Si “Accurate//” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[150:164]] => <note tip>Depuis la version 6.4.0, la détection et reconnaissance est très performante! Vérifiez les options pour un meilleur résultat: Paramètres ://100 Accurate//, Avancé: //Algorithme Deep Learning//. Il faut confirmer les reconnaissances incertaines dans //Non confirmé// et //Effacer et reconstruire toutes les données d'apprentissage// une fois la base de reconnaissance de visages bien fournie</note> <|> 100 accurate// => suggestions : ['100\xa0Accurate//']
92 Mot inconnu : Accurate [[154:162]] => <note tip>Depuis la version 6.4.0, la détection et reconnaissance est très performante! Vérifiez les options pour un meilleur résultat: Paramètres ://100 Accurate//, Avancé: //Algorithme Deep Learning//. Il faut confirmer les reconnaissances incertaines dans //Non confirmé// et //Effacer et reconstruire toutes les données d'apprentissage// une fois la base de reconnaissance de visages bien fournie</note> <|> accurate
92 Mot inconnu : Deep [[187:191]] => <note tip>Depuis la version 6.4.0, la détection et reconnaissance est très performante! Vérifiez les options pour un meilleur résultat: Paramètres ://100 Accurate//, Avancé: //Algorithme Deep Learning//. Il faut confirmer les reconnaissances incertaines dans //Non confirmé// et //Effacer et reconstruire toutes les données d'apprentissage// une fois la base de reconnaissance de visages bien fournie</note> <|> deep
92 Mot inconnu : Learning [[192:200]] => <note tip>Depuis la version 6.4.0, la détection et reconnaissance est très performante! Vérifiez les options pour un meilleur résultat: Paramètres ://100 Accurate//, Avancé: //Algorithme Deep Learning//. Il faut confirmer les reconnaissances incertaines dans //Non confirmé// et //Effacer et reconstruire toutes les données d'apprentissage// une fois la base de reconnaissance de visages bien fournie</note> <|> learning

95 Typographie des composés chimiques. [[60:62]] => Après avoir sélectionné des photos, si vous tapez la touche F2 ou le menu //Item// puis //Renommer//, il est facile de renommes vos photos par lot, par exemple pour ajouter la date de la prise de vue en préfixe, conserver le nom de base de la photo et ajouter un sujet/contexte, dans la zone de saisie, on peut définir :  <|> f2 => suggestions : ['F₂']
95 Mot inconnu : F2 [[60:62]] => Après avoir sélectionné des photos, si vous tapez la touche F2 ou le menu //Item// puis //Renommer//, il est facile de renommes vos photos par lot, par exemple pour ajouter la date de la prise de vue en préfixe, conserver le nom de base de la photo et ajouter un sujet/contexte, dans la zone de saisie, on peut définir :  <|> f2
95 Incohérence avec “de” : “renommes” est une forme verbale conjuguée. [[119:127]] => Après avoir sélectionné des photos, si vous tapez la touche F2 ou le menu //Item// puis //Renommer//, il est facile de renommes vos photos par lot, par exemple pour ajouter la date de la prise de vue en préfixe, conserver le nom de base de la photo et ajouter un sujet/contexte, dans la zone de saisie, on peut définir :  <|> renommes => suggestions : ['renommée', 'renommées']
95 Espace(s) en fin de ligne à supprimer. [[320:321]] => Après avoir sélectionné des photos, si vous tapez la touche F2 ou le menu //Item// puis //Renommer//, il est facile de renommes vos photos par lot, par exemple pour ajouter la date de la prise de vue en préfixe, conserver le nom de base de la photo et ajouter un sujet/contexte, dans la zone de saisie, on peut définir :  <|>   => suggestions : ['']

97 Mot inconnu : DSC_1234 [[13:21]] => Les photos //DSC_1234.JPG// et //DSC_1235.JPG//, prises le 8 mai 2021 seront renommées respectivement //20210508_DSC_1234_mon-sujet.JPG// et //20210508_DSC_1235_mon-sujet.JPG//. Si vous préférez avoir des tirets entre année-mois-date, il suffit de mettre [date:yyyy-MM-dd] <|> dsc_1234
97 Mot inconnu : DSC_1235 [[33:41]] => Les photos //DSC_1234.JPG// et //DSC_1235.JPG//, prises le 8 mai 2021 seront renommées respectivement //20210508_DSC_1234_mon-sujet.JPG// et //20210508_DSC_1235_mon-sujet.JPG//. Si vous préférez avoir des tirets entre année-mois-date, il suffit de mettre [date:yyyy-MM-dd] <|> dsc_1235
97 Mot inconnu : _DSC_1234_mon-sujet [[112:131]] => Les photos //DSC_1234.JPG// et //DSC_1235.JPG//, prises le 8 mai 2021 seront renommées respectivement //20210508_DSC_1234_mon-sujet.JPG// et //20210508_DSC_1235_mon-sujet.JPG//. Si vous préférez avoir des tirets entre année-mois-date, il suffit de mettre [date:yyyy-MM-dd] <|> _dsc_1234_mon-sujet
97 Mot inconnu : _DSC_1235_mon-sujet [[151:170]] => Les photos //DSC_1234.JPG// et //DSC_1235.JPG//, prises le 8 mai 2021 seront renommées respectivement //20210508_DSC_1234_mon-sujet.JPG// et //20210508_DSC_1235_mon-sujet.JPG//. Si vous préférez avoir des tirets entre année-mois-date, il suffit de mettre [date:yyyy-MM-dd] <|> _dsc_1235_mon-sujet
97 Il manque un espace. [[261:271]] => Les photos //DSC_1234.JPG// et //DSC_1235.JPG//, prises le 8 mai 2021 seront renommées respectivement //20210508_DSC_1234_mon-sujet.JPG// et //20210508_DSC_1235_mon-sujet.JPG//. Si vous préférez avoir des tirets entre année-mois-date, il suffit de mettre [date:yyyy-MM-dd] <|> yyyy-mm-dd => suggestions : [' yyyy-MM-dd']
97 Mot inconnu : yyyy-MM-dd [[261:271]] => Les photos //DSC_1234.JPG// et //DSC_1235.JPG//, prises le 8 mai 2021 seront renommées respectivement //20210508_DSC_1234_mon-sujet.JPG// et //20210508_DSC_1235_mon-sujet.JPG//. Si vous préférez avoir des tirets entre année-mois-date, il suffit de mettre [date:yyyy-MM-dd] <|> yyyy-mm-dd

99 Mot inconnu : Digikam [[4:11]] => ====Digikam ne s'ouvre plus après une migration de 16.04 à 18.04==== <|> digikam

100 Mot inconnu : Digikam [[84:91]] => Dans le cas d'une mise à jour de Ubuntu 16.04 vers 18.04 par exemple, la version de Digikam (et de Kde) change de la version 4.x.x à la version 5.x.x. Si on lance la version 5.x.x dans 18.04, il y a une erreur qui s'affiche et on a l'impression d'avoir perdu toutes les photos et les tags associés. Il n'en est rien. Voici la procédure pour le faire marcher : <|> digikam
100 Mot inconnu : Kde [[99:102]] => Dans le cas d'une mise à jour de Ubuntu 16.04 vers 18.04 par exemple, la version de Digikam (et de Kde) change de la version 4.x.x à la version 5.x.x. Si on lance la version 5.x.x dans 18.04, il y a une erreur qui s'affiche et on a l'impression d'avoir perdu toutes les photos et les tags associés. Il n'en est rien. Voici la procédure pour le faire marcher : <|> kde
