
5 Mot inconnu : Logitech => ====== Enceintes Logitech Z-10 ====== | logitech

12 Mot inconnu : PulseAudio => La solution se situe dans l'installation d'un serveur PulseAudio... | pulseaudio
12 Typographie : points de suspension. Utilisez le caractère dédié. => La solution se situe dans l'installation d'un serveur PulseAudio... | ... => suggestions : ['…']
14 Espace(s) en fin de ligne à supprimer. => Allez voir ici pour les ubuntu 8.x ;  |   => suggestions : ['']
17 Espace(s) en fin de ligne à supprimer. => Ici pour les ubuntu 9.x ;  |   => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   asoundconf list |    => suggestions : ['']
24 Mot inconnu : asoundconf =>   asoundconf list | asoundconf
24 Mot inconnu : list =>   asoundconf list | list

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   asoundconf set-default-card nomdelacarte |    => suggestions : ['']
28 Mot inconnu : asoundconf =>   asoundconf set-default-card nomdelacarte | asoundconf
28 Mot inconnu : set-default-card =>   asoundconf set-default-card nomdelacarte | set-default-card
28 Mot inconnu : nomdelacarte =>   asoundconf set-default-card nomdelacarte | nomdelacarte

40 Mot inconnu : series => L'installation de l'affichage LCD des enceintes z-10 series se fait pour l'instant comme celle du [[clavier Logitech g15]] (qui possède le même écran). | series
40 Mot inconnu : Logitech => L'installation de l'affichage LCD des enceintes z-10 series se fait pour l'instant comme celle du [[clavier Logitech g15]] (qui possède le même écran). | logitech
40 Mot inconnu : g15 => L'installation de l'affichage LCD des enceintes z-10 series se fait pour l'instant comme celle du [[clavier Logitech g15]] (qui possède le même écran). | g15
