
3 Mot inconnu : Unity => ====== Créer une loupe Unity ====== | unity

4 Mot inconnu : Quickly => <note warning>Quickly étant abandonné cette page est obsolète, il serait utile tout de même de la recycler pour proposer une autre methode pour créer des loupes</note> | quickly
4 Mot inconnu : methode => <note warning>Quickly étant abandonné cette page est obsolète, il serait utile tout de même de la recycler pour proposer une autre methode pour créer des loupes</note> | methode

5 Mot inconnu : Dash => Le Dash Unity propose une manière simple et conviviale de visionner du contenu intéressant. À l'aide des Loupes, il est désormais possible de rechercher une information en local et sur le Web. Dans cet article, nous apprendrons à construire facilement une loupe permettant de chercher confortablement un article de Wikipédia, directement depuis votre Bureau. | dash
5 Mot inconnu : Unity => Le Dash Unity propose une manière simple et conviviale de visionner du contenu intéressant. À l'aide des Loupes, il est désormais possible de rechercher une information en local et sur le Web. Dans cet article, nous apprendrons à construire facilement une loupe permettant de chercher confortablement un article de Wikipédia, directement depuis votre Bureau. | unity

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[precise|Ubuntu 12.04]] (ou version ultérieure: 12.10,13.04,...) |    => suggestions : ['']
12 Mot inconnu : precise =>   * [[precise|Ubuntu 12.04]] (ou version ultérieure: 12.10,13.04,...) | precise
12 Erreur de numérisation ? Virgules au lieu de points ? =>   * [[precise|Ubuntu 12.04]] (ou version ultérieure: 12.10,13.04,...) | ,... => suggestions : ['….']
12 Typographie : points de suspension. Utilisez le caractère dédié. =>   * [[precise|Ubuntu 12.04]] (ou version ultérieure: 12.10,13.04,...) | ... => suggestions : ['…']

18 Mot inconnu : quickly => quickly edit</code> | quickly
18 Mot inconnu : edit => quickly edit</code> | edit

19 Mot inconnu : Gedit => La dernière ligne de code ouvre Gedit avec trois fichiers. Nous ne nous occuperons que de ''<nowiki>__init__</nowiki>.py'', fermez les deux autres. | gedit
19 Mot inconnu : __init__ => La dernière ligne de code ouvre Gedit avec trois fichiers. Nous ne nous occuperons que de ''<nowiki>__init__</nowiki>.py'', fermez les deux autres. | __init__
19 Mot inconnu : py => La dernière ligne de code ouvre Gedit avec trois fichiers. Nous ne nous occuperons que de ''<nowiki>__init__</nowiki>.py'', fermez les deux autres. | py
19 Guillemets typographiques fermants. => La dernière ligne de code ouvre Gedit avec trois fichiers. Nous ne nous occuperons que de ''<nowiki>__init__</nowiki>.py'', fermez les deux autres. | '' => suggestions : ['\xa0»', '”']

21 Il manque un trait d’union. => Si vous préférez éditer votre projet avec votre éditeur préféré ou un IDE il vous suffit de remplacer les lignes ci dessus par les suivantes : | ci dessus => suggestions : ['ci-dessus']

25 Mot inconnu : emacs => emacs __init__.py</code> | emacs
25 Mot inconnu : __init__ => emacs __init__.py</code> | __init__
25 Mot inconnu : py => emacs __init__.py</code> | py

27 Mot inconnu : emacs => en remplaçant emacs par votre éditeur préféré . | emacs

29 Mot inconnu : Meta => La première chose que nous verrons est la classe Meta. Elle définit le comportement de la loupe : | meta

40 Guillemets typographiques ouvrants. => Une loupe doit faire partie d'une ou plusieurs catégories, qui sera utilisée ensuite pour séparer les différents résultats. Dans le cas de Wikipédia, nous aurons besoin d'une seule catégorie. Appelons-la "Articles". | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => Une loupe doit faire partie d'une ou plusieurs catégories, qui sera utilisée ensuite pour séparer les différents résultats. Dans le cas de Wikipédia, nous aurons besoin d'une seule catégorie. Appelons-la "Articles". | " => suggestions : ['\xa0»', '”']

42 Pas de trait d’union. => En-dessous de la classe Meta, vous pouvez voir ceci : | en-dessous => suggestions : ['En dessous']
42 Mot inconnu : Meta => En-dessous de la classe Meta, vous pouvez voir ceci : | meta

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Renommez la variable en ''articles_category'', pour plus de clarté dans le code |    => suggestions : ['']
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Renommez la variable en ''articles_category'', pour plus de clarté dans le code |  -  => suggestions : [' – ', ' — ', ' − ']
47 Guillemets typographiques ouvrants. =>   - Renommez la variable en ''articles_category'', pour plus de clarté dans le code | '' => suggestions : ['«\xa0', '“']
47 Mot inconnu : articles_category =>   - Renommez la variable en ''articles_category'', pour plus de clarté dans le code | articles_category
47 Guillemets typographiques fermants. =>   - Renommez la variable en ''articles_category'', pour plus de clarté dans le code | '' => suggestions : ['\xa0»', '”']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. |    => suggestions : ['']
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. |  -  => suggestions : [' – ', ' — ', ' − ']
48 Guillemets typographiques ouvrants. =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | '' => suggestions : ['«\xa0', '“']
48 Mot inconnu : ListView =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | listview
48 Guillemets typographiques fermants. =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | '' => suggestions : ['\xa0»', '”']
48 Guillemets typographiques ouvrants. =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | '' => suggestions : ['«\xa0', '“']
48 Mot inconnu : IconView =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | iconview
48 Guillemets typographiques fermants. =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | '' => suggestions : ['\xa0»', '”']
48 Accord de nombre erroné avec « deux manières » : « différente » devrait être au pluriel. =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | différente => suggestions : ['différentes']
48 Guillemets typographiques ouvrants. =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | '' => suggestions : ['«\xa0', '“']
48 Mot inconnu : ListView =>   - Nous devons choisir entre ''ListView'' et ''IconView'', qui sont deux manières différente de présenter les résultats. La première est une vue en liste, la deuxième une vue en icône. Nous garderons la vue par défaut : ''ListView''. | listview
