
10 Mot inconnu : x11vnc => ===== Installation de x11vnc pour les clients LTSP ===== | x11vnc
10 Mot inconnu : LTSP => ===== Installation de x11vnc pour les clients LTSP ===== | ltsp

12 Mot inconnu : x11vnc => L'installation de x11vnc vous permettra de vous connecter sur la session des clients légers LTSP avec l'utilitaire VNCviewer ou le gestionnaire de client léger (menu //Système > Administration > Gestionnaire// ) pour ceux qui utilisent un serveur Edubuntu. Pour la sécurité, pensez à mettre un mot de passe pour les sessions x11vnc. | x11vnc
12 Mot inconnu : LTSP => L'installation de x11vnc vous permettra de vous connecter sur la session des clients légers LTSP avec l'utilitaire VNCviewer ou le gestionnaire de client léger (menu //Système > Administration > Gestionnaire// ) pour ceux qui utilisent un serveur Edubuntu. Pour la sécurité, pensez à mettre un mot de passe pour les sessions x11vnc. | ltsp
12 Mot inconnu : VNCviewer => L'installation de x11vnc vous permettra de vous connecter sur la session des clients légers LTSP avec l'utilitaire VNCviewer ou le gestionnaire de client léger (menu //Système > Administration > Gestionnaire// ) pour ceux qui utilisent un serveur Edubuntu. Pour la sécurité, pensez à mettre un mot de passe pour les sessions x11vnc. | vncviewer
12 Pas d’espace avant ce signe. => L'installation de x11vnc vous permettra de vous connecter sur la session des clients légers LTSP avec l'utilitaire VNCviewer ou le gestionnaire de client léger (menu //Système > Administration > Gestionnaire// ) pour ceux qui utilisent un serveur Edubuntu. Pour la sécurité, pensez à mettre un mot de passe pour les sessions x11vnc. |  ) => suggestions : [')']
12 Mot inconnu : Edubuntu => L'installation de x11vnc vous permettra de vous connecter sur la session des clients légers LTSP avec l'utilitaire VNCviewer ou le gestionnaire de client léger (menu //Système > Administration > Gestionnaire// ) pour ceux qui utilisent un serveur Edubuntu. Pour la sécurité, pensez à mettre un mot de passe pour les sessions x11vnc. | edubuntu
12 Mot inconnu : x11vnc => L'installation de x11vnc vous permettra de vous connecter sur la session des clients légers LTSP avec l'utilitaire VNCviewer ou le gestionnaire de client léger (menu //Système > Administration > Gestionnaire// ) pour ceux qui utilisent un serveur Edubuntu. Pour la sécurité, pensez à mettre un mot de passe pour les sessions x11vnc. | x11vnc

15 Guillemets typographiques ouvrants. => Il faut se mettre dans l'environnement "chroot" des clients LTSP. | " => suggestions : ['«\xa0', '“']
