
4 Mot inconnu : RaConfig => ====== RaConfig ====== | raconfig

6 Il manque un espace. => par:[[utilisateurs:manu newbie]] | manu => suggestions : [' manu']
6 Mot inconnu : newbie => par:[[utilisateurs:manu newbie]] | newbie

9 Accord de genre erroné : « cartes » est féminin. => cet outil permet de configurer certains cartes Ralink, comme par exemple les cartes basées sur les puces rt2500. | certains => suggestions : ['certaines']
9 Accord de genre erroné : « certains » est un déterminant masculin. => cet outil permet de configurer certains cartes Ralink, comme par exemple les cartes basées sur les puces rt2500. | cartes => suggestions : ['karts', 'cartés']
9 Mot inconnu : Ralink => cet outil permet de configurer certains cartes Ralink, comme par exemple les cartes basées sur les puces rt2500. | ralink
9 Pléonasme. => cet outil permet de configurer certains cartes Ralink, comme par exemple les cartes basées sur les puces rt2500. | comme par exemple => suggestions : ['comme', 'par exemple']
9 Mot inconnu : rt2500 => cet outil permet de configurer certains cartes Ralink, comme par exemple les cartes basées sur les puces rt2500. | rt2500

13 Mot inconnu : RaConfig => l'outil **RaConfig** est inclu dans les pilotes provenant de [[http://www.ralinktech.com/supp-1.htm|Ralink]], ou de [[http://rt2x00.serialmonkey.com/wiki/index.php/Downloads|serialmonkey]], dans le répertoire 'Utility'.\\ | raconfig
13 Mot inconnu : inclu => l'outil **RaConfig** est inclu dans les pilotes provenant de [[http://www.ralinktech.com/supp-1.htm|Ralink]], ou de [[http://rt2x00.serialmonkey.com/wiki/index.php/Downloads|serialmonkey]], dans le répertoire 'Utility'.\\ | inclu
13 Guillemets typographiques ouvrants. => l'outil **RaConfig** est inclu dans les pilotes provenant de [[http://www.ralinktech.com/supp-1.htm|Ralink]], ou de [[http://rt2x00.serialmonkey.com/wiki/index.php/Downloads|serialmonkey]], dans le répertoire 'Utility'.\\ | ' => suggestions : ['“', '‘', '‹']
13 Mot inconnu : Utility => l'outil **RaConfig** est inclu dans les pilotes provenant de [[http://www.ralinktech.com/supp-1.htm|Ralink]], ou de [[http://rt2x00.serialmonkey.com/wiki/index.php/Downloads|serialmonkey]], dans le répertoire 'Utility'.\\ | utility

14 Mot inconnu : serialmonkey => Les pilotes serialmonkey sont **recommandés**, en effet, le module rt2500 contenu dans ubuntu provient de la version serialmonkey. Et les développeurs de serialmonkey ont apporté quelques amélioration aux pilotes Ralink. | serialmonkey
14 Mot inconnu : rt2500 => Les pilotes serialmonkey sont **recommandés**, en effet, le module rt2500 contenu dans ubuntu provient de la version serialmonkey. Et les développeurs de serialmonkey ont apporté quelques amélioration aux pilotes Ralink. | rt2500
14 Mot inconnu : serialmonkey => Les pilotes serialmonkey sont **recommandés**, en effet, le module rt2500 contenu dans ubuntu provient de la version serialmonkey. Et les développeurs de serialmonkey ont apporté quelques amélioration aux pilotes Ralink. | serialmonkey
14 Mot inconnu : serialmonkey => Les pilotes serialmonkey sont **recommandés**, en effet, le module rt2500 contenu dans ubuntu provient de la version serialmonkey. Et les développeurs de serialmonkey ont apporté quelques amélioration aux pilotes Ralink. | serialmonkey
14 Accord de nombre erroné : « amélioration » devrait être au pluriel. => Les pilotes serialmonkey sont **recommandés**, en effet, le module rt2500 contenu dans ubuntu provient de la version serialmonkey. Et les développeurs de serialmonkey ont apporté quelques amélioration aux pilotes Ralink. | amélioration => suggestions : ['améliorations']
14 Mot inconnu : Ralink => Les pilotes serialmonkey sont **recommandés**, en effet, le module rt2500 contenu dans ubuntu provient de la version serialmonkey. Et les développeurs de serialmonkey ont apporté quelques amélioration aux pilotes Ralink. | ralink

17 Mot inconnu : KDE => installer les paquets KDE/Qt necessaires:(lib g++ aussi sont nécessaire) | kde
17 Mot inconnu : necessaires => installer les paquets KDE/Qt necessaires:(lib g++ aussi sont nécessaire) | necessaires
17 Mot inconnu : lib => installer les paquets KDE/Qt necessaires:(lib g++ aussi sont nécessaire) | lib

20 Mot inconnu : sudo => sudo apt-get install libqt3-mt-dev qt3-dev-tools</code> | sudo
20 Mot inconnu : apt-get => sudo apt-get install libqt3-mt-dev qt3-dev-tools</code> | apt-get
20 Mot inconnu : install => sudo apt-get install libqt3-mt-dev qt3-dev-tools</code> | install
20 Mot inconnu : libqt3-mt-dev => sudo apt-get install libqt3-mt-dev qt3-dev-tools</code> | libqt3-mt-dev
20 Mot inconnu : qt3-dev-tools => sudo apt-get install libqt3-mt-dev qt3-dev-tools</code> | qt3-dev-tools

27 Mot inconnu : sudo => sudo cp ./RaConfig2500 /usr/bin/</code> | sudo
27 Mot inconnu : cp => sudo cp ./RaConfig2500 /usr/bin/</code> | cp
27 Mot inconnu : RaConfig2500 => sudo cp ./RaConfig2500 /usr/bin/</code> | raconfig2500

32 Mot inconnu : sudo => sudo RaConfig2500</code> | sudo
32 Mot inconnu : RaConfig2500 => sudo RaConfig2500</code> | raconfig2500

