1 Mot inconnu : Elitebook [[11:20]] => ======  HP Elitebook 840 G1 ====== <|> elitebook
1 Mot inconnu : G1 [[25:27]] => ======  HP Elitebook 840 G1 ====== <|> g1

15 Mot inconnu : Touchpad [[94:102]] => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Casque audio ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres ^ <|> touchpad

35 Mot inconnu : Wake [[39:43]] => Redémarrage au lieu d’arrêt à cause du Wake on LAN. Deux options s'offrent à vous : modifier le fichier de configuration ou les paramètres du BIOS. <|> wake
35 Mot inconnu : LAN [[47:50]] => Redémarrage au lieu d’arrêt à cause du Wake on LAN. Deux options s'offrent à vous : modifier le fichier de configuration ou les paramètres du BIOS. <|> lan

44 Mot inconnu : wol [[15:18]] => Puis, changer ‘wol g’ par 'wol d' et sauvegarder le fichier <|> wol
44 Guillemets typographiques ouvrants. [[26:27]] => Puis, changer ‘wol g’ par 'wol d' et sauvegarder le fichier <|> ' => suggestions : ['“', '‘', '‹']
44 Mot inconnu : wol [[27:30]] => Puis, changer ‘wol g’ par 'wol d' et sauvegarder le fichier <|> wol
44 Apostrophe incorrecte. [[31:34]] => Puis, changer ‘wol g’ par 'wol d' et sauvegarder le fichier <|> d'  => suggestions : ['d’']
44 Guillemets typographiques fermants. [[32:33]] => Puis, changer ‘wol g’ par 'wol d' et sauvegarder le fichier <|> ' => suggestions : ['”', '’', '›']

48 Mot inconnu : Setup [[10:15]] => Menu BIOS Setup->Advanced->Build-In Device Option->Wake on LAN choisir Disable. <|> setup
48 Mot inconnu : Advanced [[17:25]] => Menu BIOS Setup->Advanced->Build-In Device Option->Wake on LAN choisir Disable. <|> advanced
48 Mot inconnu : Device [[36:42]] => Menu BIOS Setup->Advanced->Build-In Device Option->Wake on LAN choisir Disable. <|> device
48 Mot inconnu : Wake [[51:55]] => Menu BIOS Setup->Advanced->Build-In Device Option->Wake on LAN choisir Disable. <|> wake
48 Mot inconnu : LAN [[59:62]] => Menu BIOS Setup->Advanced->Build-In Device Option->Wake on LAN choisir Disable. <|> lan
48 Mot inconnu : Disable [[71:78]] => Menu BIOS Setup->Advanced->Build-In Device Option->Wake on LAN choisir Disable. <|> disable
