
4 Mot inconnu : N2N => ======N2N - VPN en P2P ====== | n2n
4 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ======N2N - VPN en P2P ====== |  -  => suggestions : [' – ', ' — ', ' − ']

6 Mot inconnu : N2N => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | n2n
6 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). |  -  => suggestions : [' – ', ' — ', ' − ']
6 Mot inconnu : Ntop => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | ntop
6 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). |  -  => suggestions : [' – ', ' — ', ' − ']
6 Mot inconnu : Network => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | network
6 Mot inconnu : N2N => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | n2n
6 Mot inconnu : NAT => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | nat
6 Pas d’espace après ce signe. => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | (  => suggestions : ['(']
6 Mot inconnu : hamachi => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | hamachi
6 Mot inconnu : teamviewer => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | teamviewer
6 Guillemets typographiques ouvrants. => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | " => suggestions : ['«\xa0', '“']
6 Mot inconnu : supernode => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | supernode
6 Guillemets typographiques fermants. => N2N - Ntop - Network top -: N2N est une application open source VPN qui utilise une architecture pair à pair pour les membres du réseau et pour le routage : Solution capable de traverser les NAT ( donc sans configuration des routeurs ((concurrent d'hamachi, teamviewer)) mais nécessite un serveur "supernode"). | " => suggestions : ['\xa0»', '”']

8 Mot inconnu : N2N => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | n2n
