
4 Mot inconnu : nuagique [[18:26]] => ======Le stockage nuagique avec pCloud====== <|> nuagique
4 Mot inconnu : pCloud [[32:38]] => ======Le stockage nuagique avec pCloud====== <|> pcloud

10 Mot inconnu : pCloud [[0:6]] => pCloud a une offre gratuite, un abonnement et une offre à vie ! Il propose plusieurs services : <|> pcloud
11 Mot inconnu : pCloudDrive [[92:103]] =>   * Une fonction de **synchronisation** avec le Cloud de tout fichier ajouté à un dossier « pCloudDrive », mais aussi de tout dossier sélectionné dans le dossier personnel. Ces dossiers pourront aussi être synchronisés avec tout autre machine connectée au même compte pour les dossiers choisis pour une synchronisation. <|> pclouddrive
13 Mot inconnu : Backup [[36:42]] =>   * Une fonction de **sauvegarde** (Backup) de dossiers sélectionnés. <|> backup
14 Mot inconnu : pCloudDrive [[60:71]] =>   * Étendre son espace de stockage avec un disque virtuel « pCloudDrive » donnant accès à l'ensemble des dossiers synchronisés ou déposés dans ce disque virtuel. La performance dépend largement de votre connexion Internet. <|> pclouddrive

21 Mot inconnu : pCloud [[162:168]] => L'installation de l'application sur un **mobile** permet d'avoir accès à tous ces fichiers synchronisés, ainsi qu'à vos fichiers sauvegardés dans un répertoire « pCloud Backup ». <|> pcloud
21 Mot inconnu : Backup [[169:175]] => L'installation de l'application sur un **mobile** permet d'avoir accès à tous ces fichiers synchronisés, ainsi qu'à vos fichiers sauvegardés dans un répertoire « pCloud Backup ». <|> backup

27 Mot inconnu : pCloud [[30:36]] => Il y a deux moyens d'utiliser pCloud avec Ubuntu : <|> pcloud

32 Mot inconnu : AppImage [[49:57]] => L'application Linux est une application portable AppImage (pas de réel installation) : on la télécharge et on la lance. <|> appimage

38 Mot inconnu : libfuse2 [[78:86]] => <note important>Pour Ubuntu 22.04, il faut ajouter l'installation manuelle de libfuse2. <|> libfuse2

41 S’il s’agit d’une action à accomplir, le verbe devrait être à l’infinitif. [[45:53]] => Lors de son fonctionnement, l'application va installé un répertoire caché .pcloud à la racine de votre dossier personnel et un autre dans le répertoire .config <|> installé => suggestions : None
41 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[73:75]] => Lors de son fonctionnement, l'application va installé un répertoire caché .pcloud à la racine de votre dossier personnel et un autre dans le répertoire .config <|>  . => suggestions : None
41 Mot inconnu : pcloud [[75:81]] => Lors de son fonctionnement, l'application va installé un répertoire caché .pcloud à la racine de votre dossier personnel et un autre dans le répertoire .config <|> pcloud
41 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[151:153]] => Lors de son fonctionnement, l'application va installé un répertoire caché .pcloud à la racine de votre dossier personnel et un autre dans le répertoire .config <|>  . => suggestions : None
47 Mot inconnu : pCloudDrive [[83:94]] => Dans le gestionnaire de fichiers (Nautilus sous GNOME), vous trouverez un disque « pCloudDrive » qui sera monté et correspond au disque virtuel de votre espace en ligne. Vous trouverez aussi un dossier du même nom dans votre dossier personnel : tout ce que vous déposez à l'intérieur est synchronisé avec le Cloud. <|> pclouddrive

62 Mot inconnu : libfuse2 [[72:80]] => Comme indiqué plus haut, il faut installer manuellement la bibliothèque libfuse2. <|> libfuse2
67 Mot inconnu : pCloudDrive [[35:46]] => Solution : supprimer le répertoire pCloudDrive dans votre dossier personnel puis redémarrer l'ordinateur. Ce répertoire sera re-créé au lancement de pCloud. Avant de supprimer ce répertoire, par prudence, copier ailleurs les éléments que vous aviez pu mettre à l'intérieur ; ils devraient être récupérés lors de la synchronisation, mais deux précautions valent mieux qu'une ! <|> pclouddrive
67 Mot inconnu : pCloud [[149:155]] => Solution : supprimer le répertoire pCloudDrive dans votre dossier personnel puis redémarrer l'ordinateur. Ce répertoire sera re-créé au lancement de pCloud. Avant de supprimer ce répertoire, par prudence, copier ailleurs les éléments que vous aviez pu mettre à l'intérieur ; ils devraient être récupérés lors de la synchronisation, mais deux précautions valent mieux qu'une ! <|> pcloud
