
2 Mot inconnu : debfoster => ====== Utilisation de debfoster ====== | debfoster

3 Mot inconnu : debfoster => Le programme //**debfoster**// est très utile pour pouvoir faire des désinstallations propres de logiciels, car il permet de supprimer les dépendances installées par un paquet, et qui ne servent qu'à celui-ci.\\ Ainsi on gagne de la place par rapport à un simple //apt-get remove// du programme qui n'aurait pas supprimé les dépendances. Il aurait alors fallu utiliser //**deborphan**// pour supprimer celles-ci. | debfoster
3 Mot inconnu : apt-get => Le programme //**debfoster**// est très utile pour pouvoir faire des désinstallations propres de logiciels, car il permet de supprimer les dépendances installées par un paquet, et qui ne servent qu'à celui-ci.\\ Ainsi on gagne de la place par rapport à un simple //apt-get remove// du programme qui n'aurait pas supprimé les dépendances. Il aurait alors fallu utiliser //**deborphan**// pour supprimer celles-ci. | apt-get
3 Mot inconnu : remove => Le programme //**debfoster**// est très utile pour pouvoir faire des désinstallations propres de logiciels, car il permet de supprimer les dépendances installées par un paquet, et qui ne servent qu'à celui-ci.\\ Ainsi on gagne de la place par rapport à un simple //apt-get remove// du programme qui n'aurait pas supprimé les dépendances. Il aurait alors fallu utiliser //**deborphan**// pour supprimer celles-ci. | remove
3 Mot inconnu : deborphan => Le programme //**debfoster**// est très utile pour pouvoir faire des désinstallations propres de logiciels, car il permet de supprimer les dépendances installées par un paquet, et qui ne servent qu'à celui-ci.\\ Ainsi on gagne de la place par rapport à un simple //apt-get remove// du programme qui n'aurait pas supprimé les dépendances. Il aurait alors fallu utiliser //**deborphan**// pour supprimer celles-ci. | deborphan

8 Mot inconnu : installer_ubuntu_selon_besoins => <note tip>Pour aller plus loin dans la configuration globale de votre poste de travail, vous pouvez consulter la documentation complète \\ [[installer_ubuntu_selon_besoins|Ubuntu à votre image : Configurer votre ordinateur selon vos besoins]]</note> | installer_ubuntu_selon_besoins

12 Mot inconnu : debfoster => Il faut respecter quelques précautions pour utiliser sans danger //**debfoster**//. | debfoster
27 Mot inconnu : debfoster => Cliquer sur [[apt>debfoster]] ou bien | debfoster

30 Mot inconnu : universe => devrait faire l'affaire, à condition d'avoir activé les dépôts //universe//. | universe

33 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A la première utilisation, il faut faire | a => suggestions : ['À']

47 Guillemets typographiques ouvrants. => Une fois que l'on est arrivé à la fin de la liste, ou que l'utilisateur presse "X", les paquets sélectionnés sont désinstallés par //apt-get//. | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. => Une fois que l'on est arrivé à la fin de la liste, ou que l'utilisateur presse "X", les paquets sélectionnés sont désinstallés par //apt-get//. | " => suggestions : ['\xa0»', '”']
47 Mot inconnu : apt-get => Une fois que l'on est arrivé à la fin de la liste, ou que l'utilisateur presse "X", les paquets sélectionnés sont désinstallés par //apt-get//. | apt-get

50 Mot inconnu : debfoster => Il est aussi possible d'utiliser //**debfoster**// en ligne de commande pour faire ses installations et désinstallations, comme on se sert d'apt-get. | debfoster
50 Mot inconnu : apt-get => Il est aussi possible d'utiliser //**debfoster**// en ligne de commande pour faire ses installations et désinstallations, comme on se sert d'apt-get. | apt-get

59 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A noter qu'une fois que les paquets sont installés ou désinstallés, debfoster se lance en mode interactif si besoin, et propose la désinstallation des paquets pour lesquels on n'a pas encore donné d'avis. | a => suggestions : ['À']
59 Mot inconnu : debfoster => A noter qu'une fois que les paquets sont installés ou désinstallés, debfoster se lance en mode interactif si besoin, et propose la désinstallation des paquets pour lesquels on n'a pas encore donné d'avis. | debfoster
66 Espace(s) surnuméraire(s) à supprimer. => Pour revenir à ubuntu  : |    => suggestions : [' ']

68 Mot inconnu : meta-paquet => Le meta-paquet kubuntu-desktop sera supprimé, ainsi que tous les paquets dont il dépend, supprimant toute trace de KDE sur le système. | meta-paquet
68 Mot inconnu : kubuntu-desktop => Le meta-paquet kubuntu-desktop sera supprimé, ainsi que tous les paquets dont il dépend, supprimant toute trace de KDE sur le système. | kubuntu-desktop
68 Mot inconnu : KDE => Le meta-paquet kubuntu-desktop sera supprimé, ainsi que tous les paquets dont il dépend, supprimant toute trace de KDE sur le système. | kde
