
6 Mot inconnu : Redigé => Redigé par [[utilisateurs:lok]]. | redigé
6 Il manque un espace. => Redigé par [[utilisateurs:lok]]. | lok => suggestions : [' lok']

10 Mot inconnu : HTMLDOC => ====== HTMLDOC : la conversion de pages Internet en fichier PDF ou PSP ====== | htmldoc
10 Mot inconnu : PSP => ====== HTMLDOC : la conversion de pages Internet en fichier PDF ou PSP ====== | psp

15 Mot inconnu : htmldoc => Enregistrer le contenu d'un site, ou tout du moins une partie, sur son disque dur présente de nombreux avantages. Mais si vous êtes comme moi, vous préférez peut-être voir un seul fichier par site, plutôt que des pages et des dossiers n'ayant pas des noms obligatoirement représentatifs. **htmldoc** est un outil écrit en c/c++ qui permet ces conversions, simplement et en conservant parfaitement les liens, les formules latex, et les images. | htmldoc

21 Mot inconnu : html => En regardant rapidement les liens présents sur site, on peut voir qu'il y a plusieurs pages html séparées. Avant de commencer nous allons donc récupérer tous les fichiers concernant le livre : | html

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wget -rkpE http://mitpress.mit.edu/sicp/full-text/book/book.html |    => suggestions : ['']
23 Mot inconnu : wget =>   wget -rkpE http://mitpress.mit.edu/sicp/full-text/book/book.html | wget
23 Il manque un espace à côté du tiret. =>   wget -rkpE http://mitpress.mit.edu/sicp/full-text/book/book.html |  - => suggestions : [' – ', ' — ']
23 Mot inconnu : rkpE =>   wget -rkpE http://mitpress.mit.edu/sicp/full-text/book/book.html | rkpe

27 Mot inconnu : Htmldoc => ===== Htmldoc ===== | htmldoc

32 Mot inconnu : __Attention__ => **__Attention__** : L'ordre des fichiers ajoutés est conservé, ici nous avons une page de garde qui est //book.html// si vous ne replacez pas cette dernière en haut de la liste, votre page de garde sera la dernière du fichier PDF généré. | __attention__
32 Mot inconnu : book => **__Attention__** : L'ordre des fichiers ajoutés est conservé, ici nous avons une page de garde qui est //book.html// si vous ne replacez pas cette dernière en haut de la liste, votre page de garde sera la dernière du fichier PDF généré. | book
32 Mot inconnu : html => **__Attention__** : L'ordre des fichiers ajoutés est conservé, ici nous avons une page de garde qui est //book.html// si vous ne replacez pas cette dernière en haut de la liste, votre page de garde sera la dernière du fichier PDF généré. | html

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * //Book// : Ceci créera un fichier PDF avec une première page de couverture, et un sommaire généré automatiquement. De plus, votre PDF contiendra des bookmarks en fonction de ce sommaire. |     => suggestions : ['']
35 Mot inconnu : Book =>    * //Book// : Ceci créera un fichier PDF avec une première page de couverture, et un sommaire généré automatiquement. De plus, votre PDF contiendra des bookmarks en fonction de ce sommaire. | book
35 Mot inconnu : bookmarks =>    * //Book// : Ceci créera un fichier PDF avec une première page de couverture, et un sommaire généré automatiquement. De plus, votre PDF contiendra des bookmarks en fonction de ce sommaire. | bookmarks

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * //Continuous// : permet de ne pas laisser d'espace blanc entre la transition d'une page web à une autre dans le PDF. |     => suggestions : ['']
36 Mot inconnu : Continuous =>    * //Continuous// : permet de ne pas laisser d'espace blanc entre la transition d'une page web à une autre dans le PDF. | continuous

